idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036219688603,-9223372036847828221,21,BZ,C4,11,20,4,2017,2017-04-20
-9223372036219688604,-9223372036847828222,21,BZ,C4,11,20,4,2017,2017-04-20
-9223372036219688605,-9223372036847828223,21,BZ,C4,11,20,4,2017,2017-04-20
-9223372036219688606,-9223372036847828224,21,BZ,C4,11,20,4,2017,2017-04-20
-9223372036218566894,-9223372036847819788,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036219928633,-9223372036847855990,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036219931978,-9223372036847856136,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036219932879,-9223372036847856052,1,TO,C4,11,10,11,2017,2017-11-10
-9223372036219932880,-9223372036847863854,1,TO,C4,11,14,11,2017,2017-11-14
-9223372036219936764,-9223372036847856181,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036219942063,-9223372036847855987,25,BL,C4,11,1,11,2017,2017-11-01
-9223372036219981598,-9223372036847863214,1,TO,C4,11,10,11,2017,2017-11-10
-9223372036220009812,-9223372036847855849,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220016649,-9223372036848418830,36,MO,C4,11,16,11,2017,2017-11-16
-9223372036220022618,-9223372036848598625,25,BL,C4,11,7,11,2017,2017-11-07
-9223372036220023972,-9223372036848603331,22,TN,C4,11,6,11,2017,2017-11-06
-9223372036220026708,-9223372036848603231,22,TN,C4,11,2,11,2017,2017-11-02
-9223372036220027135,-9223372036848603579,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220027143,-9223372036848644126,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220028043,-9223372036848605259,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220032073,-9223372036848604706,22,TN,C4,11,10,11,2017,2017-11-10
-9223372036220032106,-9223372036848595863,22,TN,C4,11,9,11,2017,2017-11-09
-9223372036220033376,-9223372036848629763,22,TN,C4,11,19,11,2017,2017-11-19
-9223372036220035505,-9223372036849093474,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220054234,-9223372036849139254,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220056609,-9223372036848566238,24,VI,C4,11,10,11,2017,2017-11-10
-9223372036220060662,-9223372036847855699,22,TN,C4,11,6,11,2017,2017-11-06
-9223372036220063088,-9223372036848600497,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220063502,-9223372036848605269,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220063816,-9223372036847855898,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220064265,-9223372036850263295,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220065094,-9223372036848644396,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220065216,-9223372036848649413,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220065417,-9223372036848553258,25,BL,C4,11,7,11,2017,2017-11-07
-9223372036220065677,-9223372036848645895,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220065708,-9223372036848632438,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220066125,-9223372036848653784,21,BZ,C4,11,14,11,2017,2017-11-14
-9223372036220066131,-9223372036848632453,21,BZ,C4,11,2,11,2017,2017-11-02
-9223372036220066148,-9223372036848623301,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220066151,-9223372036847855899,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220066164,-9223372036847856142,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220066168,-9223372036848660845,21,BZ,C4,11,11,11,2017,2017-11-11
-9223372036220066579,-9223372036848639324,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220066593,-9223372036848659396,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220066752,-9223372036849124314,22,TN,C4,11,6,11,2017,2017-11-06
-9223372036220067005,-9223372036848652530,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220067045,-9223372036848637842,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220067052,-9223372036848630959,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220067064,-9223372036848645486,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220067407,-9223372036848645742,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220067437,-9223372036847855832,21,BZ,C4,11,7,11,2017,2017-11-07
-9223372036220067838,-9223372036848642145,21,BZ,C4,11,11,11,2017,2017-11-11
-9223372036220067848,-9223372036849154497,21,BZ,C4,11,23,11,2017,2017-11-23
-9223372036220067893,-9223372036848639219,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220067894,-9223372036848651189,21,BZ,C4,11,1,11,2017,2017-11-01
