siglaProvincia,PesoCarcassa
AL,72.4
AN,259.0
AP,262.5
AQ,267.88
BA,250.24
BG,207.86
BI,199.0
BL,200.0
BS,182.86
BZ,171.7
CE,278.5
CN,166.87
CO,197.88
CR,300.0
CT,183.0
FM,351.0
GR,228.53
KR,314.0
LC,213.38
LI,382.0
LO,307.75
LT,291.5
LU,281.0
MB,250.0
MC,245.57
ME,255.11
MI,203.8
MN,163.42
MS,209.2
NO,157.8
PA,182.0
PC,105.0
PD,204.24
PG,302.14
PV,369.0
RA,375.34
RC,300.0
RG,232.25
RI,234.67
RN,194.0
RO,184.71
SA,298.91
SO,203.69
TN,211.12
TO,159.86
TV,172.17
UD,222.89
VA,187.69
VB,149.5
VC,137.2
VE,168.83
VI,176.63
VR,160.83
VT,304.5
