idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno
-9223372036849885537,-9223372036566407685,72,BA,C4,11,Acido Citrico,0.057,mM/l,2,9,2019
-9223372036849885480,-9223372036566408049,72,BA,C4,11,Acido Citrico,0.085,mM/l,2,9,2019
-9223372036848066940,-9223372036566408133,72,BA,C4,11,Acido Citrico,0.109,mM/l,2,9,2019
-9223372036849885375,-9223372036566407993,72,BA,C4,11,Acido Citrico,0.084,mM/l,2,9,2019
-9223372036849885366,-9223372036566408301,72,BA,C4,11,Acido Citrico,0.099,mM/l,2,9,2019
-9223372036849885433,-9223372036566407545,72,BA,C4,11,Acido Citrico,0.137,mM/l,2,9,2019
-9223372036849885354,-9223372036566407937,72,BA,C4,11,Acido Citrico,0.082,mM/l,2,9,2019
-9223372036848307095,-9223372036566407489,72,BA,C4,11,Acido Citrico,0.06,mM/l,2,9,2019
-9223372036849665395,-9223372036562734734,94,IS,C4,11,Acido Citrico,0.1,mM/l,13,9,2019
-9223372036848307096,-9223372036566407965,72,BA,C4,11,Acido Citrico,0.072,mM/l,2,9,2019
-9223372036848307094,-9223372036566408217,72,BA,C4,11,Acido Citrico,0.086,mM/l,2,9,2019
-9223372036848639919,-9223372036566408105,72,BA,C4,11,Acido Citrico,0.064,mM/l,2,9,2019
-9223372036849885422,-9223372036566407629,72,BA,C4,11,Acido Citrico,0.054,mM/l,2,9,2019
-9223372036848066939,-9223372036566407853,72,BA,C4,11,Acido Citrico,0.071,mM/l,2,9,2019
-9223372036848633997,-9223372036566407769,72,BA,C4,11,Acido Citrico,0.115,mM/l,2,9,2019
-9223372036849885398,-9223372036566408273,72,BA,C4,11,Acido Citrico,0.053,mM/l,2,9,2019
-9223372036849665395,-9223372036551672561,94,IS,C4,11,Acido Citrico,0.13,mM/l,16,10,2019
-9223372036849665395,-9223372036422636243,94,IS,C4,11,Acido Citrico,0.12,mM/l,15,1,2020
-9223372036848066940,-9223372036408518356,72,BA,C4,11,Acido Citrico,0.127,mM/l,17,2,2020
-9223372036848639919,-9223372036408518188,72,BA,C4,11,Acido Citrico,0.108,mM/l,17,2,2020
