idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag
-9223372036723825976,-9223372036848640663,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,2.0
-9223372036723826303,-9223372036848631140,21,BZ,C4,11,19,11,2017,POSITIVA,2017-11-19,38.0
-9223372036723826345,-9223372036848634663,21,BZ,C4,11,19,11,2017,RIVEDIBILE,2017-11-19,79.0
-9223372036723826347,-9223372036848655958,21,BZ,C4,11,19,11,2017,POSITIVA,2017-11-19,66.0
-9223372036723826589,-9223372036848660254,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,3.0
-9223372036723829278,-9223372036848651167,21,BZ,C4,11,24,11,2017,NEGATIVA,2017-11-24,66.0
-9223372036723829831,-9223372036848651118,21,BZ,C4,11,1,11,2017,NEGATIVA,2017-11-01,43.0
-9223372036723830723,-9223372036848653180,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,81.0
-9223372036723830727,-9223372036848656596,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,78.0
-9223372036723830733,-9223372036848644372,21,BZ,C4,11,28,11,2017,NEGATIVA,2017-11-28,92.0
-9223372036723830756,-9223372036848657475,21,BZ,C4,11,29,11,2017,POSITIVA,2017-11-29,103.0
-9223372036723831508,-9223372036848658446,21,BZ,C4,11,12,11,2017,POSITIVA,2017-11-12,70.0
-9223372036723831683,-9223372036848647512,21,BZ,C4,11,29,11,2017,POSITIVA,2017-11-29,91.0
-9223372036723831688,-9223372036848649424,21,BZ,C4,11,14,11,2017,POSITIVA,2017-11-14,183.0
-9223372036723831973,-9223372036848628097,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,225.0
-9223372036723831974,-9223372036848631650,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,230.0
-9223372036723832028,-9223372036848637870,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,74.0
-9223372036723832033,-9223372036848656026,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,68.0
-9223372036723832041,-9223372036849143241,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,72.0
-9223372036723832181,-9223372036848628620,21,BZ,C4,11,14,11,2017,NEGATIVA,2017-11-14,54.0
-9223372036723832368,-9223372036849119185,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,104.0
-9223372036723832370,-9223372036849125026,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,116.0
-9223372036723832397,-9223372036849098956,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,213.0
-9223372036723832488,-9223372036848642534,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,188.0
-9223372036723832493,-9223372036848647886,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,163.0
-9223372036723832495,-9223372036848653984,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,157.0
-9223372036723832500,-9223372036848660709,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,159.0
-9223372036723832501,-9223372036848661475,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,125.0
-9223372036723832503,-9223372036848662079,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,139.0
-9223372036723832504,-9223372036848662305,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,189.0
-9223372036723832532,-9223372036848649979,21,BZ,C4,11,25,11,2017,POSITIVA,2017-11-25,32.0
-9223372036723832594,-9223372036848644112,21,BZ,C4,11,28,11,2017,RIVEDIBILE,2017-11-28,103.0
-9223372036723832599,-9223372036848655400,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,91.0
-9223372036723832600,-9223372036848656913,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,88.0
-9223372036723832606,-9223372036848662170,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,72.0
-9223372036723832632,-9223372036848660383,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,81.0
-9223372036723832666,-9223372036848639315,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,185.0
-9223372036723832676,-9223372036848658514,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,158.0
-9223372036723832678,-9223372036848658528,21,BZ,C4,11,13,11,2017,NEGATIVA,2017-11-13,159.0
-9223372036723832683,-9223372036848662379,21,BZ,C4,11,13,11,2017,NEGATIVA,2017-11-13,124.0
-9223372036723832763,-9223372036848629771,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,7.0
-9223372036723832791,-9223372036848648409,21,BZ,C4,11,19,11,2017,POSITIVA,2017-11-19,80.0
-9223372036723833034,-9223372036848662058,21,BZ,C4,11,7,11,2017,NEGATIVA,2017-11-07,116.0
-9223372036723833113,-9223372036848657786,21,BZ,C4,11,4,11,2017,NEGATIVA,2017-11-04,40.0
-9223372036723833227,-9223372036848633087,21,BZ,C4,11,3,11,2017,NEGATIVA,2017-11-03,118.0
-9223372036723833230,-9223372036848644075,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,109.0
-9223372036723833291,-9223372036848626504,21,BZ,C4,11,1,11,2017,POSITIVA,2017-11-01,49.0
-9223372036723833294,-9223372036848662480,21,BZ,C4,11,1,11,2017,NEGATIVA,2017-11-01,42.0
-9223372036723833326,-9223372036842213441,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,15.0
-9223372036723833340,-9223372036848636819,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,52.0
-9223372036723833343,-9223372036848644056,21,BZ,C4,11,4,11,2017,NEGATIVA,2017-11-04,50.0
-9223372036723833350,-9223372036848644058,21,BZ,C4,11,4,11,2017,NEGATIVA,2017-11-04,53.0
-9223372036723833371,-9223372036848657785,21,BZ,C4,11,4,11,2017,RIVEDIBILE,2017-11-04,39.0
-9223372036723833390,-9223372036848627122,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,94.0
-9223372036723833395,-9223372036848640248,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,88.0
-9223372036723833440,-9223372036848658020,21,BZ,C4,11,25,11,2017,NEGATIVA,2017-11-25,42.0
-9223372036723833512,-9223372036848633060,21,BZ,C4,11,23,11,2017,POSITIVA,2017-11-23,24.0
-9223372036723833560,-9223372036848631787,21,BZ,C4,11,23,11,2017,POSITIVA,2017-11-23,8.0
-9223372036723833561,-9223372036848646653,21,BZ,C4,11,23,11,2017,POSITIVA,2017-11-23,6.0
-9223372036723833594,-9223372036848661805,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,52.0
-9223372036723833627,-9223372036848627510,21,BZ,C4,11,1,11,2017,POSITIVA,2017-11-01,50.0
-9223372036723833629,-9223372036848636176,21,BZ,C4,11,1,11,2017,POSITIVA,2017-11-01,49.0
-9223372036723833711,-9223372036848633481,21,BZ,C4,11,13,11,2017,NEGATIVA,2017-11-13,63.0
-9223372036723833849,-9223372036848642416,21,BZ,C4,11,8,11,2017,POSITIVA,2017-11-08,45.0
-9223372036723833851,-9223372036848662163,21,BZ,C4,11,8,11,2017,NEGATIVA,2017-11-08,37.0
-9223372036723834068,-9223372036848622589,21,BZ,C4,11,30,11,2017,POSITIVA,2017-11-30,94.0
-9223372036723834076,-9223372036848659224,21,BZ,C4,11,30,11,2017,NEGATIVA,2017-11-30,81.0
-9223372036723834164,-9223372036848622696,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,164.0
-9223372036723834165,-9223372036848626021,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,163.0
-9223372036723834168,-9223372036848655693,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,145.0
-9223372036723834207,-9223372036848653939,21,BZ,C4,11,12,11,2017,NEGATIVA,2017-11-12,48.0
-9223372036723834217,-9223372036848654199,21,BZ,C4,11,18,11,2017,POSITIVA,2017-11-18,62.0
-9223372036723834223,-9223372036848648987,21,BZ,C4,11,15,11,2017,POSITIVA,2017-11-15,46.0
-9223372036723834226,-9223372036848659723,21,BZ,C4,11,15,11,2017,NEGATIVA,2017-11-15,41.0
-9223372036723834327,-9223372036848633350,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,19.0
-9223372036723834329,-9223372036848645095,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,16.0
-9223372036723834334,-9223372036848654361,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,12.0
-9223372036723834339,-9223372036848661530,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,2.0
-9223372036723834475,-9223372036848661114,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,91.0
-9223372036723834666,-9223372036848621532,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,358.0
-9223372036723834669,-9223372036848624554,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,353.0
-9223372036723834671,-9223372036848629170,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,342.0
-9223372036723834673,-9223372036848632299,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,340.0
-9223372036723834674,-9223372036848632300,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,345.0
-9223372036723834675,-9223372036848632353,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,341.0
-9223372036723834688,-9223372036848661719,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,259.0
-9223372036723834692,-9223372036849887615,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,357.0
-9223372036723834699,-9223372036848659371,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,43.0
-9223372036723834700,-9223372036848660291,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,40.0
-9223372036723834701,-9223372036849095193,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,48.0
-9223372036723834705,-9223372036849312638,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,49.0
-9223372036723834810,-9223372036848624522,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,81.0
-9223372036723834813,-9223372036848632348,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,78.0
-9223372036723834816,-9223372036848637197,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,76.0
-9223372036723834830,-9223372036848624518,21,BZ,C4,11,20,11,2017,POSITIVA,2017-11-20,278.0
-9223372036723834859,-9223372036848629511,21,BZ,C4,11,6,11,2017,POSITIVA,2017-11-06,19.0
