,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,Acetone,0.01,mM/l,29,11,2017,-9223372036844316282_2017
1,-9223372036848115768,-9223372034205114804,21,BZ,C4,11,Acetone,0.12,mM/l,28,11,2017,-9223372036848115768_2017
2,-9223372036845023454,-9223372034205115158,21,BZ,C4,11,Acetone,0.0,mM/l,29,11,2017,-9223372036845023454_2017
3,-9223372036850610282,-9223372034205476687,17,BS,C4,11,Acetone,0.0,mM/l,23,11,2017,-9223372036850610282_2017
4,-9223372036849436169,-9223372034206134620,14,SO,C4,11,Acetone,0.0,mM/l,3,11,2017,-9223372036849436169_2017
5,-9223372036848655960,-9223372034205375733,14,SO,C4,11,Acetone,0.1,mM/l,27,11,2017,-9223372036848655960_2017
6,-9223372036845080005,-9223372034205952003,21,BZ,C4,11,Acetone,-0.01,mM/l,3,11,2017,-9223372036845080005_2017
7,-9223372036844362342,-9223372034205952370,21,BZ,C4,11,Acetone,0.03,mM/l,7,11,2017,-9223372036844362342_2017
8,-9223372036849299052,-9223372034205288122,14,SO,C4,11,Acetone,0.02,mM/l,27,11,2017,-9223372036849299052_2017
9,-9223372036848115821,-9223372034205213321,21,BZ,C4,11,Acetone,0.1,mM/l,27,11,2017,-9223372036848115821_2017
10,-9223372036848115797,-9223372034205951941,21,BZ,C4,11,Acetone,0.04,mM/l,8,11,2017,-9223372036848115797_2017
11,-9223372036848644898,-9223372034206018931,14,SO,C4,11,Acetone,0.28,mM/l,7,11,2017,-9223372036848644898_2017
12,-9223372036848604586,-9223372034205204106,22,TN,C4,11,Acetone,0.0,mM/l,30,11,2017,-9223372036848604586_2017
13,-9223372036849334708,-9223372034205376194,14,SO,C4,11,Acetone,0.13,mM/l,27,11,2017,-9223372036849334708_2017
14,-9223372036848636655,-9223372034205214551,21,BZ,C4,11,Acetone,0.0,mM/l,22,11,2017,-9223372036848636655_2017
15,-9223372036833055375,-9223372034205666167,21,BZ,C4,11,Acetone,0.01,mM/l,13,11,2017,-9223372036833055375_2017
16,-9223372036844070003,-9223372034205951913,21,BZ,C4,11,Acetone,0.04,mM/l,8,11,2017,-9223372036844070003_2017
17,-9223372036848126804,-9223372034205951865,21,BZ,C4,11,Acetone,-0.07,mM/l,7,11,2017,-9223372036848126804_2017
18,-9223372036848115830,-9223372034205665967,21,BZ,C4,11,Acetone,0.06,mM/l,15,11,2017,-9223372036848115830_2017
19,-9223372036830835693,-9223372034205951889,21,BZ,C4,11,Acetone,0.08,mM/l,7,11,2017,-9223372036830835693_2017
20,-9223372036849123732,-9223372034205658885,14,SO,C4,11,Acetone,0.09,mM/l,13,11,2017,-9223372036849123732_2017
21,-9223372036848661240,-9223372034205375337,22,TN,C4,11,Acetone,0.0,mM/l,24,11,2017,-9223372036848661240_2017
22,-9223372036848660255,-9223372034206018113,14,SO,C4,11,Acetone,0.01,mM/l,8,11,2017,-9223372036848660255_2017
23,-9223372036848661504,-9223372034205442487,21,BZ,C4,11,Acetone,0.0,mM/l,19,11,2017,-9223372036848661504_2017
24,-9223372036844129812,-9223372034205666191,21,BZ,C4,11,Acetone,-0.02,mM/l,13,11,2017,-9223372036844129812_2017
25,-9223372036849284474,-9223372034205658535,14,SO,C4,11,Acetone,0.12,mM/l,13,11,2017,-9223372036849284474_2017
26,-9223372036847975136,-9223372034205666127,21,BZ,C4,11,Acetone,0.02,mM/l,9,11,2017,-9223372036847975136_2017
