,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,ConducibilitaMedia,DataRilevamentoConducibilita,SoftwareDiPrecisionFarmingCheFornisceIlDato,full_date,identifying_column
0,-9223372032524021401,-9223372036849326551,24,VI,C4,11,13,3,2023,5.52,2023-03-13 07:13:00,dairyplan,2023-03-13,-9223372036849326551_2023-03-13
3,-9223372032526579459,-9223372036849534743,24,VI,C4,11,12,3,2023,5.14,2023-03-12 07:51:00,dairyplan,2023-03-12,-9223372036849534743_2023-03-12
6,-9223372032532961582,-9223372036849326551,24,VI,C4,11,10,3,2023,6.38,2023-03-10 06:29:00,dairyplan,2023-03-10,-9223372036849326551_2023-03-10
14,-9223372032547745713,-9223372036849326551,24,VI,C4,11,6,3,2023,5.58,2023-03-06 07:26:00,dairyplan,2023-03-06,-9223372036849326551_2023-03-06
23,-9223372032003766712,-9223372036849326551,24,VI,C4,11,30,6,2023,6.84,2023-06-30 18:15:00,dairyplan,2023-06-30,-9223372036849326551_2023-06-30
32,-9223372031854760130,-9223372036849326551,24,VI,C4,11,29,7,2023,5.26,2023-07-29 17:18:00,dairyplan,2023-07-29,-9223372036849326551_2023-07-29
36,-9223372031876029490,-9223372036849534743,24,VI,C4,11,28,7,2023,6.84,2023-07-28 07:59:00,dairyplan,2023-07-28,-9223372036849534743_2023-07-28
38,-9223372031876656587,-9223372036849534743,24,VI,C4,11,27,7,2023,6.7,2023-07-27 18:11:00,dairyplan,2023-07-27,-9223372036849534743_2023-07-27
41,-9223372031885005556,-9223372036849326551,24,VI,C4,11,26,7,2023,5.52,2023-07-26 07:04:00,dairyplan,2023-07-26,-9223372036849326551_2023-07-26
44,-9223372031894360352,-9223372036849326551,24,VI,C4,11,24,7,2023,5.77,2023-07-24 17:53:00,dairyplan,2023-07-24,-9223372036849326551_2023-07-24
45,-9223372031907293550,-9223372036849326551,24,VI,C4,11,21,7,2023,5.27,2023-07-21 06:53:00,dairyplan,2023-07-21,-9223372036849326551_2023-07-21
56,-9223372031934264017,-9223372036849326551,24,VI,C4,11,14,7,2023,4.37,2023-07-14 18:26:00,dairyplan,2023-07-14,-9223372036849326551_2023-07-14
69,-9223372031971932638,-9223372036849326551,24,VI,C4,11,7,7,2023,5.93,2023-07-07 17:43:00,dairyplan,2023-07-07,-9223372036849326551_2023-07-07
105,-9223372031754832140,-9223372036848602130,24,VI,C4,11,23,8,2023,6.44,2023-08-23 17:58:00,dairyplan,2023-08-23,-9223372036848602130_2023-08-23
106,-9223372031755305086,-9223372036849534743,24,VI,C4,11,23,8,2023,6.66,2023-08-23 07:56:00,dairyplan,2023-08-23,-9223372036849534743_2023-08-23
107,-9223372031755322869,-9223372036849326551,24,VI,C4,11,23,8,2023,4.68,2023-08-23 06:55:00,dairyplan,2023-08-23,-9223372036849326551_2023-08-23
121,-9223372031766425114,-9223372036848602130,24,VI,C4,11,20,8,2023,6.07,2023-08-20 17:08:00,dairyplan,2023-08-20,-9223372036848602130_2023-08-20
123,-9223372031766744767,-9223372036849326551,24,VI,C4,11,20,8,2023,6.4,2023-08-20 06:59:00,dairyplan,2023-08-20,-9223372036849326551_2023-08-20
131,-9223372031773132752,-9223372036848602130,24,VI,C4,11,18,8,2023,5.93,2023-08-18 07:23:00,dairyplan,2023-08-18,-9223372036848602130_2023-08-18
133,-9223372031773595436,-9223372036848602130,24,VI,C4,11,17,8,2023,5.82,2023-08-17 18:58:00,dairyplan,2023-08-17,-9223372036848602130_2023-08-17
140,-9223372031780554852,-9223372036848602130,24,VI,C4,11,16,8,2023,6.2,2023-08-16 07:06:00,dairyplan,2023-08-16,-9223372036848602130_2023-08-16
147,-9223372031792546878,-9223372036849534743,24,VI,C4,11,14,8,2023,6.01,2023-08-14 07:41:00,dairyplan,2023-08-14,-9223372036849534743_2023-08-14
148,-9223372031792585417,-9223372036849326551,24,VI,C4,11,14,8,2023,4.72,2023-08-14 06:32:00,dairyplan,2023-08-14,-9223372036849326551_2023-08-14
149,-9223372031792587298,-9223372036848602130,24,VI,C4,11,14,8,2023,5.99,2023-08-14 06:15:00,dairyplan,2023-08-14,-9223372036848602130_2023-08-14
154,-9223372031795843218,-9223372036848602130,24,VI,C4,11,13,8,2023,6.74,2023-08-13 06:29:00,dairyplan,2023-08-13,-9223372036848602130_2023-08-13
163,-9223372031802564125,-9223372036849326551,24,VI,C4,11,11,8,2023,5.21,2023-08-11 06:54:00,dairyplan,2023-08-11,-9223372036849326551_2023-08-11
164,-9223372031802567633,-9223372036848602130,24,VI,C4,11,11,8,2023,5.81,2023-08-11 06:17:00,dairyplan,2023-08-11,-9223372036848602130_2023-08-11
173,-9223372031810827673,-9223372036849326551,24,VI,C4,11,9,8,2023,5.04,2023-08-09 07:51:00,dairyplan,2023-08-09,-9223372036849326551_2023-08-09
176,-9223372031814907317,-9223372036848602130,24,VI,C4,11,8,8,2023,5.9,2023-08-08 17:45:00,dairyplan,2023-08-08,-9223372036848602130_2023-08-08
182,-9223372031819859741,-9223372036848602130,24,VI,C4,11,7,8,2023,5.95,2023-08-07 06:14:00,dairyplan,2023-08-07,-9223372036848602130_2023-08-07
185,-9223372031823085221,-9223372036849326551,24,VI,C4,11,6,8,2023,5.22,2023-08-06 07:09:00,dairyplan,2023-08-06,-9223372036849326551_2023-08-06
197,-9223372031834370308,-9223372036849326551,24,VI,C4,11,3,8,2023,4.88,2023-08-03 07:06:00,dairyplan,2023-08-03,-9223372036849326551_2023-08-03
206,-9223372031541693313,-9223372036849534743,24,VI,C4,11,29,9,2023,5.89,2023-09-29 07:33:00,dairyplan,2023-09-29,-9223372036849534743_2023-09-29
207,-9223372031541694735,-9223372036849326551,24,VI,C4,11,29,9,2023,4.85,2023-09-29 06:26:00,dairyplan,2023-09-29,-9223372036849326551_2023-09-29
210,-9223372031584719286,-9223372036848602130,24,VI,C4,11,28,9,2023,6.2,2023-09-28 06:32:00,dairyplan,2023-09-28,-9223372036848602130_2023-09-28
211,-9223372031584719331,-9223372036849326551,24,VI,C4,11,28,9,2023,5.7,2023-09-28 07:27:00,dairyplan,2023-09-28,-9223372036849326551_2023-09-28
218,-9223372031594765194,-9223372036849326551,24,VI,C4,11,26,9,2023,6.64,2023-09-26 06:13:00,dairyplan,2023-09-26,-9223372036849326551_2023-09-26
223,-9223372031599590527,-9223372036848602130,24,VI,C4,11,25,9,2023,6.61,2023-09-25 06:06:00,dairyplan,2023-09-25,-9223372036848602130_2023-09-25
234,-9223372031606488770,-9223372036848602130,24,VI,C4,11,23,9,2023,6.4,2023-09-23 07:06:00,dairyplan,2023-09-23,-9223372036848602130_2023-09-23
261,-9223372031637763726,-9223372036848602130,24,VI,C4,11,18,9,2023,5.93,2023-09-18 06:42:00,dairyplan,2023-09-18,-9223372036848602130_2023-09-18
262,-9223372031637763766,-9223372036849326551,24,VI,C4,11,18,9,2023,5.1,2023-09-18 06:59:00,dairyplan,2023-09-18,-9223372036849326551_2023-09-18
265,-9223372031641541630,-9223372036848602130,24,VI,C4,11,17,9,2023,4.8,2023-09-17 07:11:00,dairyplan,2023-09-17,-9223372036848602130_2023-09-17
268,-9223372031642908415,-9223372036849534743,24,VI,C4,11,16,9,2023,5.46,2023-09-16 18:36:00,dairyplan,2023-09-16,-9223372036849534743_2023-09-16
281,-9223372031654539489,-9223372036849326551,24,VI,C4,11,14,9,2023,5.35,2023-09-14 07:11:00,dairyplan,2023-09-14,-9223372036849326551_2023-09-14
297,-9223372031669484511,-9223372036849326551,24,VI,C4,11,11,9,2023,4.7,2023-09-11 07:02:00,dairyplan,2023-09-11,-9223372036849326551_2023-09-11
304,-9223372031674313044,-9223372036849534743,24,VI,C4,11,9,9,2023,5.92,2023-09-09 18:53:00,dairyplan,2023-09-09,-9223372036849534743_2023-09-09
314,-9223372031685200749,-9223372036849534743,24,VI,C4,11,7,9,2023,7.85,2023-09-07 17:10:00,dairyplan,2023-09-07,-9223372036849534743_2023-09-07
