,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataSessioneMungitura,Mungitura,DurataSessioneMungitura,SoftwareDiPrecisionFarmingCheFornisceIlDato,identifying_column
0,-9223372034216142309,-9223372036849326551,24,VI,C4,11,31,3,2022,2022-03-31 18:36:00,600.0,174.0,dairyplan,-9223372036849326551_2022-03-31 18:36:00
1,-9223372034216142314,-9223372036849326551,24,VI,C4,11,31,3,2022,2022-03-31 07:56:00,1340.0,292.0,dairyplan,-9223372036849326551_2022-03-31 07:56:00
2,-9223372034219003297,-9223372036849326551,24,VI,C4,11,30,3,2022,2022-03-30 08:05:00,1370.0,303.0,dairyplan,-9223372036849326551_2022-03-30 08:05:00
3,-9223372034224014549,-9223372036849326551,24,VI,C4,11,27,3,2022,2022-03-27 19:14:00,1140.0,292.0,dairyplan,-9223372036849326551_2022-03-27 19:14:00
4,-9223372034227237945,-9223372036849326551,24,VI,C4,11,26,3,2022,2022-03-26 08:12:00,9730.0,,dairyplan,-9223372036849326551_2022-03-26 08:12:00
5,-9223372034227983204,-9223372036849326551,24,VI,C4,11,25,3,2022,2022-03-25 19:35:00,3310.0,972.0,dairyplan,-9223372036849326551_2022-03-25 19:35:00
6,-9223372033897532092,-9223372036849326551,24,VI,C4,11,25,4,2022,2022-04-25 18:25:00,1190.0,312.0,dairyplan,-9223372036849326551_2022-04-25 18:25:00
7,-9223372034155355896,-9223372036849326551,24,VI,C4,11,15,4,2022,2022-04-15 18:18:00,1160.0,220.0,dairyplan,-9223372036849326551_2022-04-15 18:18:00
8,-9223372033156259991,-9223372036849326551,24,VI,C4,11,13,5,2022,2022-05-13 17:11:00,850.0,272.0,dairyplan,-9223372036849326551_2022-05-13 17:11:00
9,-9223372033156260170,-9223372036849534743,24,VI,C4,11,22,7,2022,2022-07-22 18:05:00,1480.0,372.0,dairyplan,-9223372036849534743_2022-07-22 18:05:00
10,-9223372032524021404,-9223372036849326551,24,VI,C4,11,13,3,2023,2023-03-13 07:13:00,1540.0,296.0,dairyplan,-9223372036849326551_2023-03-13 07:13:00
11,-9223372032526360739,-9223372036849326551,24,VI,C4,11,12,3,2023,2023-03-12 17:29:00,1090.0,246.0,dairyplan,-9223372036849326551_2023-03-12 17:29:00
12,-9223372032526570635,-9223372036849326551,24,VI,C4,11,12,3,2023,2023-03-12 06:56:00,360.0,144.0,dairyplan,-9223372036849326551_2023-03-12 06:56:00
13,-9223372032526579462,-9223372036849534743,24,VI,C4,11,12,3,2023,2023-03-12 07:51:00,810.0,253.0,dairyplan,-9223372036849534743_2023-03-12 07:51:00
14,-9223372032526794644,-9223372036849326551,24,VI,C4,11,11,3,2023,2023-03-11 19:35:00,1850.0,469.0,dairyplan,-9223372036849326551_2023-03-11 19:35:00
15,-9223372032528882541,-9223372036849326551,24,VI,C4,11,11,3,2023,2023-03-11 06:36:00,1490.0,279.0,dairyplan,-9223372036849326551_2023-03-11 06:36:00
16,-9223372032532961585,-9223372036849326551,24,VI,C4,11,10,3,2023,2023-03-10 06:29:00,1490.0,283.0,dairyplan,-9223372036849326551_2023-03-10 06:29:00
17,-9223372032533504703,-9223372036849326551,24,VI,C4,11,9,3,2023,2023-03-09 18:59:00,2430.0,488.0,dairyplan,-9223372036849326551_2023-03-09 18:59:00
18,-9223372032535945844,-9223372036849326551,24,VI,C4,11,9,3,2023,2023-03-09 16:54:00,950.0,219.0,dairyplan,-9223372036849326551_2023-03-09 16:54:00
19,-9223372032536481953,-9223372036849326551,24,VI,C4,11,9,3,2023,2023-03-09 07:01:00,1840.0,460.0,dairyplan,-9223372036849326551_2023-03-09 07:01:00
20,-9223372032537150593,-9223372036849326551,24,VI,C4,11,8,3,2023,2023-03-08 18:37:00,1370.0,450.0,dairyplan,-9223372036849326551_2023-03-08 18:37:00
21,-9223372032539861087,-9223372036849326551,24,VI,C4,11,8,3,2023,2023-03-08 06:32:00,1210.0,273.0,dairyplan,-9223372036849326551_2023-03-08 06:32:00
22,-9223372032543276305,-9223372036849326551,24,VI,C4,11,7,3,2023,2023-03-07 17:56:00,1320.0,372.0,dairyplan,-9223372036849326551_2023-03-07 17:56:00
23,-9223372032543760834,-9223372036849326551,24,VI,C4,11,7,3,2023,2023-03-07 06:33:00,1390.0,434.0,dairyplan,-9223372036849326551_2023-03-07 06:33:00
24,-9223372032547745716,-9223372036849326551,24,VI,C4,11,6,3,2023,2023-03-06 07:26:00,1710.0,363.0,dairyplan,-9223372036849326551_2023-03-06 07:26:00
25,-9223372032550020274,-9223372036849326551,24,VI,C4,11,5,3,2023,2023-03-05 16:43:00,1250.0,213.0,dairyplan,-9223372036849326551_2023-03-05 16:43:00
26,-9223372032550197745,-9223372036849326551,24,VI,C4,11,5,3,2023,2023-03-05 06:16:00,1550.0,293.0,dairyplan,-9223372036849326551_2023-03-05 06:16:00
27,-9223372032552376762,-9223372036849326551,24,VI,C4,11,4,3,2023,2023-03-04 17:29:00,1270.0,269.0,dairyplan,-9223372036849326551_2023-03-04 17:29:00
28,-9223372032552642671,-9223372036849326551,24,VI,C4,11,4,3,2023,2023-03-04 06:55:00,1450.0,331.0,dairyplan,-9223372036849326551_2023-03-04 06:55:00
29,-9223372032555575391,-9223372036849326551,24,VI,C4,11,3,3,2023,2023-03-03 17:41:00,1510.0,501.0,dairyplan,-9223372036849326551_2023-03-03 17:41:00
30,-9223372032556342987,-9223372036849326551,24,VI,C4,11,3,3,2023,2023-03-03 07:09:00,1380.0,368.0,dairyplan,-9223372036849326551_2023-03-03 07:09:00
31,-9223372032556908466,-9223372036849326551,24,VI,C4,11,2,3,2023,2023-03-02 18:06:00,1080.0,276.0,dairyplan,-9223372036849326551_2023-03-02 18:06:00
32,-9223372032559735357,-9223372036849326551,24,VI,C4,11,2,3,2023,2023-03-02 06:45:00,1840.0,471.0,dairyplan,-9223372036849326551_2023-03-02 06:45:00
33,-9223372032003766715,-9223372036849326551,24,VI,C4,11,30,6,2023,2023-06-30 18:15:00,1310.0,326.0,dairyplan,-9223372036849326551_2023-06-30 18:15:00
34,-9223372031844125976,-9223372036849534743,24,VI,C4,11,31,7,2023,2023-07-31 18:38:00,890.0,404.0,dairyplan,-9223372036849534743_2023-07-31 18:38:00
35,-9223372031847764010,-9223372036849326551,24,VI,C4,11,31,7,2023,2023-07-31 17:22:00,1190.0,664.0,dairyplan,-9223372036849326551_2023-07-31 17:22:00
36,-9223372031848791357,-9223372036849534743,24,VI,C4,11,31,7,2023,2023-07-31 07:35:00,1180.0,512.0,dairyplan,-9223372036849534743_2023-07-31 07:35:00
37,-9223372031848791892,-9223372036849326551,24,VI,C4,11,31,7,2023,2023-07-31 06:50:00,1390.0,716.0,dairyplan,-9223372036849326551_2023-07-31 06:50:00
38,-9223372031849402490,-9223372036849326551,24,VI,C4,11,30,7,2023,2023-07-30 18:15:00,2270.0,,dairyplan,-9223372036849326551_2023-07-30 18:15:00
39,-9223372031849402495,-9223372036849326551,24,VI,C4,11,30,7,2023,2023-07-30 17:52:00,1060.0,634.0,dairyplan,-9223372036849326551_2023-07-30 17:52:00
40,-9223372031851996466,-9223372036849326551,24,VI,C4,11,30,7,2023,2023-07-30 07:01:00,1070.0,788.0,dairyplan,-9223372036849326551_2023-07-30 07:01:00
41,-9223372031852283441,-9223372036849534743,24,VI,C4,11,29,7,2023,2023-07-29 18:21:00,910.0,453.0,dairyplan,-9223372036849534743_2023-07-29 18:21:00
42,-9223372031854760133,-9223372036849326551,24,VI,C4,11,29,7,2023,2023-07-29 17:18:00,1590.0,524.0,dairyplan,-9223372036849326551_2023-07-29 17:18:00
43,-9223372031855098443,-9223372036849534743,24,VI,C4,11,29,7,2023,2023-07-29 07:29:00,1280.0,278.0,dairyplan,-9223372036849534743_2023-07-29 07:29:00
44,-9223372031861142918,-9223372036849326551,24,VI,C4,11,28,7,2023,2023-07-28 18:45:00,990.0,218.0,dairyplan,-9223372036849326551_2023-07-28 18:45:00
45,-9223372031875236073,-9223372036849326551,24,VI,C4,11,28,7,2023,2023-07-28 17:26:00,1190.0,514.0,dairyplan,-9223372036849326551_2023-07-28 17:26:00
46,-9223372031876029493,-9223372036849534743,24,VI,C4,11,28,7,2023,2023-07-28 07:59:00,1900.0,324.0,dairyplan,-9223372036849534743_2023-07-28 07:59:00
47,-9223372031876037677,-9223372036849326551,24,VI,C4,11,28,7,2023,2023-07-28 08:23:00,1610.0,282.0,dairyplan,-9223372036849326551_2023-07-28 08:23:00
48,-9223372031876656590,-9223372036849534743,24,VI,C4,11,27,7,2023,2023-07-27 18:11:00,1450.0,239.0,dairyplan,-9223372036849534743_2023-07-27 18:11:00
49,-9223372031880082178,-9223372036849326551,24,VI,C4,11,27,7,2023,2023-07-27 17:21:00,980.0,765.0,dairyplan,-9223372036849326551_2023-07-27 17:21:00
50,-9223372031880884563,-9223372036849326551,24,VI,C4,11,27,7,2023,2023-07-27 06:50:00,1940.0,541.0,dairyplan,-9223372036849326551_2023-07-27 06:50:00
51,-9223372031885005558,-9223372036849326551,24,VI,C4,11,26,7,2023,2023-07-26 07:04:00,2620.0,,dairyplan,-9223372036849326551_2023-07-26 07:04:00
52,-9223372031888958243,-9223372036849326551,24,VI,C4,11,25,7,2023,2023-07-25 17:38:00,1150.0,378.0,dairyplan,-9223372036849326551_2023-07-25 17:38:00
53,-9223372031889104015,-9223372036849326551,24,VI,C4,11,25,7,2023,2023-07-25 07:46:00,970.0,318.0,dairyplan,-9223372036849326551_2023-07-25 07:46:00
54,-9223372031894360355,-9223372036849326551,24,VI,C4,11,24,7,2023,2023-07-24 17:53:00,1200.0,632.0,dairyplan,-9223372036849326551_2023-07-24 17:53:00
55,-9223372031907293553,-9223372036849326551,24,VI,C4,11,21,7,2023,2023-07-21 06:53:00,980.0,513.0,dairyplan,-9223372036849326551_2023-07-21 06:53:00
56,-9223372031907679049,-9223372036849326551,24,VI,C4,11,20,7,2023,2023-07-20 19:23:00,1490.0,511.0,dairyplan,-9223372036849326551_2023-07-20 19:23:00
57,-9223372031912961227,-9223372036849326551,24,VI,C4,11,20,7,2023,2023-07-20 07:09:00,2370.0,,dairyplan,-9223372036849326551_2023-07-20 07:09:00
58,-9223372031913640592,-9223372036849326551,24,VI,C4,11,19,7,2023,2023-07-19 18:38:00,1320.0,437.0,dairyplan,-9223372036849326551_2023-07-19 18:38:00
59,-9223372031916894099,-9223372036849326551,24,VI,C4,11,19,7,2023,2023-07-19 07:05:00,1090.0,599.0,dairyplan,-9223372036849326551_2023-07-19 07:05:00
60,-9223372031925481248,-9223372036849326551,24,VI,C4,11,17,7,2023,2023-07-17 17:16:00,1020.0,574.0,dairyplan,-9223372036849326551_2023-07-17 17:16:00
61,-9223372031926584716,-9223372036849326551,24,VI,C4,11,17,7,2023,2023-07-17 08:07:00,1320.0,252.0,dairyplan,-9223372036849326551_2023-07-17 08:07:00
62,-9223372031927181958,-9223372036849326551,24,VI,C4,11,16,7,2023,2023-07-16 20:06:00,1350.0,368.0,dairyplan,-9223372036849326551_2023-07-16 20:06:00
63,-9223372031930383714,-9223372036849326551,24,VI,C4,11,16,7,2023,2023-07-16 06:37:00,1170.0,584.0,dairyplan,-9223372036849326551_2023-07-16 06:37:00
64,-9223372031933630757,-9223372036849326551,24,VI,C4,11,15,7,2023,2023-07-15 17:33:00,1630.0,416.0,dairyplan,-9223372036849326551_2023-07-15 17:33:00
65,-9223372031933985248,-9223372036849326551,24,VI,C4,11,15,7,2023,2023-07-15 07:10:00,1410.0,341.0,dairyplan,-9223372036849326551_2023-07-15 07:10:00
66,-9223372031934264020,-9223372036849326551,24,VI,C4,11,14,7,2023,2023-07-14 18:26:00,1080.0,570.0,dairyplan,-9223372036849326551_2023-07-14 18:26:00
67,-9223372031939365260,-9223372036849326551,24,VI,C4,11,13,7,2023,2023-07-13 18:36:00,1030.0,631.0,dairyplan,-9223372036849326551_2023-07-13 18:36:00
68,-9223372031943388135,-9223372036849326551,24,VI,C4,11,13,7,2023,2023-07-13 06:38:00,1460.0,477.0,dairyplan,-9223372036849326551_2023-07-13 06:38:00
69,-9223372031943391359,-9223372036849326551,24,VI,C4,11,12,7,2023,2023-07-12 17:35:00,970.0,671.0,dairyplan,-9223372036849326551_2023-07-12 17:35:00
70,-9223372031943445686,-9223372036849326551,24,VI,C4,11,12,7,2023,2023-07-12 08:15:00,2000.0,424.0,dairyplan,-9223372036849326551_2023-07-12 08:15:00
71,-9223372031953652309,-9223372036849326551,24,VI,C4,11,11,7,2023,2023-07-11 17:23:00,1340.0,289.0,dairyplan,-9223372036849326551_2023-07-11 17:23:00
72,-9223372031954350292,-9223372036849326551,24,VI,C4,11,11,7,2023,2023-07-11 07:22:00,1310.0,369.0,dairyplan,-9223372036849326551_2023-07-11 07:22:00
73,-9223372031955029252,-9223372036849326551,24,VI,C4,11,10,7,2023,2023-07-10 18:42:00,1270.0,346.0,dairyplan,-9223372036849326551_2023-07-10 18:42:00
74,-9223372031960447206,-9223372036849326551,24,VI,C4,11,10,7,2023,2023-07-10 07:09:00,1690.0,597.0,dairyplan,-9223372036849326551_2023-07-10 07:09:00
75,-9223372031961478674,-9223372036849326551,24,VI,C4,11,9,7,2023,2023-07-09 18:12:00,1180.0,478.0,dairyplan,-9223372036849326551_2023-07-09 18:12:00
76,-9223372031964526808,-9223372036849326551,24,VI,C4,11,9,7,2023,2023-07-09 07:10:00,1260.0,314.0,dairyplan,-9223372036849326551_2023-07-09 07:10:00
77,-9223372031967752805,-9223372036849326551,24,VI,C4,11,8,7,2023,2023-07-08 17:44:00,1290.0,548.0,dairyplan,-9223372036849326551_2023-07-08 17:44:00
78,-9223372031968133659,-9223372036849326551,24,VI,C4,11,8,7,2023,2023-07-08 06:14:00,1550.0,531.0,dairyplan,-9223372036849326551_2023-07-08 06:14:00
79,-9223372031971932641,-9223372036849326551,24,VI,C4,11,7,7,2023,2023-07-07 17:43:00,1770.0,671.0,dairyplan,-9223372036849326551_2023-07-07 17:43:00
80,-9223372031973368469,-9223372036849326551,24,VI,C4,11,6,7,2023,2023-07-06 18:17:00,1150.0,464.0,dairyplan,-9223372036849326551_2023-07-06 18:17:00
81,-9223372031977982682,-9223372036849326551,24,VI,C4,11,6,7,2023,2023-07-06 06:53:00,1340.0,399.0,dairyplan,-9223372036849326551_2023-07-06 06:53:00
82,-9223372031981160031,-9223372036849326551,24,VI,C4,11,5,7,2023,2023-07-05 17:28:00,1240.0,669.0,dairyplan,-9223372036849326551_2023-07-05 17:28:00
83,-9223372031983215038,-9223372036849326551,24,VI,C4,11,5,7,2023,2023-07-05 06:16:00,1340.0,308.0,dairyplan,-9223372036849326551_2023-07-05 06:16:00
84,-9223372031989421048,-9223372036849326551,24,VI,C4,11,4,7,2023,2023-07-04 17:42:00,970.0,230.0,dairyplan,-9223372036849326551_2023-07-04 17:42:00
85,-9223372031990148111,-9223372036849326551,24,VI,C4,11,4,7,2023,2023-07-04 07:03:00,1330.0,411.0,dairyplan,-9223372036849326551_2023-07-04 07:03:00
86,-9223372031994973163,-9223372036849326551,24,VI,C4,11,3,7,2023,2023-07-03 17:10:00,1430.0,883.0,dairyplan,-9223372036849326551_2023-07-03 17:10:00
87,-9223372031995939319,-9223372036849326551,24,VI,C4,11,3,7,2023,2023-07-03 06:41:00,1150.0,400.0,dairyplan,-9223372036849326551_2023-07-03 06:41:00
88,-9223372031996638179,-9223372036849326551,24,VI,C4,11,2,7,2023,2023-07-02 18:21:00,1810.0,521.0,dairyplan,-9223372036849326551_2023-07-02 18:21:00
89,-9223372031999760574,-9223372036849326551,24,VI,C4,11,2,7,2023,2023-07-02 06:13:00,1360.0,459.0,dairyplan,-9223372036849326551_2023-07-02 06:13:00
