,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
4,-9223372036850574737,-9223372036570938840,25,BL,C4,11,Conducibilità elettrica,977.6,,31,7,2019,-9223372036850574737_2019
9,-9223372036850381407,-9223372036575936384,24,VI,C4,11,Conducibilità elettrica,978.8,,17,7,2019,-9223372036850381407_2019
29,-9223372036848127603,-9223372036571798933,25,BL,C4,11,Conducibilità elettrica,822.7,,29,7,2019,-9223372036848127603_2019
42,-9223372036849920164,-9223372036570204522,23,VR,C4,11,Conducibilità elettrica,1298.9,,7,8,2019,-9223372036849920164_2019
45,-9223372036849966181,-9223372036567522911,25,BL,C4,11,Conducibilità elettrica,992.6,,30,8,2019,-9223372036849966181_2019
47,-9223372036849082287,-9223372036570204570,23,VR,C4,11,Conducibilità elettrica,858.7,,7,8,2019,-9223372036849082287_2019
70,-9223372036850536188,-9223372036570933694,25,BL,C4,11,Conducibilità elettrica,831.1,,2,8,2019,-9223372036850536188_2019
85,-9223372036848599436,-9223372036571250626,24,VI,C4,11,Conducibilità elettrica,763.7,,1,8,2019,-9223372036848599436_2019
113,-9223372036848660219,-9223372036559428031,1,TO,C4,11,Conducibilità elettrica,955.3,,23,9,2019,-9223372036848660219_2019
116,-9223372036849669010,-9223372036557592694,4,CN,C4,11,Conducibilità elettrica,996.3,,30,9,2019,-9223372036849669010_2019
123,-9223372036849885537,-9223372036566407685,72,BA,C4,11,Conducibilità elettrica,860.9,,2,9,2019,-9223372036849885537_2019
124,-9223372036850095794,-9223372036560408422,1,TO,C4,11,Conducibilità elettrica,923.4,,20,9,2019,-9223372036850095794_2019
130,-9223372036849885480,-9223372036566408049,72,BA,C4,11,Conducibilità elettrica,818.2,,2,9,2019,-9223372036849885480_2019
143,-9223372036848600178,-9223372036560095385,24,VI,C4,11,Conducibilità elettrica,944.3,,25,9,2019,-9223372036848600178_2019
