,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036850185485,-9223372036797225320,24,VI,C4,11,Indice dell’attitudine casearia (IAC),102,,28,11,2017,-9223372036850185485_2017
1,-9223372036848655058,-9223372036792537216,24,VI,C4,11,Indice dell’attitudine casearia (IAC),111,,28,11,2017,-9223372036848655058_2017
2,-9223372036848570514,-9223372036798330212,24,VI,C4,11,Indice dell’attitudine casearia (IAC),110,,10,11,2017,-9223372036848570514_2017
3,-9223372036850183357,-9223372036791501250,24,VI,C4,11,Indice dell’attitudine casearia (IAC),106,,29,11,2017,-9223372036850183357_2017
4,-9223372036849884268,-9223372036795578725,25,BL,C4,11,Indice dell’attitudine casearia (IAC),98,,15,11,2017,-9223372036849884268_2017
5,-9223372036849793225,-9223372036795218852,24,VI,C4,11,Indice dell’attitudine casearia (IAC),92,,3,11,2017,-9223372036849793225_2017
6,-9223372036848660385,-9223372036793520635,25,BL,C4,11,Indice dell’attitudine casearia (IAC),105,,3,11,2017,-9223372036848660385_2017
7,-9223372036848553913,-9223372036799453471,25,BL,C4,11,Indice dell’attitudine casearia (IAC),95,,15,11,2017,-9223372036848553913_2017
8,-9223372036848629787,-9223372036798165294,30,UD,C4,11,Indice dell’attitudine casearia (IAC),97,,14,11,2017,-9223372036848629787_2017
9,-9223372036850577524,-9223372036799464369,25,BL,C4,11,Indice dell’attitudine casearia (IAC),102,,15,11,2017,-9223372036850577524_2017
10,-9223372036850185944,-9223372036791501257,24,VI,C4,11,Indice dell’attitudine casearia (IAC),107,,29,11,2017,-9223372036850185944_2017
11,-9223372036850185852,-9223372036797252352,24,VI,C4,11,Indice dell’attitudine casearia (IAC),103,,29,11,2017,-9223372036850185852_2017
12,-9223372036848661934,-9223372036791209101,25,BL,C4,11,Indice dell’attitudine casearia (IAC),97,,3,11,2017,-9223372036848661934_2017
13,-9223372036850346291,-9223372036798134518,30,UD,C4,11,Indice dell’attitudine casearia (IAC),102,,30,11,2017,-9223372036850346291_2017
14,-9223372036848646969,-9223372036793520634,25,BL,C4,11,Indice dell’attitudine casearia (IAC),105,,3,11,2017,-9223372036848646969_2017
15,-9223372036850183262,-9223372036797269460,24,VI,C4,11,Indice dell’attitudine casearia (IAC),97,,29,11,2017,-9223372036850183262_2017
16,-9223372036848568763,-9223372036797244492,24,VI,C4,11,Indice dell’attitudine casearia (IAC),109,,28,11,2017,-9223372036848568763_2017
17,-9223372036848525700,-9223372036798117428,30,UD,C4,11,Indice dell’attitudine casearia (IAC),96,,30,11,2017,-9223372036848525700_2017
18,-9223372036848662077,-9223372036794124968,24,VI,C4,11,Indice dell’attitudine casearia (IAC),108,,14,11,2017,-9223372036848662077_2017
19,-9223372036850391113,-9223372036798330244,24,VI,C4,11,Indice dell’attitudine casearia (IAC),99,,10,11,2017,-9223372036850391113_2017
20,-9223372036850370190,-9223372036798272333,25,BL,C4,11,Indice dell’attitudine casearia (IAC),106,,20,11,2017,-9223372036850370190_2017
21,-9223372036850251842,-9223372036798612047,30,UD,C4,11,Indice dell’attitudine casearia (IAC),99,,17,11,2017,-9223372036850251842_2017
22,-9223372036850381407,-9223372036798333301,24,VI,C4,11,Indice dell’attitudine casearia (IAC),104,,10,11,2017,-9223372036850381407_2017
23,-9223372036849119392,-9223372036797242549,24,VI,C4,11,Indice dell’attitudine casearia (IAC),99,,29,11,2017,-9223372036849119392_2017
24,-9223372036848578057,-9223372036791966141,23,VR,C4,11,Indice dell’attitudine casearia (IAC),110,,7,11,2017,-9223372036848578057_2017
25,-9223372036849553923,-9223372036798243524,25,BL,C4,11,Indice dell’attitudine casearia (IAC),101,,20,11,2017,-9223372036849553923_2017
26,-9223372036848553251,-9223372036794959239,25,BL,C4,11,Indice dell’attitudine casearia (IAC),98,,25,11,2017,-9223372036848553251_2017
27,-9223372036849087005,-9223372036799464364,25,BL,C4,11,Indice dell’attitudine casearia (IAC),96,,15,11,2017,-9223372036849087005_2017
28,-9223372036849427855,-9223372036798354769,24,VI,C4,11,Indice dell’attitudine casearia (IAC),111,,10,11,2017,-9223372036849427855_2017
29,-9223372036848573635,-9223372036792542916,24,VI,C4,11,Indice dell’attitudine casearia (IAC),104,,29,11,2017,-9223372036848573635_2017
30,-9223372036849090448,-9223372036795786132,23,VR,C4,11,Indice dell’attitudine casearia (IAC),94,,6,11,2017,-9223372036849090448_2017
31,-9223372036848657876,-9223372036795203281,24,VI,C4,11,Indice dell’attitudine casearia (IAC),95,,3,11,2017,-9223372036848657876_2017
32,-9223372036850184644,-9223372036797262079,24,VI,C4,11,Indice dell’attitudine casearia (IAC),105,,28,11,2017,-9223372036850184644_2017
33,-9223372036848570515,-9223372036792542914,24,VI,C4,11,Indice dell’attitudine casearia (IAC),102,,29,11,2017,-9223372036848570515_2017
34,-9223372036850176197,-9223372036792542928,24,VI,C4,11,Indice dell’attitudine casearia (IAC),108,,29,11,2017,-9223372036850176197_2017
35,-9223372036848552238,-9223372036799430224,24,VI,C4,11,Indice dell’attitudine casearia (IAC),96,,6,11,2017,-9223372036848552238_2017
36,-9223372036848552297,-9223372036799462793,25,BL,C4,11,Indice dell’attitudine casearia (IAC),105,,15,11,2017,-9223372036848552297_2017
37,-9223372036850176144,-9223372036797232614,24,VI,C4,11,Indice dell’attitudine casearia (IAC),108,,29,11,2017,-9223372036850176144_2017
38,-9223372036848561954,-9223372036797244481,24,VI,C4,11,Indice dell’attitudine casearia (IAC),110,,28,11,2017,-9223372036848561954_2017
39,-9223372036849089109,-9223372036794726825,25,BL,C4,11,Indice dell’attitudine casearia (IAC),96,,28,11,2017,-9223372036849089109_2017
40,-9223372036849082290,-9223372036798248861,25,BL,C4,11,Indice dell’attitudine casearia (IAC),98,,20,11,2017,-9223372036849082290_2017
41,-9223372036849082287,-9223372036795804721,23,VR,C4,11,Indice dell’attitudine casearia (IAC),109,,6,11,2017,-9223372036849082287_2017
42,-9223372036850577497,-9223372036799453480,25,BL,C4,11,Indice dell’attitudine casearia (IAC),103,,15,11,2017,-9223372036850577497_2017
43,-9223372036848600178,-9223372036797662525,24,VI,C4,11,Indice dell’attitudine casearia (IAC),104,,3,11,2017,-9223372036848600178_2017
44,-9223372036850185586,-9223372036797225323,24,VI,C4,11,Indice dell’attitudine casearia (IAC),101,,28,11,2017,-9223372036850185586_2017
45,-9223372036848572698,-9223372036794130449,24,VI,C4,11,Indice dell’attitudine casearia (IAC),101,,30,11,2017,-9223372036848572698_2017
46,-9223372036849384313,-9223372036791501236,24,VI,C4,11,Indice dell’attitudine casearia (IAC),113,,29,11,2017,-9223372036849384313_2017
47,-9223372036848573742,-9223372036794074418,24,VI,C4,11,Indice dell’attitudine casearia (IAC),93,,14,11,2017,-9223372036848573742_2017
48,-9223372036849525748,-9223372036791495892,24,VI,C4,11,Indice dell’attitudine casearia (IAC),102,,28,11,2017,-9223372036849525748_2017
49,-9223372036849920211,-9223372036795804736,23,VR,C4,11,Indice dell’attitudine casearia (IAC),105,,6,11,2017,-9223372036849920211_2017
50,-9223372036848527821,-9223372036795093791,30,UD,C4,11,Indice dell’attitudine casearia (IAC),93,,21,11,2017,-9223372036848527821_2017
51,-9223372036849920156,-9223372036795786142,23,VR,C4,11,Indice dell’attitudine casearia (IAC),97,,6,11,2017,-9223372036849920156_2017
52,-9223372036850263214,-9223372036797657638,24,VI,C4,11,Indice dell’attitudine casearia (IAC),106,,3,11,2017,-9223372036850263214_2017
53,-9223372036850176230,-9223372036797269459,24,VI,C4,11,Indice dell’attitudine casearia (IAC),111,,29,11,2017,-9223372036850176230_2017
54,-9223372036850370153,-9223372036792300488,25,BL,C4,11,Indice dell’attitudine casearia (IAC),98,,20,11,2017,-9223372036850370153_2017
55,-9223372036848571881,-9223372036797662520,24,VI,C4,11,Indice dell’attitudine casearia (IAC),93,,3,11,2017,-9223372036848571881_2017
56,-9223372036848662478,-9223372036797269448,24,VI,C4,11,Indice dell’attitudine casearia (IAC),112,,29,11,2017,-9223372036848662478_2017
57,-9223372036848662213,-9223372036797252105,24,VI,C4,11,Indice dell’attitudine casearia (IAC),104,,29,11,2017,-9223372036848662213_2017
58,-9223372036848568764,-9223372036792537211,24,VI,C4,11,Indice dell’attitudine casearia (IAC),105,,28,11,2017,-9223372036848568764_2017
59,-9223372036850183266,-9223372036792542932,24,VI,C4,11,Indice dell’attitudine casearia (IAC),105,,29,11,2017,-9223372036850183266_2017
60,-9223372036850183323,-9223372036791501249,24,VI,C4,11,Indice dell’attitudine casearia (IAC),114,,29,11,2017,-9223372036850183323_2017
61,-9223372036849553962,-9223372036798260719,25,BL,C4,11,Indice dell’attitudine casearia (IAC),99,,20,11,2017,-9223372036849553962_2017
62,-9223372036849793210,-9223372036795168790,24,VI,C4,11,Indice dell’attitudine casearia (IAC),93,,3,11,2017,-9223372036849793210_2017
63,-9223372036848655117,-9223372036793340766,25,BL,C4,11,Indice dell’attitudine casearia (IAC),106,,15,11,2017,-9223372036848655117_2017
64,-9223372036848572699,-9223372036797232299,24,VI,C4,11,Indice dell’attitudine casearia (IAC),114,,29,11,2017,-9223372036848572699_2017
