,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036850293299,-9223372036226355592,23,VR,C4,11,Acidi Grassi Misti,1.519,g/100 g,21,5,2021,-9223372036850293299_2021
2,-9223372036849318958,-9223372036201082579,24,VI,C4,11,Acidi Grassi Misti,0.96,g/100 g,28,5,2021,-9223372036849318958_2021
3,-9223372036849659934,-9223372036226354337,23,VR,C4,11,Acidi Grassi Misti,1.479,g/100 g,21,5,2021,-9223372036849659934_2021
4,-9223372036849960668,-9223372036224382116,26,TV,C4,11,Acidi Grassi Misti,1.328,g/100 g,26,5,2021,-9223372036849960668_2021
5,-9223372036850381998,-9223372036201082646,24,VI,C4,11,Acidi Grassi Misti,1.345,g/100 g,28,5,2021,-9223372036850381998_2021
6,-9223372036850294514,-9223372036226355010,23,VR,C4,11,Acidi Grassi Misti,1.359,g/100 g,21,5,2021,-9223372036850294514_2021
8,-9223372036849497791,-9223372036226354949,23,VR,C4,11,Acidi Grassi Misti,1.137,g/100 g,21,5,2021,-9223372036849497791_2021
9,-9223372036850381987,-9223372036201082546,24,VI,C4,11,Acidi Grassi Misti,1.016,g/100 g,28,5,2021,-9223372036850381987_2021
10,-9223372036850382564,-9223372036201082914,24,VI,C4,11,Acidi Grassi Misti,1.222,g/100 g,28,5,2021,-9223372036850382564_2021
11,-9223372036850294397,-9223372036226357023,23,VR,C4,11,Acidi Grassi Misti,1.621,g/100 g,21,5,2021,-9223372036850294397_2021
12,-9223372036850382595,-9223372036201082746,24,VI,C4,11,Acidi Grassi Misti,0.988,g/100 g,28,5,2021,-9223372036850382595_2021
13,-9223372036850391119,-9223372036201082513,24,VI,C4,11,Acidi Grassi Misti,1.237,g/100 g,28,5,2021,-9223372036850391119_2021
14,-9223372036850294257,-9223372036226355194,23,VR,C4,11,Acidi Grassi Misti,1.004,g/100 g,21,5,2021,-9223372036850294257_2021
15,-9223372036850382584,-9223372036201082447,24,VI,C4,11,Acidi Grassi Misti,1.103,g/100 g,28,5,2021,-9223372036850382584_2021
16,-9223372036849354808,-9223372036226353726,23,VR,C4,11,Acidi Grassi Misti,1.488,g/100 g,21,5,2021,-9223372036849354808_2021
17,-9223372036849318960,-9223372036201083057,24,VI,C4,11,Acidi Grassi Misti,1.413,g/100 g,28,5,2021,-9223372036849318960_2021
18,-9223372036847908743,-9223372036226354856,23,VR,C4,11,Acidi Grassi Misti,1.678,g/100 g,21,5,2021,-9223372036847908743_2021
19,-9223372036850293482,-9223372036226356962,23,VR,C4,11,Acidi Grassi Misti,1.522,g/100 g,21,5,2021,-9223372036850293482_2021
20,-9223372036850294310,-9223372036226356568,23,VR,C4,11,Acidi Grassi Misti,1.801,g/100 g,21,5,2021,-9223372036850294310_2021
21,-9223372036850382618,-9223372036201082615,24,VI,C4,11,Acidi Grassi Misti,1.082,g/100 g,28,5,2021,-9223372036850382618_2021
22,-9223372036850293463,-9223372036226355070,23,VR,C4,11,Acidi Grassi Misti,1.223,g/100 g,21,5,2021,-9223372036850293463_2021
23,-9223372036847440835,-9223372036201082480,24,VI,C4,11,Acidi Grassi Misti,0.964,g/100 g,28,5,2021,-9223372036847440835_2021
24,-9223372036849960689,-9223372036224381950,26,TV,C4,11,Acidi Grassi Misti,1.294,g/100 g,26,5,2021,-9223372036849960689_2021
25,-9223372036849960620,-9223372036224381768,26,TV,C4,11,Acidi Grassi Misti,1.271,g/100 g,26,5,2021,-9223372036849960620_2021
26,-9223372036847920033,-9223372036201082845,24,VI,C4,11,Acidi Grassi Misti,1.111,g/100 g,28,5,2021,-9223372036847920033_2021
27,-9223372036849221556,-9223372034192197254,23,VR,C4,11,Acidi Grassi Misti,1.554,g/100 g,21,5,2021,-9223372036849221556_2021
28,-9223372036850186588,-9223372036074008228,24,VI,C4,11,Acidi Grassi Misti,0.891,g/100 g,14,6,2021,-9223372036850186588_2021
29,-9223372036847883683,-9223372036076470284,25,BL,C4,11,Acidi Grassi Misti,0.745,g/100 g,10,6,2021,-9223372036847883683_2021
30,-9223372036849785766,-9223372036073895149,24,VI,C4,11,Acidi Grassi Misti,0.713,g/100 g,14,6,2021,-9223372036849785766_2021
31,-9223372036850183334,-9223372036074008377,24,VI,C4,11,Acidi Grassi Misti,1.049,g/100 g,14,6,2021,-9223372036850183334_2021
32,-9223372036849293184,-9223372036074008891,24,VI,C4,11,Acidi Grassi Misti,0.833,g/100 g,14,6,2021,-9223372036849293184_2021
34,-9223372036849300505,-9223372036076470223,25,BL,C4,11,Acidi Grassi Misti,1.176,g/100 g,10,6,2021,-9223372036849300505_2021
35,-9223372036850176133,-9223372036074008800,24,VI,C4,11,Acidi Grassi Misti,0.779,g/100 g,14,6,2021,-9223372036850176133_2021
37,-9223372036850185986,-9223372036074008559,24,VI,C4,11,Acidi Grassi Misti,1.231,g/100 g,14,6,2021,-9223372036850185986_2021
38,-9223372036849340677,-9223372036076654586,25,BL,C4,11,Acidi Grassi Misti,1.035,g/100 g,10,6,2021,-9223372036849340677_2021
41,-9223372036850536197,-9223372036078704709,25,BL,C4,11,Acidi Grassi Misti,1.12,g/100 g,9,6,2021,-9223372036850536197_2021
42,-9223372036849204764,-9223372036076655009,25,BL,C4,11,Acidi Grassi Misti,1.068,g/100 g,10,6,2021,-9223372036849204764_2021
44,-9223372036849793199,-9223372036073895089,24,VI,C4,11,Acidi Grassi Misti,1.018,g/100 g,14,6,2021,-9223372036849793199_2021
45,-9223372036849342153,-9223372036073894590,24,VI,C4,11,Acidi Grassi Misti,0.587,g/100 g,14,6,2021,-9223372036849342153_2021
