,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,pH,6.54,,29,11,2017,-9223372036844316282_2017
1,-9223372036848115768,-9223372034205114804,21,BZ,C4,11,pH,6.64,,28,11,2017,-9223372036848115768_2017
2,-9223372036845023454,-9223372034205115158,21,BZ,C4,11,pH,6.57,,29,11,2017,-9223372036845023454_2017
4,-9223372036844362342,-9223372034205952370,21,BZ,C4,11,pH,6.6,,7,11,2017,-9223372036844362342_2017
5,-9223372036848115821,-9223372034205213321,21,BZ,C4,11,pH,6.66,,27,11,2017,-9223372036848115821_2017
7,-9223372036848636655,-9223372034205214551,21,BZ,C4,11,pH,0.0,,22,11,2017,-9223372036848636655_2017
8,-9223372036833055375,-9223372034205666167,21,BZ,C4,11,pH,6.56,,13,11,2017,-9223372036833055375_2017
10,-9223372036848126804,-9223372034205951865,21,BZ,C4,11,pH,6.7,,7,11,2017,-9223372036848126804_2017
13,-9223372036848661504,-9223372034205442487,21,BZ,C4,11,pH,0.0,,19,11,2017,-9223372036848661504_2017
19,-9223372036848636335,-9223372034205443824,21,BZ,C4,11,pH,0.0,,19,11,2017,-9223372036848636335_2017
23,-9223372036848115877,-9223372034205951969,21,BZ,C4,11,pH,6.77,,4,11,2017,-9223372036848115877_2017
34,-9223372036848126821,-9223372034205114779,21,BZ,C4,11,pH,6.6,,5,12,2017,-9223372036848126821_2017
36,-9223372036834756244,-9223372034204983266,21,BZ,C4,11,pH,6.49,,13,12,2017,-9223372036834756244_2017
37,-9223372036848126807,-9223372034204984981,21,BZ,C4,11,pH,6.66,,11,12,2017,-9223372036848126807_2017
42,-9223372036835134875,-9223372034204985037,21,BZ,C4,11,pH,6.71,,9,12,2017,-9223372036835134875_2017
46,-9223372036848115879,-9223372034205115024,21,BZ,C4,11,pH,6.51,,2,12,2017,-9223372036848115879_2017
52,-9223372036848126792,-9223372034205114856,21,BZ,C4,11,pH,6.58,,6,12,2017,-9223372036848126792_2017
118,-9223372036850370165,-9223372034203325071,25,BL,C4,11,pH,0.0,,6,2,2018,-9223372036850370165_2018
136,-9223372036850381987,-9223372034202390476,24,VI,C4,11,pH,0.0,,3,3,2018,-9223372036850381987_2018
151,-9223372036848565427,-9223372034201768253,24,VI,C4,11,pH,0.0,,22,3,2018,-9223372036848565427_2018
262,-9223372036848636321,-9223372034197191308,21,BZ,C4,11,pH,0.0,,21,9,2018,-9223372036848636321_2018
302,-9223372036848618040,-9223372034196834827,21,BZ,C4,11,pH,0.0,,12,10,2018,-9223372036848618040_2018
318,-9223372036848639283,-9223372034196390624,21,BZ,C4,11,pH,0.0,,10,11,2018,-9223372036848639283_2018
328,-9223372036848624973,-9223372034196391113,21,BZ,C4,11,pH,0.0,,10,11,2018,-9223372036848624973_2018
332,-9223372036848652566,-9223372034195767243,21,BZ,C4,11,pH,6.64,,30,11,2018,-9223372036848652566_2018
335,-9223372036848636884,-9223372034195767222,21,BZ,C4,11,pH,6.62,,30,11,2018,-9223372036848636884_2018
340,-9223372036848660444,-9223372034196391120,21,BZ,C4,11,pH,0.0,,10,11,2018,-9223372036848660444_2018
345,-9223372036848649752,-9223372036715223023,21,BZ,C4,11,pH,6.61,,19,12,2018,-9223372036848649752_2018
346,-9223372036848612613,-9223372036715216322,21,BZ,C4,11,pH,6.56,,19,12,2018,-9223372036848612613_2018
347,-9223372036848629494,-9223372036715197651,21,BZ,C4,11,pH,6.58,,22,12,2018,-9223372036848629494_2018
348,-9223372036848641352,-9223372036715181698,21,BZ,C4,11,pH,6.53,,23,12,2018,-9223372036848641352_2018
349,-9223372036848609489,-9223372036715175102,21,BZ,C4,11,pH,6.5,,27,12,2018,-9223372036848609489_2018
350,-9223372036848610549,-9223372036715092595,21,BZ,C4,11,pH,6.56,,28,12,2018,-9223372036848610549_2018
351,-9223372036848642534,-9223372036715092422,21,BZ,C4,11,pH,6.58,,28,12,2018,-9223372036848642534_2018
352,-9223372036849152931,-9223372036714869695,21,BZ,C4,11,pH,6.57,,18,12,2018,-9223372036849152931_2018
353,-9223372036849119983,-9223372036715235457,21,BZ,C4,11,pH,6.59,,30,12,2018,-9223372036849119983_2018
354,-9223372036848651146,-9223372036715178927,21,BZ,C4,11,pH,6.55,,24,12,2018,-9223372036848651146_2018
355,-9223372036848642144,-9223372036715139641,21,BZ,C4,11,pH,6.53,,23,12,2018,-9223372036848642144_2018
356,-9223372036848610547,-9223372036715114569,21,BZ,C4,11,pH,6.58,,21,12,2018,-9223372036848610547_2018
357,-9223372036848645733,-9223372036715110704,21,BZ,C4,11,pH,6.64,,18,12,2018,-9223372036848645733_2018
358,-9223372036848615014,-9223372036715104763,21,BZ,C4,11,pH,6.63,,18,12,2018,-9223372036848615014_2018
359,-9223372036848637987,-9223372036714889184,21,BZ,C4,11,pH,6.68,,14,12,2018,-9223372036848637987_2018
360,-9223372036848649845,-9223372036715260357,21,BZ,C4,11,pH,6.64,,18,12,2018,-9223372036848649845_2018
361,-9223372036848612193,-9223372036715234074,21,BZ,C4,11,pH,6.65,,21,12,2018,-9223372036848612193_2018
362,-9223372036848609522,-9223372036715217716,21,BZ,C4,11,pH,6.64,,18,12,2018,-9223372036848609522_2018
363,-9223372036848637216,-9223372036715199786,21,BZ,C4,11,pH,6.65,,25,12,2018,-9223372036848637216_2018
364,-9223372036848611906,-9223372036715183797,21,BZ,C4,11,pH,6.62,,18,12,2018,-9223372036848611906_2018
365,-9223372036848627295,-9223372036715137075,21,BZ,C4,11,pH,6.56,,21,12,2018,-9223372036848627295_2018
366,-9223372036848637962,-9223372036715100871,21,BZ,C4,11,pH,6.62,,29,12,2018,-9223372036848637962_2018
