,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
4,-9223372036849299052,-9223372036216348167,14,SO,C4,11,Acidi Grassi Preformati,1.062,g/100 g,28,5,2021,-9223372036849299052_2021
9,-9223372036847926672,-9223372036216345281,14,SO,C4,11,Acidi Grassi Preformati,2.057,g/100 g,28,5,2021,-9223372036847926672_2021
14,-9223372036847906781,-9223372036210852288,17,BS,C4,11,Acidi Grassi Preformati,2.918,g/100 g,31,5,2021,-9223372036847906781_2021
16,-9223372036850556287,-9223372036229790912,97,LC,C4,11,Acidi Grassi Preformati,1.381,g/100 g,14,5,2021,-9223372036850556287_2021
17,-9223372036850556269,-9223372036229791042,97,LC,C4,11,Acidi Grassi Preformati,1.19,g/100 g,14,5,2021,-9223372036850556269_2021
19,-9223372036849659934,-9223372036226354337,23,VR,C4,11,Acidi Grassi Preformati,1.72,g/100 g,21,5,2021,-9223372036849659934_2021
20,-9223372036849960668,-9223372036224382116,26,TV,C4,11,Acidi Grassi Preformati,1.206,g/100 g,26,5,2021,-9223372036849960668_2021
22,-9223372036849442727,-9223372036229655092,17,BS,C4,11,Acidi Grassi Preformati,1.538,g/100 g,13,5,2021,-9223372036849442727_2021
25,-9223372036849316765,-9223372036228140077,14,SO,C4,11,Acidi Grassi Preformati,1.15,g/100 g,18,5,2021,-9223372036849316765_2021
26,-9223372036849214952,-9223372036210852358,17,BS,C4,11,Acidi Grassi Preformati,1.517,g/100 g,31,5,2021,-9223372036849214952_2021
28,-9223372036850615919,-9223372036216350431,14,SO,C4,11,Acidi Grassi Preformati,1.551,g/100 g,28,5,2021,-9223372036850615919_2021
29,-9223372036849191272,-9223372036226782932,17,BS,C4,11,Acidi Grassi Preformati,2.067,g/100 g,24,5,2021,-9223372036849191272_2021
31,-9223372036848655698,-9223372036216346687,14,SO,C4,11,Acidi Grassi Preformati,0.458,g/100 g,28,5,2021,-9223372036848655698_2021
38,-9223372036850381987,-9223372036201082546,24,VI,C4,11,Acidi Grassi Preformati,0.97,g/100 g,28,5,2021,-9223372036850381987_2021
40,-9223372036850263161,-9223372036227709843,14,SO,C4,11,Acidi Grassi Preformati,1.237,g/100 g,18,5,2021,-9223372036850263161_2021
43,-9223372036848964584,-9223372036216346466,14,SO,C4,11,Acidi Grassi Preformati,1.531,g/100 g,28,5,2021,-9223372036848964584_2021
46,-9223372036849352468,-9223372036229655142,17,BS,C4,11,Acidi Grassi Preformati,1.143,g/100 g,13,5,2021,-9223372036849352468_2021
50,-9223372036848613436,-9223372036216345264,14,SO,C4,11,Acidi Grassi Preformati,1.088,g/100 g,28,5,2021,-9223372036848613436_2021
51,-9223372036850555268,-9223372036217719148,17,BS,C4,11,Acidi Grassi Preformati,0.855,g/100 g,28,5,2021,-9223372036850555268_2021
52,-9223372036849211902,-9223372036216349705,14,SO,C4,11,Acidi Grassi Preformati,1.524,g/100 g,28,5,2021,-9223372036849211902_2021
53,-9223372036849218245,-9223372036217719350,17,BS,C4,11,Acidi Grassi Preformati,0.464,g/100 g,28,5,2021,-9223372036849218245_2021
54,-9223372036850556276,-9223372036229791016,97,LC,C4,11,Acidi Grassi Preformati,1.697,g/100 g,14,5,2021,-9223372036850556276_2021
55,-9223372036849960679,-9223372036224382296,26,TV,C4,11,Acidi Grassi Preformati,1.727,g/100 g,26,5,2021,-9223372036849960679_2021
58,-9223372036847897827,-9223372036216345230,14,SO,C4,11,Acidi Grassi Preformati,3.647,g/100 g,28,5,2021,-9223372036847897827_2021
59,-9223372036850391119,-9223372036201082513,24,VI,C4,11,Acidi Grassi Preformati,0.985,g/100 g,28,5,2021,-9223372036850391119_2021
60,-9223372036849442731,-9223372036229655027,17,BS,C4,11,Acidi Grassi Preformati,1.238,g/100 g,13,5,2021,-9223372036849442731_2021
61,-9223372036850556281,-9223372036229790899,97,LC,C4,11,Acidi Grassi Preformati,1.255,g/100 g,14,5,2021,-9223372036850556281_2021
62,-9223372036848122566,-9223372036210852335,17,BS,C4,11,Acidi Grassi Preformati,1.9,g/100 g,31,5,2021,-9223372036848122566_2021
64,-9223372036850382584,-9223372036201082447,24,VI,C4,11,Acidi Grassi Preformati,1.047,g/100 g,28,5,2021,-9223372036850382584_2021
66,-9223372036849354808,-9223372036226353726,23,VR,C4,11,Acidi Grassi Preformati,1.406,g/100 g,21,5,2021,-9223372036849354808_2021
67,-9223372036849318960,-9223372036201083057,24,VI,C4,11,Acidi Grassi Preformati,1.712,g/100 g,28,5,2021,-9223372036849318960_2021
74,-9223372036848906190,-9223372036210852430,17,BS,C4,11,Acidi Grassi Preformati,1.391,g/100 g,31,5,2021,-9223372036848906190_2021
79,-9223372036850382618,-9223372036201082615,24,VI,C4,11,Acidi Grassi Preformati,1.125,g/100 g,28,5,2021,-9223372036850382618_2021
83,-9223372036849211904,-9223372036216347697,14,SO,C4,11,Acidi Grassi Preformati,1.464,g/100 g,28,5,2021,-9223372036849211904_2021
86,-9223372036849299050,-9223372036216347510,14,SO,C4,11,Acidi Grassi Preformati,1.555,g/100 g,28,5,2021,-9223372036849299050_2021
89,-9223372036849334709,-9223372036216347999,14,SO,C4,11,Acidi Grassi Preformati,1.159,g/100 g,28,5,2021,-9223372036849334709_2021
90,-9223372036849299053,-9223372036216345247,14,SO,C4,11,Acidi Grassi Preformati,1.265,g/100 g,28,5,2021,-9223372036849299053_2021
92,-9223372036849352466,-9223372036229655355,17,BS,C4,11,Acidi Grassi Preformati,0.973,g/100 g,13,5,2021,-9223372036849352466_2021
94,-9223372036848617098,-9223372036216347933,14,SO,C4,11,Acidi Grassi Preformati,1.55,g/100 g,28,5,2021,-9223372036848617098_2021
96,-9223372036848662344,-9223372036210852403,17,BS,C4,11,Acidi Grassi Preformati,1.665,g/100 g,31,5,2021,-9223372036848662344_2021
100,-9223372036848638118,-9223372036216346297,14,SO,C4,11,Acidi Grassi Preformati,0.924,g/100 g,28,5,2021,-9223372036848638118_2021
101,-9223372036849214951,-9223372036210852308,17,BS,C4,11,Acidi Grassi Preformati,1.64,g/100 g,31,5,2021,-9223372036849214951_2021
102,-9223372036849442858,-9223372036229655437,17,BS,C4,11,Acidi Grassi Preformati,1.311,g/100 g,13,5,2021,-9223372036849442858_2021
103,-9223372036849352471,-9223372036229655322,17,BS,C4,11,Acidi Grassi Preformati,1.295,g/100 g,13,5,2021,-9223372036849352471_2021
106,-9223372036849960689,-9223372036224381950,26,TV,C4,11,Acidi Grassi Preformati,1.01,g/100 g,26,5,2021,-9223372036849960689_2021
107,-9223372036849960620,-9223372036224381768,26,TV,C4,11,Acidi Grassi Preformati,1.14,g/100 g,26,5,2021,-9223372036849960620_2021
110,-9223372036847920033,-9223372036201082845,24,VI,C4,11,Acidi Grassi Preformati,1.1,g/100 g,28,5,2021,-9223372036847920033_2021
116,-9223372036844021782,-9223372036070486177,14,SO,C4,11,Acidi Grassi Preformati,1.133,g/100 g,15,6,2021,-9223372036844021782_2021
122,-9223372036847883683,-9223372036076470284,25,BL,C4,11,Acidi Grassi Preformati,0.614,g/100 g,10,6,2021,-9223372036847883683_2021
125,-9223372036850183334,-9223372036074008377,24,VI,C4,11,Acidi Grassi Preformati,0.805,g/100 g,14,6,2021,-9223372036850183334_2021
132,-9223372036849300505,-9223372036076470223,25,BL,C4,11,Acidi Grassi Preformati,1.874,g/100 g,10,6,2021,-9223372036849300505_2021
139,-9223372036849340677,-9223372036076654586,25,BL,C4,11,Acidi Grassi Preformati,1.087,g/100 g,10,6,2021,-9223372036849340677_2021
144,-9223372036850536197,-9223372036078704709,25,BL,C4,11,Acidi Grassi Preformati,0.798,g/100 g,9,6,2021,-9223372036850536197_2021
145,-9223372036849204764,-9223372036076655009,25,BL,C4,11,Acidi Grassi Preformati,0.945,g/100 g,10,6,2021,-9223372036849204764_2021
150,-9223372036844021774,-9223372036070486344,14,SO,C4,11,Acidi Grassi Preformati,1.098,g/100 g,15,6,2021,-9223372036844021774_2021
152,-9223372036844021776,-9223372036070486704,14,SO,C4,11,Acidi Grassi Preformati,1.22,g/100 g,15,6,2021,-9223372036844021776_2021
154,-9223372036849906467,-9223372036190808060,17,BS,C4,11,Acidi Grassi Preformati,1.874,g/100 g,3,6,2021,-9223372036849906467_2021
181,-9223372036849436168,-9223372036077788604,14,SO,C4,11,Acidi Grassi Preformati,0.988,g/100 g,8,6,2021,-9223372036849436168_2021
182,-9223372036849906315,-9223372036190808259,17,BS,C4,11,Acidi Grassi Preformati,1.678,g/100 g,3,6,2021,-9223372036849906315_2021
184,-9223372036849307350,-9223372036076654739,25,BL,C4,11,Acidi Grassi Preformati,1.043,g/100 g,10,6,2021,-9223372036849307350_2021
195,-9223372036849341285,-9223372036077839196,26,TV,C4,11,Acidi Grassi Preformati,1.389,g/100 g,9,6,2021,-9223372036849341285_2021
199,-9223372036850536380,-9223372036078704533,25,BL,C4,11,Acidi Grassi Preformati,1.12,g/100 g,9,6,2021,-9223372036850536380_2021
204,-9223372036844021775,-9223372036070486083,14,SO,C4,11,Acidi Grassi Preformati,0.948,g/100 g,15,6,2021,-9223372036844021775_2021
206,-9223372036849212020,-9223372036201364372,97,LC,C4,11,Acidi Grassi Preformati,2.248,g/100 g,1,6,2021,-9223372036849212020_2021
214,-9223372036847943502,-9223372035999374041,17,BS,C4,11,Acidi Grassi Preformati,1.762,g/100 g,29,6,2021,-9223372036847943502_2021
216,-9223372036849422923,-9223372036074632892,14,SO,C4,11,Acidi Grassi Preformati,1.98,g/100 g,11,6,2021,-9223372036849422923_2021
236,-9223372036849415948,-9223372036077707919,24,VI,C4,11,Acidi Grassi Preformati,1.434,g/100 g,10,6,2021,-9223372036849415948_2021
238,-9223372036850350250,-9223372036065036498,17,BS,C4,11,Acidi Grassi Preformati,1.691,g/100 g,22,6,2021,-9223372036850350250_2021
239,-9223372036850616123,-9223372036077789175,14,SO,C4,11,Acidi Grassi Preformati,1.292,g/100 g,8,6,2021,-9223372036850616123_2021
249,-9223372036849793204,-9223372036073895236,24,VI,C4,11,Acidi Grassi Preformati,1.516,g/100 g,14,6,2021,-9223372036849793204_2021
250,-9223372036849360019,-9223372036074630513,14,SO,C4,11,Acidi Grassi Preformati,1.186,g/100 g,11,6,2021,-9223372036849360019_2021
251,-9223372036849284758,-9223372036065036714,17,BS,C4,11,Acidi Grassi Preformati,1.917,g/100 g,22,6,2021,-9223372036849284758_2021
256,-9223372036849305105,-9223372035928975608,17,BS,C4,11,Acidi Grassi Preformati,1.371,g/100 g,7,7,2021,-9223372036849305105_2021
262,-9223372036849365934,-9223372035940194852,16,BG,C4,11,Acidi Grassi Preformati,1.438,g/100 g,7,7,2021,-9223372036849365934_2021
266,-9223372036849222408,-9223372035983958567,24,VI,C4,11,Acidi Grassi Preformati,1.246,g/100 g,5,7,2021,-9223372036849222408_2021
282,-9223372036849525748,-9223372035983957537,24,VI,C4,11,Acidi Grassi Preformati,1.213,g/100 g,5,7,2021,-9223372036849525748_2021
289,-9223372036849317005,-9223372035983958074,24,VI,C4,11,Acidi Grassi Preformati,1.394,g/100 g,5,7,2021,-9223372036849317005_2021
303,-9223372036849442739,-9223372035933236299,17,BS,C4,11,Acidi Grassi Preformati,1.176,g/100 g,7,7,2021,-9223372036849442739_2021
