,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
0,-9223372036216389225,-9223372036847795101,54,PG,C4,11,29,11,2017,2017-11-29,POSITIVA,2017-11-29,-9223372036847795101_2017-11-29
1,-9223372036216420328,-9223372036848631140,21,BZ,C4,11,19,11,2017,2017-11-19,POSITIVA,2017-11-19,-9223372036848631140_2017-11-19
2,-9223372036216422187,-9223372036848655958,21,BZ,C4,11,19,11,2017,2017-11-19,POSITIVA,2017-11-19,-9223372036848655958_2017-11-19
3,-9223372036216425632,-9223372036848658446,21,BZ,C4,11,12,11,2017,2017-11-12,POSITIVA,2017-11-12,-9223372036848658446_2017-11-12
4,-9223372036216426041,-9223372036848647512,21,BZ,C4,11,29,11,2017,2017-11-29,POSITIVA,2017-11-29,-9223372036848647512_2017-11-29
5,-9223372036216426095,-9223372036848631650,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036848631650_2017-11-13
6,-9223372036216426106,-9223372036849143241,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036849143241_2017-11-04
7,-9223372036216426530,-9223372036849125026,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036849125026_2017-11-04
8,-9223372036216426552,-9223372036848649979,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA,2017-11-25,-9223372036848649979_2017-11-25
9,-9223372036216426574,-9223372036848653180,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848653180_2017-11-07
10,-9223372036216426575,-9223372036848656596,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848656596_2017-11-07
11,-9223372036216427414,-9223372036848633087,21,BZ,C4,11,3,11,2017,2017-11-03,NEGATIVA,2017-11-03,-9223372036848633087_2017-11-03
12,-9223372036216427438,-9223372036842213441,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036842213441_2017-11-04
13,-9223372036216427446,-9223372036848657785,21,BZ,C4,11,4,11,2017,2017-11-04,RIVEDIBILE,2017-11-04,-9223372036848657785_2017-11-04
14,-9223372036216427514,-9223372036848656026,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036848656026_2017-11-04
15,-9223372036216427855,-9223372036848631787,21,BZ,C4,11,23,11,2017,2017-11-23,POSITIVA,2017-11-23,-9223372036848631787_2017-11-23
16,-9223372036216427863,-9223372036848627510,21,BZ,C4,11,1,11,2017,2017-11-01,POSITIVA,2017-11-01,-9223372036848627510_2017-11-01
17,-9223372036216427977,-9223372036848642534,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848642534_2017-11-11
18,-9223372036216427978,-9223372036848647886,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848647886_2017-11-11
19,-9223372036216428326,-9223372036848653939,21,BZ,C4,11,12,11,2017,2017-11-12,NEGATIVA,2017-11-12,-9223372036848653939_2017-11-12
