,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag,identifying_column
0,-9223372036723825976,-9223372036848640663,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,2.0,-9223372036848640663_2017-11-07
1,-9223372036723826303,-9223372036848631140,21,BZ,C4,11,19,11,2017,POSITIVA,2017-11-19,38.0,-9223372036848631140_2017-11-19
2,-9223372036723826345,-9223372036848634663,21,BZ,C4,11,19,11,2017,RIVEDIBILE,2017-11-19,79.0,-9223372036848634663_2017-11-19
3,-9223372036723826347,-9223372036848655958,21,BZ,C4,11,19,11,2017,POSITIVA,2017-11-19,66.0,-9223372036848655958_2017-11-19
4,-9223372036723826589,-9223372036848660254,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,3.0,-9223372036848660254_2017-11-02
5,-9223372036723829278,-9223372036848651167,21,BZ,C4,11,24,11,2017,NEGATIVA,2017-11-24,66.0,-9223372036848651167_2017-11-24
6,-9223372036723829831,-9223372036848651118,21,BZ,C4,11,1,11,2017,NEGATIVA,2017-11-01,43.0,-9223372036848651118_2017-11-01
7,-9223372036723830723,-9223372036848653180,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,81.0,-9223372036848653180_2017-11-07
8,-9223372036723830727,-9223372036848656596,21,BZ,C4,11,7,11,2017,POSITIVA,2017-11-07,78.0,-9223372036848656596_2017-11-07
9,-9223372036723830733,-9223372036848644372,21,BZ,C4,11,28,11,2017,NEGATIVA,2017-11-28,92.0,-9223372036848644372_2017-11-28
10,-9223372036723830756,-9223372036848657475,21,BZ,C4,11,29,11,2017,POSITIVA,2017-11-29,103.0,-9223372036848657475_2017-11-29
11,-9223372036723831508,-9223372036848658446,21,BZ,C4,11,12,11,2017,POSITIVA,2017-11-12,70.0,-9223372036848658446_2017-11-12
12,-9223372036723831683,-9223372036848647512,21,BZ,C4,11,29,11,2017,POSITIVA,2017-11-29,91.0,-9223372036848647512_2017-11-29
13,-9223372036723831688,-9223372036848649424,21,BZ,C4,11,14,11,2017,POSITIVA,2017-11-14,183.0,-9223372036848649424_2017-11-14
14,-9223372036723831973,-9223372036848628097,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,225.0,-9223372036848628097_2017-11-13
15,-9223372036723831974,-9223372036848631650,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,230.0,-9223372036848631650_2017-11-13
16,-9223372036723832028,-9223372036848637870,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,74.0,-9223372036848637870_2017-11-04
17,-9223372036723832033,-9223372036848656026,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,68.0,-9223372036848656026_2017-11-04
18,-9223372036723832041,-9223372036849143241,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,72.0,-9223372036849143241_2017-11-04
19,-9223372036723832181,-9223372036848628620,21,BZ,C4,11,14,11,2017,NEGATIVA,2017-11-14,54.0,-9223372036848628620_2017-11-14
