,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036848618390,-9223372036794517173,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.297,g/100 g,27,11,2017,-9223372036848618390_2017
5,-9223372036848637775,-9223372036794472235,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),3.203,g/100 g,21,11,2017,-9223372036848637775_2017
10,-9223372036848620468,-9223372036794493739,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.833,g/100 g,18,11,2017,-9223372036848620468_2017
17,-9223372036848659343,-9223372036794400244,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.122,g/100 g,26,11,2017,-9223372036848659343_2017
24,-9223372036848658891,-9223372036790586554,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.68,g/100 g,28,11,2017,-9223372036848658891_2017
39,-9223372036848662501,-9223372036794469203,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.573,g/100 g,28,11,2017,-9223372036848662501_2017
44,-9223372036848658062,-9223372036794401523,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.26,g/100 g,13,11,2017,-9223372036848658062_2017
49,-9223372036849126676,-9223372036790576309,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.099,g/100 g,23,11,2017,-9223372036849126676_2017
50,-9223372036848651449,-9223372036790570060,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.515,g/100 g,30,11,2017,-9223372036848651449_2017
51,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.511,g/100 g,29,11,2017,-9223372036844316282_2017
55,-9223372036848658479,-9223372036794480329,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.679,g/100 g,26,11,2017,-9223372036848658479_2017
57,-9223372036848661300,-9223372036794446365,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.819,g/100 g,17,11,2017,-9223372036848661300_2017
59,-9223372036848655400,-9223372036794419914,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.524,g/100 g,28,11,2017,-9223372036848655400_2017
62,-9223372036848655961,-9223372036791546629,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.765,g/100 g,26,11,2017,-9223372036848655961_2017
66,-9223372036848653966,-9223372036791517502,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.041,g/100 g,6,11,2017,-9223372036848653966_2017
72,-9223372036848637770,-9223372036794486939,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.337,g/100 g,26,11,2017,-9223372036848637770_2017
73,-9223372036848655697,-9223372036794482864,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.704,g/100 g,28,11,2017,-9223372036848655697_2017
81,-9223372036848649381,-9223372036794431671,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.449,g/100 g,25,11,2017,-9223372036848649381_2017
88,-9223372036848662173,-9223372036790582030,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.243,g/100 g,28,11,2017,-9223372036848662173_2017
95,-9223372036848646455,-9223372036794498107,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.254,g/100 g,29,11,2017,-9223372036848646455_2017
101,-9223372036848637966,-9223372036794417829,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.311,g/100 g,28,11,2017,-9223372036848637966_2017
102,-9223372036849124356,-9223372036794263426,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.736,g/100 g,15,11,2017,-9223372036849124356_2017
105,-9223372036848635947,-9223372036794635937,97,LC,C4,11,Acidi Grassi Saturi Totali (SFA),2.851,g/100 g,17,11,2017,-9223372036848635947_2017
106,-9223372036848642422,-9223372036794527160,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.423,g/100 g,24,11,2017,-9223372036848642422_2017
107,-9223372036848659785,-9223372036794498969,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.14,g/100 g,29,11,2017,-9223372036848659785_2017
108,-9223372036848660447,-9223372036794496557,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.664,g/100 g,29,11,2017,-9223372036848660447_2017
109,-9223372036848631012,-9223372036794492856,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.753,g/100 g,12,11,2017,-9223372036848631012_2017
112,-9223372036848645597,-9223372036794448863,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.214,g/100 g,24,11,2017,-9223372036848645597_2017
115,-9223372036848642826,-9223372036791541501,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.333,g/100 g,29,11,2017,-9223372036848642826_2017
125,-9223372036848627338,-9223372036794496280,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.976,g/100 g,29,11,2017,-9223372036848627338_2017
138,-9223372036848656364,-9223372036790596593,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.186,g/100 g,29,11,2017,-9223372036848656364_2017
139,-9223372036848623778,-9223372036790590779,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.023,g/100 g,21,11,2017,-9223372036848623778_2017
145,-9223372036848648379,-9223372036794497770,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.864,g/100 g,15,11,2017,-9223372036848648379_2017
146,-9223372036848659884,-9223372036794493393,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.084,g/100 g,16,11,2017,-9223372036848659884_2017
147,-9223372036849122848,-9223372036794485898,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.419,g/100 g,28,11,2017,-9223372036849122848_2017
153,-9223372036848641415,-9223372036791517818,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.73,g/100 g,8,11,2017,-9223372036848641415_2017
154,-9223372036848657359,-9223372036790588290,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.55,g/100 g,22,11,2017,-9223372036848657359_2017
160,-9223372036848658973,-9223372036794517778,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.259,g/100 g,26,11,2017,-9223372036848658973_2017
162,-9223372036848658263,-9223372036794490099,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.778,g/100 g,30,11,2017,-9223372036848658263_2017
165,-9223372036848626038,-9223372036794466750,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.76,g/100 g,13,11,2017,-9223372036848626038_2017
166,-9223372036848629651,-9223372036794464558,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.06,g/100 g,28,11,2017,-9223372036848629651_2017
173,-9223372036849084235,-9223372036794421992,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.159,g/100 g,27,11,2017,-9223372036849084235_2017
174,-9223372036848645523,-9223372036794388959,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.947,g/100 g,30,11,2017,-9223372036848645523_2017
176,-9223372036848647750,-9223372036790596646,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),3.238,g/100 g,28,11,2017,-9223372036848647750_2017
181,-9223372036848643476,-9223372036794524195,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.492,g/100 g,15,11,2017,-9223372036848643476_2017
188,-9223372036848623798,-9223372036794456822,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.908,g/100 g,7,11,2017,-9223372036848623798_2017
191,-9223372036849155954,-9223372036791521014,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.234,g/100 g,4,11,2017,-9223372036849155954_2017
194,-9223372036848620865,-9223372036790596031,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),1.883,g/100 g,24,11,2017,-9223372036848620865_2017
195,-9223372036848631164,-9223372036790593562,21,BZ,C4,11,Acidi Grassi Saturi Totali (SFA),2.653,g/100 g,9,11,2017,-9223372036848631164_2017
