,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo,identifying_column
1,-9223372035894417565,-9223372036849221556,,,C4,11,1,2,2021,105.0,,Genetico,Quadrimestrale,2021,,,,-9223372036849221556_2021
3,-9223372035851848097,-9223372036847939593,,,C4,11,6,5,2021,112.0,52.0,GENETICO,Semestrale,2021,,,,-9223372036847939593_2021
4,-9223372035851848109,-9223372036844245349,,,C4,11,6,5,2021,105.0,46.0,GENETICO,Semestrale,2021,,,,-9223372036844245349_2021
5,-9223372035851848121,-9223372036844187911,,,C4,11,6,5,2021,97.0,43.0,GENETICO,Semestrale,2021,,,,-9223372036844187911_2021
6,-9223372035851848133,-9223372036844187913,,,C4,11,6,5,2021,94.0,45.0,GENETICO,Semestrale,2021,,,,-9223372036844187913_2021
7,-9223372035851848145,-9223372036844187912,,,C4,11,6,5,2021,98.0,41.0,GENETICO,Semestrale,2021,,,,-9223372036844187912_2021
8,-9223372035851848157,-9223372036844294899,,,C4,11,6,5,2021,100.0,57.0,GENETICO,Semestrale,2021,,,,-9223372036844294899_2021
9,-9223372035851848169,-9223372036844316167,,,C4,11,6,5,2021,108.0,41.0,GENETICO,Semestrale,2021,,,,-9223372036844316167_2021
10,-9223372035851848181,-9223372036844203859,,,C4,11,6,5,2021,101.0,42.0,GENETICO,Semestrale,2021,,,,-9223372036844203859_2021
11,-9223372035851848193,-9223372036844203860,,,C4,11,6,5,2021,101.0,42.0,GENETICO,Semestrale,2021,,,,-9223372036844203860_2021
12,-9223372035851848205,-9223372036844294851,,,C4,11,6,5,2021,99.0,56.0,GENETICO,Semestrale,2021,,,,-9223372036844294851_2021
13,-9223372035851848217,-9223372036844315964,,,C4,11,6,5,2021,101.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036844315964_2021
14,-9223372035851848229,-9223372036844339193,,,C4,11,6,5,2021,102.0,37.0,GENETICO,Semestrale,2021,,,,-9223372036844339193_2021
