,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,Acido Stearico (C18:0),0.243,g/100 g,29,11,2017,-9223372036844316282_2017
1,-9223372036848115768,-9223372034205114804,21,BZ,C4,11,Acido Stearico (C18:0),0.346,g/100 g,28,11,2017,-9223372036848115768_2017
2,-9223372036845023454,-9223372034205115158,21,BZ,C4,11,Acido Stearico (C18:0),0.456,g/100 g,29,11,2017,-9223372036845023454_2017
3,-9223372036845080005,-9223372034205952003,21,BZ,C4,11,Acido Stearico (C18:0),0.357,g/100 g,3,11,2017,-9223372036845080005_2017
4,-9223372036844362342,-9223372034205952370,21,BZ,C4,11,Acido Stearico (C18:0),0.393,g/100 g,7,11,2017,-9223372036844362342_2017
5,-9223372036848115821,-9223372034205213321,21,BZ,C4,11,Acido Stearico (C18:0),0.242,g/100 g,27,11,2017,-9223372036848115821_2017
6,-9223372036848115797,-9223372034205951941,21,BZ,C4,11,Acido Stearico (C18:0),0.253,g/100 g,8,11,2017,-9223372036848115797_2017
7,-9223372036848636655,-9223372034205214551,21,BZ,C4,11,Acido Stearico (C18:0),0.0,g/100 g,22,11,2017,-9223372036848636655_2017
8,-9223372036833055375,-9223372034205666167,21,BZ,C4,11,Acido Stearico (C18:0),0.263,g/100 g,13,11,2017,-9223372036833055375_2017
9,-9223372036844070003,-9223372034205951913,21,BZ,C4,11,Acido Stearico (C18:0),0.238,g/100 g,8,11,2017,-9223372036844070003_2017
10,-9223372036848126804,-9223372034205951865,21,BZ,C4,11,Acido Stearico (C18:0),0.369,g/100 g,7,11,2017,-9223372036848126804_2017
11,-9223372036848115830,-9223372034205665967,21,BZ,C4,11,Acido Stearico (C18:0),0.284,g/100 g,15,11,2017,-9223372036848115830_2017
12,-9223372036830835693,-9223372034205951889,21,BZ,C4,11,Acido Stearico (C18:0),0.319,g/100 g,7,11,2017,-9223372036830835693_2017
13,-9223372036848661504,-9223372034205442487,21,BZ,C4,11,Acido Stearico (C18:0),0.0,g/100 g,19,11,2017,-9223372036848661504_2017
14,-9223372036844129812,-9223372034205666191,21,BZ,C4,11,Acido Stearico (C18:0),0.335,g/100 g,13,11,2017,-9223372036844129812_2017
15,-9223372036847975136,-9223372034205666127,21,BZ,C4,11,Acido Stearico (C18:0),0.225,g/100 g,9,11,2017,-9223372036847975136_2017
