,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036850185485,-9223372036797225320,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),5.46,min,28,11,2017,-9223372036850185485_2017
1,-9223372036848655058,-9223372036792537216,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),2.09,min,28,11,2017,-9223372036848655058_2017
2,-9223372036848570514,-9223372036798330212,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),2.36,min,10,11,2017,-9223372036848570514_2017
3,-9223372036850183357,-9223372036791501250,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),1.62,min,29,11,2017,-9223372036850183357_2017
4,-9223372036849884268,-9223372036795578725,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),7.67,min,15,11,2017,-9223372036849884268_2017
5,-9223372036849793225,-9223372036795218852,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),8.61,min,3,11,2017,-9223372036849793225_2017
6,-9223372036848660385,-9223372036793520635,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),5.47,min,3,11,2017,-9223372036848660385_2017
7,-9223372036848553913,-9223372036799453471,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),8.69,min,15,11,2017,-9223372036848553913_2017
8,-9223372036848629787,-9223372036798165294,30,UD,C4,11,Tempo di rassodamento del coagulo (K20),8.49,min,14,11,2017,-9223372036848629787_2017
9,-9223372036850577524,-9223372036799464369,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),4.69,min,15,11,2017,-9223372036850577524_2017
10,-9223372036850185944,-9223372036791501257,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),0.09,min,29,11,2017,-9223372036850185944_2017
11,-9223372036850185852,-9223372036797252352,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),3.79,min,29,11,2017,-9223372036850185852_2017
12,-9223372036848661934,-9223372036791209101,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),7.52,min,3,11,2017,-9223372036848661934_2017
13,-9223372036850346291,-9223372036798134518,30,UD,C4,11,Tempo di rassodamento del coagulo (K20),5.01,min,30,11,2017,-9223372036850346291_2017
14,-9223372036848646969,-9223372036793520634,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),5.96,min,3,11,2017,-9223372036848646969_2017
15,-9223372036850183262,-9223372036797269460,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),3.69,min,29,11,2017,-9223372036850183262_2017
16,-9223372036848568763,-9223372036797244492,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),2.48,min,28,11,2017,-9223372036848568763_2017
17,-9223372036848525700,-9223372036798117428,30,UD,C4,11,Tempo di rassodamento del coagulo (K20),8.68,min,30,11,2017,-9223372036848525700_2017
18,-9223372036848662077,-9223372036794124968,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),1.07,min,14,11,2017,-9223372036848662077_2017
19,-9223372036850391113,-9223372036798330244,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),6.1,min,10,11,2017,-9223372036850391113_2017
20,-9223372036850370190,-9223372036798272333,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),3.3,min,20,11,2017,-9223372036850370190_2017
21,-9223372036850251842,-9223372036798612047,30,UD,C4,11,Tempo di rassodamento del coagulo (K20),8.44,min,17,11,2017,-9223372036850251842_2017
22,-9223372036850381407,-9223372036798333301,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),3.67,min,10,11,2017,-9223372036850381407_2017
23,-9223372036849119392,-9223372036797242549,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),3.75,min,29,11,2017,-9223372036849119392_2017
24,-9223372036849553923,-9223372036798243524,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),5.64,min,20,11,2017,-9223372036849553923_2017
25,-9223372036848553251,-9223372036794959239,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),6.02,min,25,11,2017,-9223372036848553251_2017
26,-9223372036849087005,-9223372036799464364,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),6.31,min,15,11,2017,-9223372036849087005_2017
27,-9223372036849427855,-9223372036798354769,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),1.49,min,10,11,2017,-9223372036849427855_2017
28,-9223372036848573635,-9223372036792542916,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),2.03,min,29,11,2017,-9223372036848573635_2017
29,-9223372036849090448,-9223372036795786132,23,VR,C4,11,Tempo di rassodamento del coagulo (K20),8.2,min,6,11,2017,-9223372036849090448_2017
30,-9223372036848657876,-9223372036795203281,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),8.55,min,3,11,2017,-9223372036848657876_2017
31,-9223372036850184644,-9223372036797262079,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),3.26,min,28,11,2017,-9223372036850184644_2017
32,-9223372036848570515,-9223372036792542914,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),3.29,min,29,11,2017,-9223372036848570515_2017
33,-9223372036850176197,-9223372036792542928,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),0.59,min,29,11,2017,-9223372036850176197_2017
34,-9223372036848552238,-9223372036799430224,24,VI,C4,11,Tempo di rassodamento del coagulo (K20),5.24,min,6,11,2017,-9223372036848552238_2017
35,-9223372036848552297,-9223372036799462793,25,BL,C4,11,Tempo di rassodamento del coagulo (K20),3.61,min,15,11,2017,-9223372036848552297_2017
