,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036850185485,-9223372036797225320,24,VI,C4,11,Urea,19.3,mg/dl,28,11,2017,-9223372036850185485_2017
2,-9223372036848618390,-9223372036794517173,21,BZ,C4,11,Urea,24.7,mg/dl,27,11,2017,-9223372036848618390_2017
7,-9223372036848637775,-9223372036794472235,21,BZ,C4,11,Urea,20.6,mg/dl,21,11,2017,-9223372036848637775_2017
11,-9223372036848655058,-9223372036792537216,24,VI,C4,11,Urea,17.7,mg/dl,28,11,2017,-9223372036848655058_2017
13,-9223372036848600500,-9223372036791414941,22,TN,C4,11,Urea,31.88,mg/dl,10,11,2017,-9223372036848600500_2017
16,-9223372036848656036,-9223372036799249084,1,TO,C4,11,Urea,28.3,mg/dl,22,11,2017,-9223372036848656036_2017
17,-9223372036849087935,-9223372036796762584,1,TO,C4,11,Urea,16.55,mg/dl,29,11,2017,-9223372036849087935_2017
18,-9223372036849927804,-9223372036795802976,4,CN,C4,11,Urea,29.36,mg/dl,27,11,2017,-9223372036849927804_2017
19,-9223372036848654593,-9223372036794637530,96,BI,C4,11,Urea,32.85,mg/dl,22,11,2017,-9223372036848654593_2017
21,-9223372036848620468,-9223372036794493739,21,BZ,C4,11,Urea,20.0,mg/dl,18,11,2017,-9223372036848620468_2017
28,-9223372036848659343,-9223372036794400244,21,BZ,C4,11,Urea,27.1,mg/dl,26,11,2017,-9223372036848659343_2017
32,-9223372036848647127,-9223372036794178554,22,TN,C4,11,Urea,33.68,mg/dl,9,11,2017,-9223372036848647127_2017
36,-9223372036849065137,-9223372036790633820,1,TO,C4,11,Urea,12.92,mg/dl,10,11,2017,-9223372036849065137_2017
38,-9223372036848658891,-9223372036790586554,21,BZ,C4,11,Urea,20.3,mg/dl,28,11,2017,-9223372036848658891_2017
41,-9223372036848652244,-9223372036790579188,21,BZ,C4,11,Urea,21.4,mg/dl,17,11,2017,-9223372036848652244_2017
54,-9223372036848662501,-9223372036794469203,21,BZ,C4,11,Urea,11.0,mg/dl,28,11,2017,-9223372036848662501_2017
59,-9223372036848658062,-9223372036794401523,21,BZ,C4,11,Urea,20.5,mg/dl,13,11,2017,-9223372036848658062_2017
67,-9223372036849048714,-9223372036790913689,1,TO,C4,11,Urea,24.47,mg/dl,30,11,2017,-9223372036849048714_2017
69,-9223372036849126676,-9223372036790576309,21,BZ,C4,11,Urea,24.8,mg/dl,23,11,2017,-9223372036849126676_2017
70,-9223372036848651449,-9223372036790570060,21,BZ,C4,11,Urea,22.2,mg/dl,30,11,2017,-9223372036848651449_2017
71,-9223372036848605204,-9223372036790505850,22,TN,C4,11,Urea,24.05,mg/dl,17,11,2017,-9223372036848605204_2017
72,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,Urea,27.5,mg/dl,29,11,2017,-9223372036844316282_2017
73,-9223372036849245665,-9223372036795791271,1,TO,C4,11,Urea,25.79,mg/dl,30,11,2017,-9223372036849245665_2017
77,-9223372036848658479,-9223372036794480329,21,BZ,C4,11,Urea,16.3,mg/dl,26,11,2017,-9223372036848658479_2017
79,-9223372036848661300,-9223372036794446365,21,BZ,C4,11,Urea,23.0,mg/dl,17,11,2017,-9223372036848661300_2017
81,-9223372036848655400,-9223372036794419914,21,BZ,C4,11,Urea,27.8,mg/dl,28,11,2017,-9223372036848655400_2017
87,-9223372036848655961,-9223372036791546629,21,BZ,C4,11,Urea,17.7,mg/dl,26,11,2017,-9223372036848655961_2017
91,-9223372036848653966,-9223372036791517502,21,BZ,C4,11,Urea,32.0,mg/dl,6,11,2017,-9223372036848653966_2017
96,-9223372036848570514,-9223372036798330212,24,VI,C4,11,Urea,24.2,mg/dl,10,11,2017,-9223372036848570514_2017
102,-9223372036848637770,-9223372036794486939,21,BZ,C4,11,Urea,14.3,mg/dl,26,11,2017,-9223372036848637770_2017
103,-9223372036848655697,-9223372036794482864,21,BZ,C4,11,Urea,39.6,mg/dl,28,11,2017,-9223372036848655697_2017
111,-9223372036848649381,-9223372036794431671,21,BZ,C4,11,Urea,23.5,mg/dl,25,11,2017,-9223372036848649381_2017
119,-9223372036849064006,-9223372036792631657,1,TO,C4,11,Urea,10.74,mg/dl,21,11,2017,-9223372036849064006_2017
123,-9223372036848662173,-9223372036790582030,21,BZ,C4,11,Urea,23.6,mg/dl,28,11,2017,-9223372036848662173_2017
131,-9223372036849086980,-9223372036795855364,4,CN,C4,11,Urea,35.81,mg/dl,27,11,2017,-9223372036849086980_2017
133,-9223372036848646455,-9223372036794498107,21,BZ,C4,11,Urea,22.0,mg/dl,29,11,2017,-9223372036848646455_2017
139,-9223372036848637966,-9223372036794417829,21,BZ,C4,11,Urea,32.3,mg/dl,28,11,2017,-9223372036848637966_2017
140,-9223372036849124356,-9223372036794263426,21,BZ,C4,11,Urea,11.3,mg/dl,15,11,2017,-9223372036849124356_2017
143,-9223372036848635947,-9223372036794635937,97,LC,C4,11,Urea,39.5,mg/dl,17,11,2017,-9223372036848635947_2017
144,-9223372036848642422,-9223372036794527160,21,BZ,C4,11,Urea,23.2,mg/dl,24,11,2017,-9223372036848642422_2017
145,-9223372036848659785,-9223372036794498969,21,BZ,C4,11,Urea,25.1,mg/dl,29,11,2017,-9223372036848659785_2017
146,-9223372036848660447,-9223372036794496557,21,BZ,C4,11,Urea,21.8,mg/dl,29,11,2017,-9223372036848660447_2017
147,-9223372036848631012,-9223372036794492856,21,BZ,C4,11,Urea,25.3,mg/dl,12,11,2017,-9223372036848631012_2017
150,-9223372036848645597,-9223372036794448863,21,BZ,C4,11,Urea,29.4,mg/dl,24,11,2017,-9223372036848645597_2017
154,-9223372036848642826,-9223372036791541501,21,BZ,C4,11,Urea,10.8,mg/dl,29,11,2017,-9223372036848642826_2017
157,-9223372036850183357,-9223372036791501250,24,VI,C4,11,Urea,29.4,mg/dl,29,11,2017,-9223372036850183357_2017
164,-9223372036848650049,-9223372036794629359,96,BI,C4,11,Urea,21.33,mg/dl,22,11,2017,-9223372036848650049_2017
168,-9223372036848627338,-9223372036794496280,21,BZ,C4,11,Urea,21.1,mg/dl,29,11,2017,-9223372036848627338_2017
181,-9223372036848597198,-9223372036794252246,22,TN,C4,11,Urea,25.09,mg/dl,11,11,2017,-9223372036848597198_2017
184,-9223372036850171701,-9223372036792518362,2,VC,C4,11,Urea,33.28,mg/dl,15,11,2017,-9223372036850171701_2017
186,-9223372036848595084,-9223372036791407710,22,TN,C4,11,Urea,28.86,mg/dl,13,11,2017,-9223372036848595084_2017
187,-9223372036848656364,-9223372036790596593,21,BZ,C4,11,Urea,23.9,mg/dl,29,11,2017,-9223372036848656364_2017
188,-9223372036848623778,-9223372036790590779,21,BZ,C4,11,Urea,21.0,mg/dl,21,11,2017,-9223372036848623778_2017
195,-9223372036848648379,-9223372036794497770,21,BZ,C4,11,Urea,23.9,mg/dl,15,11,2017,-9223372036848648379_2017
196,-9223372036848659884,-9223372036794493393,21,BZ,C4,11,Urea,15.4,mg/dl,16,11,2017,-9223372036848659884_2017
197,-9223372036849122848,-9223372036794485898,21,BZ,C4,11,Urea,12.9,mg/dl,28,11,2017,-9223372036849122848_2017
202,-9223372036848650786,-9223372036794154223,22,TN,C4,11,Urea,28.93,mg/dl,17,11,2017,-9223372036848650786_2017
203,-9223372036848601959,-9223372036794119608,22,TN,C4,11,Urea,21.11,mg/dl,20,11,2017,-9223372036848601959_2017
207,-9223372036848641415,-9223372036791517818,21,BZ,C4,11,Urea,16.1,mg/dl,8,11,2017,-9223372036848641415_2017
208,-9223372036848657359,-9223372036790588290,21,BZ,C4,11,Urea,16.2,mg/dl,22,11,2017,-9223372036848657359_2017
214,-9223372036848658973,-9223372036794517778,21,BZ,C4,11,Urea,15.2,mg/dl,26,11,2017,-9223372036848658973_2017
216,-9223372036848658263,-9223372036794490099,21,BZ,C4,11,Urea,10.7,mg/dl,30,11,2017,-9223372036848658263_2017
219,-9223372036848626038,-9223372036794466750,21,BZ,C4,11,Urea,31.1,mg/dl,13,11,2017,-9223372036848626038_2017
220,-9223372036848629651,-9223372036794464558,21,BZ,C4,11,Urea,29.6,mg/dl,28,11,2017,-9223372036848629651_2017
227,-9223372036849084235,-9223372036794421992,21,BZ,C4,11,Urea,23.4,mg/dl,27,11,2017,-9223372036849084235_2017
228,-9223372036848645523,-9223372036794388959,21,BZ,C4,11,Urea,18.6,mg/dl,30,11,2017,-9223372036848645523_2017
231,-9223372036848603623,-9223372036794186422,22,TN,C4,11,Urea,21.51,mg/dl,13,11,2017,-9223372036848603623_2017
234,-9223372036848647750,-9223372036790596646,21,BZ,C4,11,Urea,23.3,mg/dl,28,11,2017,-9223372036848647750_2017
241,-9223372036848629787,-9223372036798165294,30,UD,C4,11,Urea,27.78,mg/dl,14,11,2017,-9223372036848629787_2017
243,-9223372036848643476,-9223372036794524195,21,BZ,C4,11,Urea,21.0,mg/dl,15,11,2017,-9223372036848643476_2017
250,-9223372036848623798,-9223372036794456822,21,BZ,C4,11,Urea,17.5,mg/dl,7,11,2017,-9223372036848623798_2017
254,-9223372036849155954,-9223372036791521014,21,BZ,C4,11,Urea,27.3,mg/dl,4,11,2017,-9223372036849155954_2017
257,-9223372036848620865,-9223372036790596031,21,BZ,C4,11,Urea,13.6,mg/dl,24,11,2017,-9223372036848620865_2017
258,-9223372036848631164,-9223372036790593562,21,BZ,C4,11,Urea,22.1,mg/dl,9,11,2017,-9223372036848631164_2017
263,-9223372036849041951,-9223372036797867409,2,VC,C4,11,Urea,38.57,mg/dl,17,11,2017,-9223372036849041951_2017
264,-9223372036850172279,-9223372036797184374,2,VC,C4,11,Urea,25.96,mg/dl,15,11,2017,-9223372036850172279_2017
266,-9223372036848647706,-9223372036794520305,21,BZ,C4,11,Urea,32.1,mg/dl,6,11,2017,-9223372036848647706_2017
270,-9223372036848642773,-9223372036794462124,21,BZ,C4,11,Urea,15.4,mg/dl,10,11,2017,-9223372036848642773_2017
273,-9223372036848645004,-9223372036794430334,21,BZ,C4,11,Urea,20.7,mg/dl,24,11,2017,-9223372036848645004_2017
274,-9223372036848639192,-9223372036794407761,21,BZ,C4,11,Urea,32.4,mg/dl,27,11,2017,-9223372036848639192_2017
276,-9223372036848658407,-9223372036794379318,21,BZ,C4,11,Urea,22.2,mg/dl,26,11,2017,-9223372036848658407_2017
280,-9223372036848632836,-9223372036791528793,21,BZ,C4,11,Urea,13.1,mg/dl,27,11,2017,-9223372036848632836_2017
294,-9223372036848646441,-9223372036794464564,21,BZ,C4,11,Urea,28.4,mg/dl,28,11,2017,-9223372036848646441_2017
297,-9223372036848645665,-9223372036794390402,21,BZ,C4,11,Urea,21.0,mg/dl,26,11,2017,-9223372036848645665_2017
304,-9223372036848652568,-9223372036791197510,21,BZ,C4,11,Urea,27.3,mg/dl,12,11,2017,-9223372036848652568_2017
307,-9223372036848654019,-9223372036790580278,21,BZ,C4,11,Urea,25.1,mg/dl,28,11,2017,-9223372036848654019_2017
308,-9223372036848654491,-9223372036790562459,21,BZ,C4,11,Urea,24.7,mg/dl,28,11,2017,-9223372036848654491_2017
309,-9223372036848034032,-9223372036794524179,21,BZ,C4,11,Urea,24.4,mg/dl,15,11,2017,-9223372036848034032_2017
311,-9223372036848623971,-9223372036794516806,21,BZ,C4,11,Urea,25.0,mg/dl,17,11,2017,-9223372036848623971_2017
314,-9223372036848650035,-9223372036794485283,21,BZ,C4,11,Urea,17.9,mg/dl,29,11,2017,-9223372036848650035_2017
315,-9223372036848661880,-9223372036794477147,21,BZ,C4,11,Urea,25.1,mg/dl,8,11,2017,-9223372036848661880_2017
319,-9223372036848657784,-9223372036794466357,21,BZ,C4,11,Urea,30.9,mg/dl,28,11,2017,-9223372036848657784_2017
322,-9223372036848630212,-9223372036794463360,21,BZ,C4,11,Urea,17.4,mg/dl,16,11,2017,-9223372036848630212_2017
323,-9223372036848658930,-9223372036794462443,21,BZ,C4,11,Urea,22.9,mg/dl,27,11,2017,-9223372036848658930_2017
324,-9223372036848653100,-9223372036794455457,21,BZ,C4,11,Urea,27.0,mg/dl,28,11,2017,-9223372036848653100_2017
330,-9223372036850391960,-9223372036792943011,1,TO,C4,11,Urea,17.64,mg/dl,20,11,2017,-9223372036850391960_2017
331,-9223372036848641452,-9223372036791546454,21,BZ,C4,11,Urea,22.1,mg/dl,27,11,2017,-9223372036848641452_2017
333,-9223372036848644408,-9223372036791533994,21,BZ,C4,11,Urea,36.3,mg/dl,14,11,2017,-9223372036848644408_2017
334,-9223372036850185944,-9223372036791501257,24,VI,C4,11,Urea,27.1,mg/dl,29,11,2017,-9223372036850185944_2017
340,-9223372036850185852,-9223372036797252352,24,VI,C4,11,Urea,34.3,mg/dl,29,11,2017,-9223372036850185852_2017
341,-9223372036848620848,-9223372036794540507,21,BZ,C4,11,Urea,26.5,mg/dl,29,11,2017,-9223372036848620848_2017
343,-9223372036848630535,-9223372036794516226,21,BZ,C4,11,Urea,35.1,mg/dl,14,11,2017,-9223372036848630535_2017
348,-9223372036848625959,-9223372036794476891,21,BZ,C4,11,Urea,26.0,mg/dl,25,11,2017,-9223372036848625959_2017
352,-9223372036848640923,-9223372036794451221,21,BZ,C4,11,Urea,19.6,mg/dl,4,11,2017,-9223372036848640923_2017
355,-9223372036848644112,-9223372036794408384,21,BZ,C4,11,Urea,28.5,mg/dl,28,11,2017,-9223372036848644112_2017
358,-9223372036848651161,-9223372036791542464,21,BZ,C4,11,Urea,23.1,mg/dl,27,11,2017,-9223372036848651161_2017
367,-9223372036848643355,-9223372036794510381,21,BZ,C4,11,Urea,25.2,mg/dl,21,11,2017,-9223372036848643355_2017
370,-9223372036848629170,-9223372036794500398,21,BZ,C4,11,Urea,19.0,mg/dl,28,11,2017,-9223372036848629170_2017
379,-9223372036848634455,-9223372036794411120,21,BZ,C4,11,Urea,4.0,mg/dl,14,11,2017,-9223372036848634455_2017
385,-9223372036850096376,-9223372036792360755,1,TO,C4,11,Urea,15.97,mg/dl,29,11,2017,-9223372036850096376_2017
386,-9223372036850095759,-9223372036792360731,1,TO,C4,11,Urea,20.21,mg/dl,29,11,2017,-9223372036850095759_2017
390,-9223372036848659795,-9223372036791513138,21,BZ,C4,11,Urea,26.6,mg/dl,24,11,2017,-9223372036848659795_2017
392,-9223372036848630175,-9223372036790592891,21,BZ,C4,11,Urea,15.7,mg/dl,14,11,2017,-9223372036848630175_2017
394,-9223372036848630196,-9223372036790588373,21,BZ,C4,11,Urea,35.0,mg/dl,27,11,2017,-9223372036848630196_2017
397,-9223372036848652589,-9223372036790584078,21,BZ,C4,11,Urea,25.9,mg/dl,25,11,2017,-9223372036848652589_2017
400,-9223372036849084546,-9223372036795137941,16,BG,C4,11,Urea,19.5,mg/dl,23,11,2017,-9223372036849084546_2017
402,-9223372036849103049,-9223372036794498112,21,BZ,C4,11,Urea,16.3,mg/dl,29,11,2017,-9223372036849103049_2017
409,-9223372036848634255,-9223372036794467251,21,BZ,C4,11,Urea,15.4,mg/dl,29,11,2017,-9223372036848634255_2017
410,-9223372036848653013,-9223372036794459204,21,BZ,C4,11,Urea,36.2,mg/dl,1,11,2017,-9223372036848653013_2017
413,-9223372036848651757,-9223372036794421115,21,BZ,C4,11,Urea,24.0,mg/dl,29,11,2017,-9223372036848651757_2017
415,-9223372036848658359,-9223372036794398308,21,BZ,C4,11,Urea,18.9,mg/dl,27,11,2017,-9223372036848658359_2017
418,-9223372036848602648,-9223372036794212331,22,TN,C4,11,Urea,30.27,mg/dl,20,11,2017,-9223372036848602648_2017
422,-9223372036848034430,-9223372036791549416,21,BZ,C4,11,Urea,14.1,mg/dl,28,11,2017,-9223372036848034430_2017
424,-9223372036848642283,-9223372036791527111,21,BZ,C4,11,Urea,32.1,mg/dl,3,11,2017,-9223372036848642283_2017
425,-9223372036848657306,-9223372036791516774,21,BZ,C4,11,Urea,22.7,mg/dl,26,11,2017,-9223372036848657306_2017
430,-9223372036848648338,-9223372036794499296,21,BZ,C4,11,Urea,14.4,mg/dl,28,11,2017,-9223372036848648338_2017
437,-9223372036848649379,-9223372036794430509,21,BZ,C4,11,Urea,14.0,mg/dl,28,11,2017,-9223372036848649379_2017
444,-9223372036848659839,-9223372036790664961,17,BS,C4,11,Urea,16.7,mg/dl,7,11,2017,-9223372036848659839_2017
445,-9223372036848115768,-9223372034205114804,21,BZ,C4,11,Urea,21.4,mg/dl,28,11,2017,-9223372036848115768_2017
448,-9223372036848647768,-9223372036794524797,21,BZ,C4,11,Urea,37.3,mg/dl,6,11,2017,-9223372036848647768_2017
456,-9223372036848648542,-9223372036794453760,21,BZ,C4,11,Urea,28.0,mg/dl,28,11,2017,-9223372036848648542_2017
460,-9223372036848649961,-9223372036794409588,21,BZ,C4,11,Urea,26.5,mg/dl,29,11,2017,-9223372036848649961_2017
462,-9223372036849101795,-9223372036794390411,21,BZ,C4,11,Urea,28.7,mg/dl,26,11,2017,-9223372036849101795_2017
463,-9223372036849060157,-9223372036793271696,1,TO,C4,11,Urea,27.3,mg/dl,22,11,2017,-9223372036849060157_2017
472,-9223372036850095830,-9223372036796742514,1,TO,C4,11,Urea,19.29,mg/dl,29,11,2017,-9223372036850095830_2017
473,-9223372036848645240,-9223372036794537050,21,BZ,C4,11,Urea,12.0,mg/dl,12,11,2017,-9223372036848645240_2017
474,-9223372036848623356,-9223372036794517208,21,BZ,C4,11,Urea,33.6,mg/dl,30,11,2017,-9223372036848623356_2017
475,-9223372036848654490,-9223372036794499610,21,BZ,C4,11,Urea,24.8,mg/dl,29,11,2017,-9223372036848654490_2017
476,-9223372036848640246,-9223372036794478108,21,BZ,C4,11,Urea,40.9,mg/dl,7,11,2017,-9223372036848640246_2017
478,-9223372036848653337,-9223372036794472464,21,BZ,C4,11,Urea,20.5,mg/dl,21,11,2017,-9223372036848653337_2017
479,-9223372036848631483,-9223372036794468527,21,BZ,C4,11,Urea,26.1,mg/dl,17,11,2017,-9223372036848631483_2017
481,-9223372036848654131,-9223372036794433533,21,BZ,C4,11,Urea,29.3,mg/dl,6,11,2017,-9223372036848654131_2017
482,-9223372036848644165,-9223372036794421105,21,BZ,C4,11,Urea,25.2,mg/dl,29,11,2017,-9223372036848644165_2017
483,-9223372036848615483,-9223372036794419405,21,BZ,C4,11,Urea,16.8,mg/dl,29,11,2017,-9223372036848615483_2017
489,-9223372036848622344,-9223372036791529366,21,BZ,C4,11,Urea,33.0,mg/dl,28,11,2017,-9223372036848622344_2017
492,-9223372036848596507,-9223372036791447867,22,TN,C4,11,Urea,36.23,mg/dl,6,11,2017,-9223372036848596507_2017
493,-9223372036848653860,-9223372036791444732,22,TN,C4,11,Urea,30.49,mg/dl,10,11,2017,-9223372036848653860_2017
498,-9223372036845023454,-9223372034205115158,21,BZ,C4,11,Urea,21.9,mg/dl,29,11,2017,-9223372036845023454_2017
499,-9223372036849090804,-9223372036794817212,17,BS,C4,11,Urea,13.8,mg/dl,7,11,2017,-9223372036849090804_2017
508,-9223372036848640894,-9223372036794455453,21,BZ,C4,11,Urea,26.4,mg/dl,28,11,2017,-9223372036848640894_2017
509,-9223372036848631489,-9223372036794449143,21,BZ,C4,11,Urea,27.3,mg/dl,28,11,2017,-9223372036848631489_2017
518,-9223372036848644958,-9223372036791526284,21,BZ,C4,11,Urea,19.6,mg/dl,25,11,2017,-9223372036848644958_2017
519,-9223372036848662037,-9223372036791521775,21,BZ,C4,11,Urea,28.6,mg/dl,28,11,2017,-9223372036848662037_2017
523,-9223372036849135546,-9223372036790575475,21,BZ,C4,11,Urea,30.8,mg/dl,26,11,2017,-9223372036849135546_2017
525,-9223372036848661611,-9223372034205286542,1,TO,C4,11,Urea,20.19,mg/dl,27,11,2017,-9223372036848661611_2017
526,-9223372036850346291,-9223372036798134518,30,UD,C4,11,Urea,34.7,mg/dl,30,11,2017,-9223372036850346291_2017
531,-9223372036848631791,-9223372036794492858,21,BZ,C4,11,Urea,15.0,mg/dl,12,11,2017,-9223372036848631791_2017
538,-9223372036848646284,-9223372036794414536,21,BZ,C4,11,Urea,19.4,mg/dl,13,11,2017,-9223372036848646284_2017
542,-9223372036848635196,-9223372036791540464,21,BZ,C4,11,Urea,24.8,mg/dl,28,11,2017,-9223372036848635196_2017
543,-9223372036848632300,-9223372036791535991,21,BZ,C4,11,Urea,25.4,mg/dl,28,11,2017,-9223372036848632300_2017
545,-9223372036850610282,-9223372034205476687,17,BS,C4,11,Urea,17.0,mg/dl,23,11,2017,-9223372036850610282_2017
547,-9223372036848658828,-9223372036794484465,21,BZ,C4,11,Urea,12.2,mg/dl,15,11,2017,-9223372036848658828_2017
548,-9223372036848626095,-9223372036794480395,21,BZ,C4,11,Urea,23.6,mg/dl,4,11,2017,-9223372036848626095_2017
554,-9223372036848636905,-9223372036794433060,21,BZ,C4,11,Urea,12.3,mg/dl,30,11,2017,-9223372036848636905_2017
560,-9223372036848659531,-9223372036791549362,21,BZ,C4,11,Urea,21.7,mg/dl,29,11,2017,-9223372036848659531_2017
561,-9223372036848642251,-9223372036791521002,21,BZ,C4,11,Urea,17.7,mg/dl,4,11,2017,-9223372036848642251_2017
565,-9223372036848639243,-9223372036790580478,21,BZ,C4,11,Urea,22.3,mg/dl,25,11,2017,-9223372036848639243_2017
567,-9223372036850172432,-9223372036797175529,2,VC,C4,11,Urea,26.25,mg/dl,15,11,2017,-9223372036850172432_2017
568,-9223372036848220285,-9223372036794684467,96,BI,C4,11,Urea,20.72,mg/dl,24,11,2017,-9223372036848220285_2017
570,-9223372036848648988,-9223372036794502323,21,BZ,C4,11,Urea,35.3,mg/dl,24,11,2017,-9223372036848648988_2017
573,-9223372036848657778,-9223372036794466354,21,BZ,C4,11,Urea,36.2,mg/dl,28,11,2017,-9223372036848657778_2017
579,-9223372036848661297,-9223372036794174595,22,TN,C4,11,Urea,24.86,mg/dl,3,11,2017,-9223372036848661297_2017
583,-9223372036849041994,-9223372036792518358,2,VC,C4,11,Urea,30.05,mg/dl,15,11,2017,-9223372036849041994_2017
586,-9223372036848660505,-9223372036790596416,21,BZ,C4,11,Urea,24.3,mg/dl,7,11,2017,-9223372036848660505_2017
588,-9223372036850391970,-9223372036798361394,1,TO,C4,11,Urea,25.72,mg/dl,20,11,2017,-9223372036850391970_2017
589,-9223372036849396237,-9223372036796782138,1,TO,C4,11,Urea,18.94,mg/dl,29,11,2017,-9223372036849396237_2017
597,-9223372036849142393,-9223372036794450055,21,BZ,C4,11,Urea,27.7,mg/dl,11,11,2017,-9223372036849142393_2017
604,-9223372036848660947,-9223372036794145615,22,TN,C4,11,Urea,26.39,mg/dl,8,11,2017,-9223372036848660947_2017
609,-9223372036848649588,-9223372036791531919,21,BZ,C4,11,Urea,13.2,mg/dl,30,11,2017,-9223372036848649588_2017
612,-9223372036848630296,-9223372036790581342,21,BZ,C4,11,Urea,7.8,mg/dl,27,11,2017,-9223372036848630296_2017
617,-9223372036848659224,-9223372036794490721,21,BZ,C4,11,Urea,25.8,mg/dl,30,11,2017,-9223372036848659224_2017
620,-9223372036849106707,-9223372036794419866,21,BZ,C4,11,Urea,20.7,mg/dl,26,11,2017,-9223372036849106707_2017
621,-9223372036848656590,-9223372036794387135,21,BZ,C4,11,Urea,18.7,mg/dl,29,11,2017,-9223372036848656590_2017
626,-9223372036848637768,-9223372036791546472,21,BZ,C4,11,Urea,19.2,mg/dl,25,11,2017,-9223372036848637768_2017
632,-9223372036850183262,-9223372036797269460,24,VI,C4,11,Urea,28.9,mg/dl,29,11,2017,-9223372036850183262_2017
638,-9223372036848634595,-9223372036794467665,21,BZ,C4,11,Urea,23.3,mg/dl,15,11,2017,-9223372036848634595_2017
652,-9223372036848645264,-9223372036791540465,21,BZ,C4,11,Urea,19.3,mg/dl,28,11,2017,-9223372036848645264_2017
656,-9223372036848654988,-9223372036791522703,21,BZ,C4,11,Urea,18.1,mg/dl,14,11,2017,-9223372036848654988_2017
659,-9223372036848635259,-9223372036790584213,21,BZ,C4,11,Urea,15.5,mg/dl,17,11,2017,-9223372036848635259_2017
662,-9223372036848658763,-9223372036790554305,21,BZ,C4,11,Urea,29.8,mg/dl,18,11,2017,-9223372036848658763_2017
664,-9223372036850548550,-9223372036799253988,1,TO,C4,11,Urea,30.05,mg/dl,22,11,2017,-9223372036850548550_2017
667,-9223372036848635191,-9223372036794497177,21,BZ,C4,11,Urea,21.5,mg/dl,13,11,2017,-9223372036848635191_2017
668,-9223372036848652569,-9223372036794490719,21,BZ,C4,11,Urea,10.8,mg/dl,30,11,2017,-9223372036848652569_2017
671,-9223372036848623967,-9223372036794472205,21,BZ,C4,11,Urea,39.2,mg/dl,24,11,2017,-9223372036848623967_2017
673,-9223372036848631119,-9223372036794451883,21,BZ,C4,11,Urea,33.5,mg/dl,27,11,2017,-9223372036848631119_2017
676,-9223372036848646263,-9223372036794417840,21,BZ,C4,11,Urea,20.0,mg/dl,28,11,2017,-9223372036848646263_2017
681,-9223372036848605933,-9223372036794202647,22,TN,C4,11,Urea,29.17,mg/dl,6,11,2017,-9223372036848605933_2017
