,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036850185485,-9223372036797225320,24,VI,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,28,11,2017,-9223372036850185485_2017
1,-9223372036848618390,-9223372036794517173,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.04,mM/l,27,11,2017,-9223372036848618390_2017
5,-9223372036848627516,-9223372036794480939,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,23,11,2017,-9223372036848627516_2017
6,-9223372036848637775,-9223372036794472235,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.09,mM/l,21,11,2017,-9223372036848637775_2017
8,-9223372036848601681,-9223372036794144290,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.07,mM/l,16,11,2017,-9223372036848601681_2017
9,-9223372036848655058,-9223372036792537216,24,VI,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,28,11,2017,-9223372036848655058_2017
10,-9223372036848600500,-9223372036791414941,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,10,11,2017,-9223372036848600500_2017
17,-9223372036848659343,-9223372036794400244,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,26,11,2017,-9223372036848659343_2017
20,-9223372036848597992,-9223372036794193528,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.05,mM/l,17,11,2017,-9223372036848597992_2017
21,-9223372036848647127,-9223372036794178554,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.32,mM/l,9,11,2017,-9223372036848647127_2017
24,-9223372036848658891,-9223372036790586554,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,28,11,2017,-9223372036848658891_2017
25,-9223372036848657068,-9223372036790585631,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.04,mM/l,13,11,2017,-9223372036848657068_2017
39,-9223372036848662501,-9223372036794469203,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,28,11,2017,-9223372036848662501_2017
43,-9223372036848658062,-9223372036794401523,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.04,mM/l,13,11,2017,-9223372036848658062_2017
45,-9223372036849095569,-9223372036794156897,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,12,11,2017,-9223372036849095569_2017
46,-9223372036849157460,-9223372036794122449,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,10,11,2017,-9223372036849157460_2017
48,-9223372036848651174,-9223372036791537043,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,4,11,2017,-9223372036848651174_2017
50,-9223372036848651449,-9223372036790570060,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,30,11,2017,-9223372036848651449_2017
51,-9223372036848605204,-9223372036790505850,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.16,mM/l,17,11,2017,-9223372036848605204_2017
52,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,29,11,2017,-9223372036844316282_2017
56,-9223372036848658479,-9223372036794480329,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.04,mM/l,26,11,2017,-9223372036848658479_2017
58,-9223372036848661300,-9223372036794446365,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,17,11,2017,-9223372036848661300_2017
60,-9223372036848655400,-9223372036794419914,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.04,mM/l,28,11,2017,-9223372036848655400_2017
61,-9223372036848644173,-9223372036794407439,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.01,mM/l,24,11,2017,-9223372036848644173_2017
63,-9223372036848592178,-9223372036794199086,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,6,11,2017,-9223372036848592178_2017
64,-9223372036848644114,-9223372036794135107,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.04,mM/l,30,11,2017,-9223372036848644114_2017
65,-9223372036848655961,-9223372036791546629,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.06,mM/l,26,11,2017,-9223372036848655961_2017
69,-9223372036848653966,-9223372036791517502,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.01,mM/l,6,11,2017,-9223372036848653966_2017
73,-9223372036848570514,-9223372036798330212,24,VI,C4,11,ß-idrossibutirrato (BHBA),0.13,mM/l,10,11,2017,-9223372036848570514_2017
76,-9223372036848637770,-9223372036794486939,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,26,11,2017,-9223372036848637770_2017
77,-9223372036848655697,-9223372036794482864,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.06,mM/l,28,11,2017,-9223372036848655697_2017
78,-9223372036849149057,-9223372036794480737,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.02,mM/l,4,11,2017,-9223372036849149057_2017
84,-9223372036848651930,-9223372036794422382,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,1,11,2017,-9223372036848651930_2017
87,-9223372036848657163,-9223372036794198181,22,TN,C4,11,ß-idrossibutirrato (BHBA),0.1,mM/l,20,11,2017,-9223372036848657163_2017
91,-9223372036848662173,-9223372036790582030,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,28,11,2017,-9223372036848662173_2017
94,-9223372036848629934,-9223372036790557995,21,BZ,C4,11,ß-idrossibutirrato (BHBA),0.03,mM/l,12,11,2017,-9223372036848629934_2017
