"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","CodiceAziendaNascita","DestinazioneSoggetto","PesoAllaNascita","NumeroCapezzoli","date_formatted"
-9223372036104778752,-9223372036848004096,21,"BZ","C4",11,1,1,2017,-9223372036849263616,"Vita",NA,NA,2017-01-01
-9223372036109052928,-9223372036848118784,21,"BZ","C4",11,1,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-01
-9223372036113774592,-9223372036845960192,22,"TN","C4",11,1,1,2017,-9223372036849256448,"Macello",NA,NA,2017-01-01
-9223372036079303680,-9223372036844052480,21,"BZ","C4",11,3,1,2017,-9223372036847781888,"Vita",NA,NA,2017-01-03
-9223372036081488896,-9223372036844138496,21,"BZ","C4",11,3,1,2017,-9223372036849168384,"Vita",NA,NA,2017-01-03
-9223372036108678144,-9223372036848119808,21,"BZ","C4",11,5,1,2017,-9223372036849263616,"Vita",NA,NA,2017-01-05
-9223372036110435328,-9223372036848126976,21,"BZ","C4",11,5,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-05
-9223372036105454592,-9223372036848010240,21,"BZ","C4",11,6,1,2017,-9223372036849263616,"Vita",NA,NA,2017-01-06
-9223372036106606592,-9223372036848018432,21,"BZ","C4",11,6,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-06
-9223372036110984192,-9223372036848121856,21,"BZ","C4",11,11,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-11
-9223372036106179584,-9223372036848015360,21,"BZ","C4",11,12,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-12
-9223372036106971136,-9223372036848123904,21,"BZ","C4",11,13,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-13
-9223372036111104000,-9223372036848117760,21,"BZ","C4",11,13,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-13
-9223372036118295552,-9223372036846099456,21,"BZ","C4",11,13,1,2017,-9223372036847435776,"Vita",NA,NA,2017-01-13
-9223372036118297600,-9223372036846326784,21,"BZ","C4",11,13,1,2017,-9223372036847435776,"Macello",NA,NA,2017-01-13
-9223372036108675072,-9223372036848120832,21,"BZ","C4",11,14,1,2017,-9223372036849263616,"Vita",NA,NA,2017-01-14
-9223372036118618112,-9223372036846617600,21,"BZ","C4",11,15,1,2017,-9223372036849256448,"Vita",NA,NA,2017-01-15
-9223372036105439232,-9223372036848009216,21,"BZ","C4",11,18,1,2017,-9223372036849259520,"Vita",NA,NA,2017-01-18
-9223372036087303168,-9223372036847351808,21,"BZ","C4",11,21,1,2017,-9223372036847410176,"Vita",NA,NA,2017-01-21
-9223372032714634240,-9223372036838558720,21,"BZ","C4",11,22,1,2017,-9223372036847378432,"Vita",NA,NA,2017-01-22
-9223372036104371200,-9223372036848002048,21,"BZ","C4",11,23,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-23
-9223372036101665792,-9223372036847987712,21,"BZ","C4",11,24,1,2017,-9223372036849261568,"Vita",NA,NA,2017-01-24
-9223372035840088064,-9223372036835155968,21,"BZ","C4",11,25,1,2017,-9223372036849185792,"Vita",NA,NA,2017-01-25
-9223372036103878656,-9223372036847996928,21,"BZ","C4",11,5,2,2017,-9223372036849263616,"Vita",NA,NA,2017-02-05
-9223372036105896960,-9223372036848013312,21,"BZ","C4",11,5,2,2017,-9223372036849263616,"Vita",NA,NA,2017-02-05
