"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataEliminazione","MotivoEliminazione"
-9223372036176924672,-9223372036847505408,54,"PG","C4",11,24,11,2017,"2017-11-24","Macello"
-9223372036176968704,-9223372036847855616,22,"TN","C4",11,15,11,2017,"2017-11-15","Macello"
-9223372036176970752,-9223372036846907392,22,"TN","C4",11,19,11,2017,"2017-11-19","Macello"
-9223372036176977920,-9223372036848596992,22,"TN","C4",11,24,11,2017,"2017-11-24","Macello"
-9223372036176998400,-9223372036848659456,17,"BS","C4",11,14,11,2017,"2017-11-14","Macello"
-9223372036176999424,-9223372036847210496,14,"SO","C4",11,12,11,2017,"2017-11-12","Macello"
-9223372036176999424,-9223372036848660480,17,"BS","C4",11,14,11,2017,"2017-11-14","Macello"
-9223372036177231872,-9223372036846899200,24,"VI","C4",11,22,11,2017,"2017-11-22","Macello"
-9223372036177398784,-9223372036847185920,16,"BG","C4",11,30,11,2017,"2017-11-30","Macello"
-9223372036176928768,-9223372036847251456,4,"CN","C4",11,18,12,2017,"2017-12-18","Morte in stalla"
-9223372036176977920,-9223372036848648192,22,"TN","C4",11,14,12,2017,"2017-12-14","Morte in stalla"
-9223372036176990208,-9223372036848655360,96,"BI","C4",11,15,12,2017,"2017-12-15","Macello"
-9223372036177018880,-9223372036846722048,96,"BI","C4",11,4,12,2017,"2017-12-04","Macello"
-9223372036177098752,-9223372036848652288,36,"MO","C4",11,15,12,2017,"2017-12-15","Macello"
-9223372036177409024,-9223372036848656384,1,"TO","C4",11,27,12,2017,"2017-12-27","Macello"
-9223372036177427456,-9223372036849087488,25,"BL","C4",11,10,12,2017,"2017-12-10","Macello"
-9223372036176985088,-9223372036848662528,17,"BS","C4",11,1,1,2018,"2018-01-01","Macello"
-9223372036177426432,-9223372036846886912,25,"BL","C4",11,14,1,2018,"2018-01-14","Macello"
-9223372036177327104,-9223372036847491072,76,"PZ","C4",11,30,5,2018,"2018-05-30","Morte in stalla"
-9223372036176099328,-9223372036848551936,25,"BL","C4",11,7,1,2019,"2019-01-07","Morte in stalla"
-9223372036121437184,-9223372036848635904,72,"BA","C4",11,18,3,2019,"2019-03-18","Macello"
-9223372036114135040,-9223372036846494720,76,"PZ","C4",11,1,5,2019,"2019-05-01","Morte in stalla"
-9223372036104640512,-9223372036846224384,30,"UD","C4",11,20,8,2019,"2019-08-20","Morte al Pascolo"
-9223372036109618176,-9223372036845734912,25,"BL","C4",11,5,11,2019,"2019-11-05","Macello"
-9223372036109775872,-9223372036846477312,25,"BL","C4",11,4,11,2019,"2019-11-04","Macello"
-9223372036105459712,-9223372036848026624,22,"TN","C4",11,5,1,2020,"2020-01-05","Macello"
-9223372036095181824,-9223372036846403584,76,"PZ","C4",11,25,9,2020,"2020-09-25","Macello"
-9223372032647043072,-9223372036849415168,25,"BL","C4",11,7,12,2020,"2020-12-07","Macello"
-9223372036088835072,-9223372036848111616,22,"TN","C4",11,2,12,2020,"2020-12-02","Macello"
-9223372036084890624,-9223372036845189120,22,"TN","C4",11,1,1,2021,"2021-01-01","Macello"
-9223372034176002048,-9223372036834711552,13,"CO","C4",11,10,4,2022,"2022-04-10","Macello"
-9223372032710529024,-9223372036848644096,22,"TN","C4",11,28,12,2022,"2022-12-28","Morte in stalla"
-9223372032443972608,-9223372036844278784,26,"TV","C4",11,7,2,2023,"2023-02-07","Macello"
-9223372031213247488,-9223372036848605184,22,"TN","C4",11,10,8,2023,"2023-08-10","Morte in stalla"
-9223372031595706368,-9223372036849927168,4,"CN","C4",11,21,8,2023,"2023-08-21","Morte al Pascolo"
-9223372031648879616,-9223372036850191360,1,"TO","C4",11,11,9,2023,"2023-09-11","Macello"
-9223372030921646080,-9223372036850611200,17,"BS","C4",11,9,10,2023,"2023-10-09","Macello"
-9223372031249170432,-9223372036850577408,25,"BL","C4",11,23,10,2023,"2023-10-23","Macello"
-9223372031249241088,-9223372036850171904,2,"VC","C4",11,24,10,2023,"2023-10-24","Macello"
-9223372031434603520,-9223372036847923200,22,"TN","C4",11,31,10,2023,"2023-10-31","Macello"
-9223372031459082240,-9223372036849631232,24,"VI","C4",11,12,10,2023,"2023-10-12","Macello"
-9223372031491092480,-9223372036848115712,22,"TN","C4",11,6,10,2023,"2023-10-06","Macello"
-9223372031495310336,-9223372036850108416,2,"VC","C4",11,8,10,2023,"2023-10-08","Macello"
-9223372030929942528,-9223372036850290688,17,"BS","C4",11,6,11,2023,"2023-11-06","Macello"
-9223372031120040960,-9223372036848005120,14,"SO","C4",11,6,11,2023,"2023-11-06","Macello"
-9223372031131107328,-9223372036847921152,22,"TN","C4",11,9,11,2023,"2023-11-09","Macello"
-9223372031136143360,-9223372036847948800,22,"TN","C4",11,15,11,2023,"2023-11-15","Macello"
