"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","IcdaIndiceComplessivoDupliceAttitudine","AccuratezzaCalcoloIndice","TipoIndice","FrequenzaCalcolo","AnnoDiRiferimento","IdaIndiceDiDupliceAttitudine"
-9223372033074809856,-9223372036836695040,NA,NA,"C4",11,24,10,2022,226.89,90.7,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036812105728,NA,NA,"C4",11,24,10,2022,-22.37,86,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036845702144,NA,NA,"C4",11,24,10,2022,331.84,83.2,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036846021632,NA,NA,"C4",11,24,10,2022,80.52,84.3,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036846091264,NA,NA,"C4",11,24,10,2022,347.24,84.4,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036846947328,NA,NA,"C4",11,24,10,2022,871.29,88.1,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036846009344,NA,NA,"C4",11,24,10,2022,656.93,87.3,"GENETICO","semestrale",2022,NA
-9223372033074810880,-9223372036846154752,NA,NA,"C4",11,24,10,2022,247.78,86.7,"GENETICO","semestrale",2022,NA
-9223372033074811904,-9223372036844123136,NA,NA,"C4",11,24,10,2022,464.3,90.3,"GENETICO","semestrale",2022,NA
-9223372033074811904,-9223372036844536832,NA,NA,"C4",11,24,10,2022,77.26,93.8,"GENETICO","semestrale",2022,NA
