"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataMacellazione","PesoCarcassa","PesoVivo","Categoria","Classificazione","PaeseDiProvenienza","ArrivatoMortoAlMacello","CodiceCausaleMorte","CarcassaDestinataAlConsumo","PaeseDiProvenienzaIso31663char"
-9223372036033293312,-9223372036842212352,21,"BZ","C4",11,2,10,2017,"2017-10-02",98,NA,"","","IT","N",NA,"N",""
-9223372036039245824,-9223372036842516480,21,"BZ","C4",11,18,10,2017,"2017-10-18",93,NA,"","","IT","N",NA,"N",""
-9223372036067744768,-9223372036843967488,21,"BZ","C4",11,28,11,2017,"2017-11-28",115,NA,"","","IT","N",NA,"N",""
-9223372036067768320,-9223372036843968512,21,"BZ","C4",11,15,12,2017,"2017-12-15",115,NA,"","","IT","N",NA,"N",""
-9223372036068033536,-9223372036843977728,21,"BZ","C4",11,20,12,2017,"2017-12-20",116,NA,"","","IT","N",NA,"N",""
-9223372036068131840,-9223372036843984896,54,"PG","C4",11,28,12,2017,"2017-12-28",206.78,NA,"D","","IT","N",NA,"N",""
-9223372035955261440,-9223372036837934080,21,"BZ","C4",11,4,1,2018,"2018-01-04",322.8,NA,"0","00","IT","N",NA,"N",""
-9223372036059342848,-9223372036843699200,21,"BZ","C4",11,30,1,2018,"2018-01-30",122,NA,"","","IT","N",NA,"N",""
-9223372036060270592,-9223372036843758592,21,"BZ","C4",11,29,1,2018,"2018-01-29",93,NA,"","","IT","N",NA,"N",""
-9223372036060379136,-9223372036843764736,23,"VR","C4",11,19,1,2018,"2018-01-19",122.2,207.36,"0","00","IT","N",NA,"N",""
-9223372036060429312,-9223372036843768832,26,"TV","C4",11,29,1,2018,"2018-01-29",121.42,NA,"V","00","IT","N",NA,"N",""
-9223372036060500992,-9223372036843772928,17,"BS","C4",11,31,1,2018,"2018-01-31",174.2,NA,"0","00","IT","N",NA,"N",""
-9223372036060503040,-9223372036843773952,17,"BS","C4",11,31,1,2018,"2018-01-31",117.2,NA,"0","00","IT","N",NA,"N",""
-9223372036060686336,-9223372036843784192,28,"PD","C4",11,26,1,2018,"2018-01-26",210.8,335.62,"0","00","IT","N",NA,"N",""
-9223372036060707840,-9223372036843786240,99,"RN","C4",11,29,1,2018,"2018-01-29",199,NA,"","","IT","N",NA,"N",""
-9223372036061053952,-9223372036843807744,26,"TV","C4",11,26,1,2018,"2018-01-26",182.67,NA,"V","00","IT","N",NA,"N",""
-9223372036061078528,-9223372036843809792,26,"TV","C4",11,24,1,2018,"2018-01-24",139.55,NA,"V","00","IT","N",NA,"N",""
-9223372036061087744,-9223372036843810816,22,"TN","C4",11,26,1,2018,"2018-01-26",184.4,184.4,"","","IT","N",NA,"N",""
-9223372036061150208,-9223372036843814912,27,"VE","C4",11,26,1,2018,"2018-01-26",168.17,298.2,"V","00","IT","N",NA,"N",""
-9223372036061292544,-9223372036843823104,23,"VR","C4",11,20,1,2018,"2018-01-20",176,NA,"Z","00","IT","N",NA,"N",""
-9223372036061334528,-9223372036843826176,88,"RG","C4",11,24,1,2018,"2018-01-24",187,NA,"","","IT","N",NA,"N",""
-9223372036061363200,-9223372036843828224,28,"PD","C4",11,19,1,2018,"2018-01-19",184.8,298.4,"0","00","IT","N",NA,"N",""
-9223372036061527040,-9223372036849154048,21,"BZ","C4",11,17,1,2018,"2018-01-17",260,NA,"0","00","IT","N",NA,"N",""
-9223372036061550592,-9223372036843839488,21,"BZ","C4",11,22,1,2018,"2018-01-22",62,NA,"","","IT","N",NA,"N",""
-9223372036061595648,-9223372036843842560,23,"VR","C4",11,19,1,2018,"2018-01-19",235,NA,"V","00","IT","N",NA,"N",""
-9223372036061624320,-9223372036843844608,21,"BZ","C4",11,15,1,2018,"2018-01-15",85.56,NA,"","","IT","N",NA,"N",""
-9223372036061693952,-9223372036843848704,22,"TN","C4",11,18,1,2018,"2018-01-18",253,NA,"E","","IT","N",NA,"N",""
-9223372036061893632,-9223372036843862016,22,"TN","C4",11,16,1,2018,"2018-01-16",240,NA,"E","","IT","N",NA,"N",""
-9223372036061912064,-9223372036843863040,16,"BG","C4",11,17,1,2018,"2018-01-17",189,374,"0","00","IT","N",NA,"N",""
-9223372036061925376,-9223372036843864064,21,"BZ","C4",11,15,1,2018,"2018-01-15",93,NA,"","","IT","N",NA,"N",""
-9223372036061954048,-9223372036843866112,21,"BZ","C4",11,10,1,2018,"2018-01-10",153.6,NA,"0","00","IT","N",NA,"N",""
-9223372036061992960,-9223372036843868160,28,"PD","C4",11,12,1,2018,"2018-01-12",166.4,259.8,"0","00","IT","N",NA,"N",""
-9223372036062251008,-9223372036843883520,23,"VR","C4",11,15,1,2018,"2018-01-15",172.1,325.7,"0","00","IT","N",NA,"N",""
-9223372036062265344,-9223372036843884544,1,"TO","C4",11,8,1,2018,"2018-01-08",146.8,146.8,"","","IT","N",NA,"N",""
-9223372036062476288,-9223372036843895808,26,"TV","C4",11,2,1,2018,"2018-01-02",152.88,NA,"V","00","IT","N",NA,"N",""
-9223372036062499840,-9223372036843897856,26,"TV","C4",11,9,1,2018,"2018-01-09",178.95,NA,"V","00","IT","N",NA,"N",""
-9223372036062563328,-9223372036843901952,27,"VE","C4",11,8,1,2018,"2018-01-08",181.3,296.52,"V","00","IT","N",NA,"N",""
-9223372036062687232,-9223372036843927552,21,"BZ","C4",11,10,1,2018,"2018-01-10",107,NA,"","","IT","N",NA,"N",""
-9223372036062770176,-9223372036843933696,28,"PD","C4",11,5,1,2018,"2018-01-05",193.2,337.47,"0","00","IT","N",NA,"N",""
-9223372036062848000,-9223372036843908096,23,"VR","C4",11,9,1,2018,"2018-01-09",135.9,257.48,"0","00","IT","N",NA,"N",""
-9223372036062892032,-9223372036843911168,21,"BZ","C4",11,4,1,2018,"2018-01-04",100.6,NA,"0","00","IT","N",NA,"N",""
-9223372036067951616,-9223372036843972608,4,"CN","C4",11,2,1,2018,"2018-01-02",124.2,227.64,"","","IT","N",NA,"N",""
-9223372036056716288,-9223372036843540480,21,"BZ","C4",11,28,2,2018,"2018-02-28",98.8,NA,"","","IT","N",NA,"N",""
-9223372036056760320,-9223372036843542528,17,"BS","C4",11,12,2,2018,"2018-02-12",241,241,"0","00","IT","N",NA,"N",""
-9223372036057072640,-9223372036843563008,57,"RI","C4",11,20,2,2018,"2018-02-20",237,272,"Z","00","IT","N",NA,"N",""
-9223372036057270272,-9223372036843575296,26,"TV","C4",11,28,2,2018,"2018-02-28",164.64,NA,"V","00","IT","N",NA,"N",""
-9223372036057275392,-9223372036843576320,26,"TV","C4",11,27,2,2018,"2018-02-27",161.41,NA,"V","00","IT","N",NA,"N",""
-9223372036057503744,-9223372036843585536,23,"VR","C4",11,26,2,2018,"2018-02-26",189.2,NA,"V","00","IT","N",NA,"N",""
-9223372036057768960,-9223372036843603968,17,"BS","C4",11,28,2,2018,"2018-02-28",169.5,NA,"0","00","IT","N",NA,"N",""
-9223372036057848832,-9223372036843608064,17,"BS","C4",11,27,2,2018,"2018-02-27",172.9,NA,"0","00","IT","N",NA,"N",""
-9223372036058011648,-9223372036843618304,4,"CN","C4",11,26,2,2018,"2018-02-26",179.6,310.51,"","","IT","N",NA,"N",""
-9223372036058021888,-9223372036843619328,33,"PC","C4",11,26,2,2018,"2018-02-26",105,NA,"Z","","IT","N",NA,"N",""
-9223372036058032128,-9223372036843620352,21,"BZ","C4",11,26,2,2018,"2018-02-26",86.8,NA,"","","IT","N",NA,"N",""
-9223372036058159104,-9223372036843628544,43,"MC","C4",11,26,2,2018,"2018-02-26",202,336.67,"V","","IT","N",NA,"N",""
-9223372036058181632,-9223372036845391872,22,"TN","C4",11,22,2,2018,"2018-02-22",290,NA,"E","","IT","N",NA,"N",""
-9223372036058284032,-9223372036843636736,26,"TV","C4",11,17,2,2018,"2018-02-17",142.49,NA,"V","00","IT","N",NA,"N",""
-9223372036058423296,-9223372036843644928,21,"BZ","C4",11,21,2,2018,"2018-02-21",93,NA,"","","IT","N",NA,"N",""
-9223372036058636288,-9223372036843658240,21,"BZ","C4",11,8,2,2018,"2018-02-08",87,NA,"","","IT","N",NA,"N",""
-9223372036058645504,-9223372036843659264,98,"LO","C4",11,19,2,2018,"2018-02-19",426,750,"0","00","IT","N",NA,"N",""
-9223372036058759168,-9223372036843666432,43,"MC","C4",11,13,2,2018,"2018-02-13",250,453,"E","","IT","N",NA,"N",""
-9223372036059002880,-9223372036843679744,26,"TV","C4",11,13,2,2018,"2018-02-13",70.95,NA,"V","00","IT","N",NA,"N",""
-9223372036059195392,-9223372036843689984,20,"MN","C4",11,14,2,2018,"2018-02-14",176,NA,"0","00","IT","N",NA,"N",""
-9223372036059220992,-9223372036843691008,17,"BS","C4",11,13,2,2018,"2018-02-13",145.4,NA,"0","00","IT","N",NA,"N",""
-9223372036059363328,-9223372036843700224,23,"VR","C4",11,13,2,2018,"2018-02-13",127.2,249.71,"0","00","IT","N",NA,"N",""
