"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372032714634240,-9223372036838558720,21,"BZ","C4",11,22,1,2017,"2017-01-22",-9223372036838559744
-9223372031916657664,-9223372036806111232,21,"BZ","C4",11,27,2,2017,"2017-02-27",-9223372036806112256
-9223372034238554112,-9223372036828853248,21,"BZ","C4",11,22,2,2017,"2017-02-22",-9223372036828852224
-9223372036102001664,-9223372036847988736,22,"TN","C4",11,9,2,2017,"2017-02-09",-9223372036847987712
-9223372031593707520,-9223372036831637504,21,"BZ","C4",11,19,3,2017,"2017-03-19",-9223372036831637504
-9223372032707561472,-9223372036829073408,21,"BZ","C4",11,7,3,2017,"2017-03-07",-9223372036829072384
-9223372032707562496,-9223372036833584128,21,"BZ","C4",11,11,3,2017,"2017-03-11",-9223372036833584128
-9223372036103134208,-9223372036847398912,21,"BZ","C4",11,3,3,2017,"2017-03-03",-9223372036847399936
-9223372036121960448,-9223372036846946304,21,"BZ","C4",11,17,4,2017,"2017-04-17",-9223372036846946304
-9223372032113055744,-9223372036831208448,21,"BZ","C4",11,28,5,2017,"2017-05-28",-9223372036831208448
-9223372034189745152,-9223372036841605120,21,"BZ","C4",11,20,5,2017,"2017-05-20",-9223372036841604096
-9223372036094597120,-9223372036849439744,21,"BZ","C4",11,1,5,2017,"2017-05-01",-9223372036849439744
-9223372036114135040,-9223372036848064512,76,"PZ","C4",11,1,5,2017,"2017-05-01",-9223372036848064512
-9223372030275702784,-9223372036832276480,21,"BZ","C4",11,15,7,2017,"2017-07-15",-9223372036832276480
-9223372033230406656,-9223372036834494464,21,"BZ","C4",11,15,7,2017,"2017-07-15",-9223372036834494464
-9223372035260921856,-9223372036836886528,21,"BZ","C4",11,16,7,2017,"2017-07-16",-9223372036836887552
-9223372036114315264,-9223372036845990912,10,"GE","C4",11,15,7,2017,"2017-07-15",-9223372036845991936
-9223372036049475584,-9223372036843106304,21,"BZ","C4",11,9,8,2017,"2017-08-09",-9223372036843106304
-9223372036113831936,-9223372036845964288,22,"TN","C4",11,28,8,2017,"2017-08-28",-9223372036845964288
-9223372036119982080,-9223372036847995904,22,"TN","C4",11,30,8,2017,"2017-08-30",-9223372036847995904
-9223372033094791168,-9223372036822638592,21,"BZ","C4",11,30,9,2017,"2017-09-30",-9223372036822639616
-9223372034100638720,-9223372036827078656,21,"BZ","C4",11,30,9,2017,"2017-09-30",-9223372036827079680
-9223372036105578496,-9223372036848034816,22,"TN","C4",11,2,9,2017,"2017-09-02",-9223372036848035840
-9223372030012398592,-9223372036805015552,21,"BZ","C4",11,20,10,2017,"2017-10-20",-9223372036805015552
-9223372030849764352,-9223372036833079296,21,"BZ","C4",11,28,10,2017,"2017-10-28",-9223372036833080320
-9223372032076295168,-9223372036806590464,21,"BZ","C4",11,24,10,2017,"2017-10-24",-9223372036806590464
-9223372032146673664,-9223372036834638848,21,"BZ","C4",11,10,10,2017,"2017-10-10",-9223372036834639872
-9223372033266292736,-9223372036838752256,21,"BZ","C4",11,10,10,2017,"2017-10-10",-9223372036838752256
-9223372034232935424,-9223372036834126848,21,"BZ","C4",11,22,10,2017,"2017-10-22",-9223372036834127872
-9223372035262462976,-9223372036836969472,21,"BZ","C4",11,28,10,2017,"2017-10-28",-9223372036836968448
-9223372035800628224,-9223372036834699264,21,"BZ","C4",11,27,10,2017,"2017-10-27",-9223372036834700288
-9223372035816626176,-9223372036837353472,21,"BZ","C4",11,28,10,2017,"2017-10-28",-9223372036837352448
-9223372036115955712,-9223372036846072832,93,"PN","C4",11,20,10,2017,"2017-10-20",-9223372036846071808
-9223372033793630208,-9223372036834556928,21,"BZ","C4",11,7,11,2017,"2017-11-07",-9223372036834555904
-9223372034189745152,-9223372036828694528,21,"BZ","C4",11,23,11,2017,"2017-11-23",-9223372036828695552
-9223372036097187840,-9223372036847969280,21,"BZ","C4",11,28,11,2017,"2017-11-28",-9223372036847968256
-9223372036100727808,-9223372036847388672,21,"BZ","C4",11,3,11,2017,"2017-11-03",-9223372036847387648
-9223372036113820672,-9223372036845963264,22,"TN","C4",11,17,11,2017,"2017-11-17",-9223372036845964288
-9223372036154778624,-9223372036847998976,22,"TN","C4",11,30,11,2017,"2017-11-30",-9223372036848000000
-9223372036154811392,-9223372036849308672,1,"TO","C4",11,9,11,2017,"2017-11-09",-9223372036849307648
-9223372036155013120,-9223372036847976448,22,"TN","C4",11,2,11,2017,"2017-11-02",-9223372036847976448
-9223372036155045888,-9223372036847731712,26,"TV","C4",11,21,11,2017,"2017-11-21",-9223372036847731712
-9223372036155168768,-9223372036848002048,22,"TN","C4",11,12,11,2017,"2017-11-12",-9223372036848002048
-9223372036155194368,-9223372036847374336,21,"BZ","C4",11,25,11,2017,"2017-11-25",-9223372036847374336
-9223372036155214848,-9223372036849294336,1,"TO","C4",11,3,11,2017,"2017-11-03",-9223372036849294336
-9223372036155245568,-9223372036847817728,22,"TN","C4",11,5,11,2017,"2017-11-05",-9223372036847817728
-9223372036155270144,-9223372036849300480,21,"BZ","C4",11,18,11,2017,"2017-11-18",-9223372036849300480
-9223372036155290624,-9223372036849312768,21,"BZ","C4",11,24,11,2017,"2017-11-24",-9223372036849311744
-9223372036155309056,-9223372036846988288,20,"MN","C4",11,30,11,2017,"2017-11-30",-9223372036846988288
-9223372036155341824,-9223372036847375360,21,"BZ","C4",11,23,11,2017,"2017-11-23",-9223372036847376384
-9223372036155438080,-9223372036847415296,31,"GO","C4",11,23,11,2017,"2017-11-23",-9223372036847416320
-9223372036155448320,-9223372036846583808,4,"CN","C4",11,16,11,2017,"2017-11-16",-9223372036846583808
-9223372036155460608,-9223372036847273984,1,"TO","C4",11,7,11,2017,"2017-11-07",-9223372036847273984
-9223372036155487232,-9223372036847972352,21,"BZ","C4",11,24,11,2017,"2017-11-24",-9223372036847972352
-9223372036155550720,-9223372036849215488,1,"TO","C4",11,9,11,2017,"2017-11-09",-9223372036849215488
-9223372036155559936,-9223372036847180800,16,"BG","C4",11,17,11,2017,"2017-11-17",-9223372036847179776
-9223372036155563008,-9223372036847321088,14,"SO","C4",11,30,11,2017,"2017-11-30",-9223372036847320064
-9223372036155630592,-9223372036847277056,1,"TO","C4",11,11,11,2017,"2017-11-11",-9223372036847276032
-9223372036155654144,-9223372036847376384,21,"BZ","C4",11,22,11,2017,"2017-11-22",-9223372036847376384
-9223372036155721728,-9223372036850345984,30,"UD","C4",11,26,11,2017,"2017-11-26",-9223372036850345984
-9223372036155732992,-9223372036846731264,93,"PN","C4",11,18,11,2017,"2017-11-18",-9223372036846732288
