idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,CodiceAziendaNascita,DestinazioneSoggetto,PesoAllaNascita,NumeroCapezzoli
-9223372032714634235,-9223372036838558354,21,BZ,C4,11,22,1,2017,-9.223372036847378e+18,Vita,,
-9223372035840087912,-9223372036835156069,21,BZ,C4,11,25,1,2017,-9.223372036849186e+18,Vita,,
-9223372036079303655,-9223372036844052737,21,BZ,C4,11,3,1,2017,-9.223372036847782e+18,Vita,,
-9223372036081489259,-9223372036844138931,21,BZ,C4,11,3,1,2017,-9.223372036849169e+18,Vita,,
-9223372036087303100,-9223372036847351697,21,BZ,C4,11,21,1,2017,-9.22337203684741e+18,Vita,,
-9223372036101665425,-9223372036847987680,21,BZ,C4,11,24,1,2017,-9.223372036849262e+18,Vita,,
-9223372036104371441,-9223372036848001849,21,BZ,C4,11,23,1,2017,-9.223372036849262e+18,Vita,,
-9223372036104763040,-9223372036848004426,21,BZ,C4,11,29,1,2017,-9.223372036849261e+18,Vita,,
-9223372036104778451,-9223372036848004518,21,BZ,C4,11,1,1,2017,-9.223372036849263e+18,Vita,,
-9223372036105434671,-9223372036848009829,21,BZ,C4,11,25,1,2017,-9.223372036849262e+18,Vita,,
-9223372036105439444,-9223372036848009673,21,BZ,C4,11,18,1,2017,-9.22337203684926e+18,Vita,,
-9223372036105440824,-9223372036848009878,21,BZ,C4,11,13,1,2017,-9.223372036849262e+18,Vita,,
-9223372036105454448,-9223372036848009939,21,BZ,C4,11,6,1,2017,-9.223372036849264e+18,Vita,,
-9223372036106179912,-9223372036848015262,21,BZ,C4,11,12,1,2017,-9.223372036849262e+18,Vita,,
-9223372036106186327,-9223372036848015276,21,BZ,C4,11,26,1,2017,-9.223372036849262e+18,Vita,,
-9223372036106207919,-9223372036848015360,21,BZ,C4,11,23,1,2017,-9.223372036849264e+18,Vita,,
-9223372036106602727,-9223372036848018037,21,BZ,C4,11,29,1,2017,-9.223372036849262e+18,Vita,,
-9223372036106606288,-9223372036848018060,21,BZ,C4,11,6,1,2017,-9.223372036849262e+18,Vita,,
-9223372036106606484,-9223372036848018064,21,BZ,C4,11,29,1,2017,-9.223372036849262e+18,Vita,,
-9223372036106970947,-9223372036848123464,21,BZ,C4,11,13,1,2017,-9.223372036849262e+18,Vita,,
-9223372036106974479,-9223372036848009910,21,BZ,C4,11,7,1,2017,-9.223372036849263e+18,Vita,,
-9223372036107434635,-9223372036848118829,21,BZ,C4,11,29,1,2017,-9.223372036849261e+18,Vita,,
-9223372036107435027,-9223372036848121910,21,BZ,C4,11,14,1,2017,-9.223372036849261e+18,Vita,,
-9223372036107438954,-9223372036848119210,21,BZ,C4,11,9,1,2017,-9.223372036849262e+18,Vita,,
-9223372036107441754,-9223372036848118632,21,BZ,C4,11,4,1,2017,-9.223372036849262e+18,Vita,,
-9223372036107640490,-9223372036848119286,21,BZ,C4,11,25,1,2017,-9.223372036849262e+18,Vita,,
-9223372036107648517,-9223372036848123456,21,BZ,C4,11,25,1,2017,-9.223372036849262e+18,Vita,,
-9223372036107656540,-9223372036848119343,21,BZ,C4,11,8,1,2017,-9.223372036849263e+18,Vita,,
-9223372036107987093,-9223372036848120021,21,BZ,C4,11,6,1,2017,-9.22337203684926e+18,Vita,,
-9223372036108331035,-9223372036848119263,21,BZ,C4,11,18,1,2017,-9.223372036849262e+18,Vita,,
-9223372036108332792,-9223372036848118519,21,BZ,C4,11,20,1,2017,-9.223372036849262e+18,Vita,,
-9223372036108650124,-9223372036848119439,21,BZ,C4,11,11,1,2017,-9.22337203684926e+18,Vita,,
-9223372036108663941,-9223372036848117766,21,BZ,C4,11,18,1,2017,-9.223372036849262e+18,Vita,,
-9223372036108673994,-9223372036848121627,21,BZ,C4,11,23,1,2017,-9.223372036849263e+18,Vita,,
-9223372036108675391,-9223372036848120381,21,BZ,C4,11,14,1,2017,-9.223372036849263e+18,Vita,,
-9223372036108677867,-9223372036848120178,21,BZ,C4,11,5,1,2017,-9.223372036849264e+18,Vita,,
-9223372036109052236,-9223372036848119207,21,BZ,C4,11,27,1,2017,-9.223372036849262e+18,Vita,,
-9223372036109052382,-9223372036848119194,21,BZ,C4,11,3,1,2017,-9.223372036849262e+18,Vita,,
-9223372036109053328,-9223372036848119213,21,BZ,C4,11,1,1,2017,-9.223372036849262e+18,Vita,,
-9223372036109431808,-9223372036848119290,21,BZ,C4,11,12,1,2017,-9.223372036849262e+18,Vita,,
-9223372036109434377,-9223372036848126949,21,BZ,C4,11,12,1,2017,-9.223372036849262e+18,Vita,,
-9223372036109439768,-9223372036848118976,21,BZ,C4,11,12,1,2017,-9.223372036849263e+18,Vita,,
-9223372036109783832,-9223372036848119016,21,BZ,C4,11,24,1,2017,-9.223372036849263e+18,Vita,,
-9223372036109784725,-9223372036848119339,21,BZ,C4,11,20,1,2017,-9.223372036849263e+18,Vita,,
-9223372036109785778,-9223372036848120383,21,BZ,C4,11,18,1,2017,-9.223372036849263e+18,Vita,,
-9223372036110068308,-9223372036848119344,21,BZ,C4,11,31,1,2017,-9.22337203684926e+18,Vita,,
-9223372036110080988,-9223372036848119262,21,BZ,C4,11,4,1,2017,-9.223372036849262e+18,Vita,,
-9223372036110084520,-9223372036848119021,21,BZ,C4,11,6,1,2017,-9.223372036849263e+18,Vita,,
-9223372036110102186,-9223372036848118875,21,BZ,C4,11,26,1,2017,-9.223372036849264e+18,Vita,,
-9223372036110433199,-9223372036848119211,21,BZ,C4,11,14,1,2017,-9.223372036849262e+18,Vita,,
-9223372036110435122,-9223372036848126952,21,BZ,C4,11,5,1,2017,-9.223372036849262e+18,Vita,,
-9223372036110781007,-9223372036848118626,21,BZ,C4,11,20,1,2017,-9.223372036849262e+18,Vita,,
-9223372036110983132,-9223372036848121625,21,BZ,C4,11,26,1,2017,-9.223372036849262e+18,Vita,,
-9223372036110983938,-9223372036848121628,21,BZ,C4,11,11,1,2017,-9.223372036849262e+18,Vita,,
-9223372036111103928,-9223372036848117556,21,BZ,C4,11,13,1,2017,-9.223372036849262e+18,Vita,,
-9223372036111112278,-9223372036848118607,21,BZ,C4,11,27,1,2017,-9.223372036849262e+18,Vita,,
-9223372036111472427,-9223372036848120382,21,BZ,C4,11,27,1,2017,-9.223372036849263e+18,Vita,,
-9223372036111837893,-9223372036848121626,21,BZ,C4,11,27,1,2017,-9.223372036849263e+18,Vita,,
-9223372036112186752,-9223372036848118656,21,BZ,C4,11,27,1,2017,-9.223372036849262e+18,Vita,,
-9223372036112188211,-9223372036848120315,21,BZ,C4,11,15,1,2017,-9.223372036849262e+18,Vita,,
-9223372036113006585,-9223372036848120308,21,BZ,C4,11,19,1,2017,-9.223372036849262e+18,Vita,,
-9223372036113518915,-9223372036848118840,21,BZ,C4,11,5,1,2017,-9.223372036849261e+18,Vita,,
-9223372036113774310,-9223372036845959981,22,TN,C4,11,1,1,2017,-9.223372036849257e+18,Macello,,
-9223372036118295678,-9223372036846099267,21,BZ,C4,11,13,1,2017,-9.223372036847437e+18,Vita,,
-9223372036118298076,-9223372036846327139,21,BZ,C4,11,13,1,2017,-9.223372036847437e+18,Macello,,
-9223372036118617762,-9223372036846617125,21,BZ,C4,11,15,1,2017,-9.223372036849257e+18,Vita,,
-9223372036120008796,-9223372036848118483,21,BZ,C4,11,27,1,2017,-9.223372036849261e+18,Vita,,
