idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IpIndiceInterparto,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento
-9223372031986210903,-9223372036835156524,,,C4,11,10,5,2023,99,84.0,GENETICO,semestrale,2023
-9223372031986210934,-9223372036830434842,,,C4,11,10,5,2023,110,90.0,GENETICO,semestrale,2023
-9223372031986210971,-9223372036835156431,,,C4,11,10,5,2023,96,82.0,GENETICO,semestrale,2023
-9223372031986211021,-9223372036835156435,,,C4,11,10,5,2023,75,87.0,GENETICO,semestrale,2023
-9223372031986211033,-9223372036835156717,,,C4,11,10,5,2023,99,87.0,GENETICO,semestrale,2023
-9223372031986211064,-9223372036835156657,,,C4,11,10,5,2023,116,87.0,GENETICO,semestrale,2023
-9223372031986211095,-9223372036835156754,,,C4,11,10,5,2023,143,89.0,GENETICO,semestrale,2023
-9223372031986211126,-9223372036806301794,,,C4,11,10,5,2023,94,99.0,GENETICO,semestrale,2023
-9223372031986211157,-9223372036835156767,,,C4,11,10,5,2023,89,93.0,GENETICO,semestrale,2023
-9223372031986211188,-9223372036830434841,,,C4,11,10,5,2023,102,89.0,GENETICO,semestrale,2023
-9223372031986211219,-9223372036835156598,,,C4,11,10,5,2023,87,81.0,GENETICO,semestrale,2023
-9223372031986211250,-9223372036835156699,,,C4,11,10,5,2023,109,84.0,GENETICO,semestrale,2023
-9223372031986211281,-9223372036835156670,,,C4,11,10,5,2023,79,87.0,GENETICO,semestrale,2023
-9223372031986211312,-9223372036835156518,,,C4,11,10,5,2023,99,85.0,GENETICO,semestrale,2023
-9223372031986211343,-9223372036835156427,,,C4,11,10,5,2023,93,84.0,GENETICO,semestrale,2023
-9223372031986211374,-9223372036835156726,,,C4,11,10,5,2023,101,90.0,GENETICO,semestrale,2023
-9223372031986211405,-9223372036835156708,,,C4,11,10,5,2023,121,92.0,GENETICO,semestrale,2023
-9223372031986211436,-9223372036835156760,,,C4,11,10,5,2023,93,93.0,GENETICO,semestrale,2023
-9223372031986211467,-9223372036846950899,,,C4,11,10,5,2023,100,94.0,GENETICO,semestrale,2023
-9223372031986211498,-9223372036835156508,,,C4,11,10,5,2023,127,86.0,GENETICO,semestrale,2023
-9223372031986211529,-9223372036835156671,,,C4,11,10,5,2023,92,86.0,GENETICO,semestrale,2023
