idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataEliminazione,MotivoEliminazione
-9223372036176920333,-9223372036846807635,54,PG,C4,11,29,11,2017,2017-11-29,Macello
-9223372036176924367,-9223372036846808534,54,PG,C4,11,24,11,2017,2017-11-24,Macello
-9223372036176924368,-9223372036847505634,54,PG,C4,11,24,11,2017,2017-11-24,Macello
-9223372036176967003,-9223372036848606232,22,TN,C4,11,15,11,2017,2017-11-15,Macello
-9223372036176968443,-9223372036846906665,22,TN,C4,11,16,11,2017,2017-11-16,Macello
-9223372036176968551,-9223372036847855692,22,TN,C4,11,15,11,2017,2017-11-15,Macello
-9223372036176968577,-9223372036846906684,22,TN,C4,11,14,11,2017,2017-11-14,Macello
-9223372036176969283,-9223372036846906612,22,TN,C4,11,19,11,2017,2017-11-19,Macello
-9223372036176970209,-9223372036846906736,22,TN,C4,11,2,11,2017,2017-11-02,Macello
-9223372036176970733,-9223372036846906751,22,TN,C4,11,11,11,2017,2017-11-11,Morte in stalla
-9223372036176970734,-9223372036846907098,22,TN,C4,11,19,11,2017,2017-11-19,Macello
-9223372036176975866,-9223372036846906583,22,TN,C4,11,1,11,2017,2017-11-01,Macello
-9223372036176975872,-9223372036846906660,22,TN,C4,11,30,11,2017,2017-11-30,Macello
-9223372036176975991,-9223372036846906770,22,TN,C4,11,15,11,2017,2017-11-15,Macello
-9223372036176975995,-9223372036846906484,22,TN,C4,11,14,11,2017,2017-11-14,Macello
-9223372036176976714,-9223372036848605988,22,TN,C4,11,19,11,2017,2017-11-19,Macello
-9223372036176977715,-9223372036848596507,22,TN,C4,11,24,11,2017,2017-11-24,Macello
-9223372036176981006,-9223372036846950742,13,CO,C4,11,11,11,2017,2017-11-11,Macello
-9223372036176998593,-9223372036848659839,17,BS,C4,11,14,11,2017,2017-11-14,Macello
-9223372036176998919,-9223372036847210736,14,SO,C4,11,12,11,2017,2017-11-12,Macello
-9223372036176999546,-9223372036848660176,17,BS,C4,11,14,11,2017,2017-11-14,Macello
-9223372036177221863,-9223372036847258691,2,VC,C4,11,6,11,2017,2017-11-06,Macello
-9223372036177226211,-9223372036847258857,2,VC,C4,11,28,11,2017,2017-11-28,Macello
-9223372036177231507,-9223372036846898972,24,VI,C4,11,22,11,2017,2017-11-22,Macello
-9223372036177283573,-9223372036849042028,96,BI,C4,11,20,11,2017,2017-11-20,Macello
-9223372036177308848,-9223372036846871716,30,UD,C4,11,15,11,2017,2017-11-15,Macello
-9223372036177309348,-9223372036846871323,30,UD,C4,11,15,11,2017,2017-11-15,Macello
-9223372036177311027,-9223372036846871435,30,UD,C4,11,15,11,2017,2017-11-15,Macello
-9223372036177312832,-9223372036846871717,30,UD,C4,11,15,11,2017,2017-11-15,Macello
-9223372036177368769,-9223372036846950816,1,TO,C4,11,20,11,2017,2017-11-20,Macello
-9223372036177399140,-9223372036847185776,16,BG,C4,11,30,11,2017,2017-11-30,Macello
-9223372036176929227,-9223372036847251064,4,CN,C4,11,18,12,2017,2017-12-18,Morte in stalla
-9223372036176931969,-9223372036846950859,22,TN,C4,11,11,12,2017,2017-12-11,Macello
-9223372036176939672,-9223372036846950722,22,TN,C4,11,5,12,2017,2017-12-05,Macello
-9223372036176951893,-9223372036847292235,83,ME,C4,11,4,12,2017,2017-12-04,Macello
-9223372036176967977,-9223372036847292225,22,TN,C4,11,1,12,2017,2017-12-01,Macello
-9223372036176968139,-9223372036846906458,22,TN,C4,11,11,12,2017,2017-12-11,Macello
-9223372036176970085,-9223372036846947719,21,BZ,C4,11,11,12,2017,2017-12-11,Macello
-9223372036176970718,-9223372036846906737,22,TN,C4,11,3,12,2017,2017-12-03,Morte in stalla
-9223372036176971201,-9223372036848606220,22,TN,C4,11,4,12,2017,2017-12-04,Macello
-9223372036176971978,-9223372036846947720,21,BZ,C4,11,11,12,2017,2017-12-11,Macello
