idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc
-9223372036733096956,-9223372036850291039,17,BS,C4,11,28,2,2018,,68.1,2018-02-28,76239671
-9223372036733142204,-9223372036848574308,24,VI,C4,11,15,2,2018,1.0,74.9,2018-02-15,11384962
-9223372036733259214,-9223372036850176152,24,VI,C4,11,15,2,2018,1.0,63.6,2018-02-15,11384783
-9223372036733309512,-9223372036848662488,24,VI,C4,11,15,2,2018,1.0,69.6,2018-02-15,11385036
-9223372036733344336,-9223372036848662213,24,VI,C4,11,15,2,2018,1.0,60.3,2018-02-15,11384798
-9223372036733347868,-9223372036848573636,24,VI,C4,11,15,2,2018,1.0,65.6,2018-02-15,11385023
-9223372036733393131,-9223372036850185920,24,VI,C4,11,15,2,2018,1.0,55.3,2018-02-15,11384950
-9223372036733403213,-9223372036848570515,24,VI,C4,11,15,2,2018,1.0,72.3,2018-02-15,11385057
-9223372036733444146,-9223372036850183266,24,VI,C4,11,15,2,2018,1.0,33.6,2018-02-15,11384584
-9223372036733466157,-9223372036850183262,24,VI,C4,11,15,2,2018,1.0,59.8,2018-02-15,11384864
-9223372036733549423,-9223372036848662478,24,VI,C4,11,15,2,2018,1.0,71.8,2018-02-15,11384879
-9223372036733568210,-9223372036848914553,13,CO,C4,11,21,2,2018,,81.2,2018-02-21,74086978
-9223372036733576773,-9223372036848629487,13,CO,C4,11,22,2,2018,,45.3,2018-02-22,70200908
-9223372036733613496,-9223372036848656749,25,BL,C4,11,19,2,2018,1.0,63.3,2018-02-19,73612319
-9223372036733632747,-9223372036850185840,24,VI,C4,11,15,2,2018,1.0,45.2,2018-02-15,11384860
-9223372036733664597,-9223372036850185986,24,VI,C4,11,15,2,2018,1.0,60.7,2018-02-15,11384564
-9223372036733670516,-9223372036849667254,24,VI,C4,11,15,2,2018,1.0,87.3,2018-02-15,11391266
-9223372036733710009,-9223372036849516329,25,BL,C4,11,19,2,2018,1.0,33.6,2018-02-19,73602962
-9223372036733717002,-9223372036848652859,25,BL,C4,11,16,2,2018,1.0,67.8,2018-02-16,73602368
-9223372036733745034,-9223372036850183338,24,VI,C4,11,15,2,2018,1.0,39.7,2018-02-15,11384912
-9223372036733773877,-9223372036849966144,25,BL,C4,11,15,2,2018,1.0,56.6,2018-02-15,73565760
-9223372036733786074,-9223372036850186277,24,VI,C4,11,15,2,2018,1.0,44.9,2018-02-15,11384900
-9223372036733789765,-9223372036850186266,24,VI,C4,11,15,2,2018,1.0,87.1,2018-02-15,11384977
-9223372036733806015,-9223372036850185958,24,VI,C4,11,15,2,2018,1.0,46.7,2018-02-15,11385055
-9223372036733864741,-9223372036850291014,17,BS,C4,11,28,2,2018,,79.5,2018-02-28,76239466
-9223372036733903672,-9223372036848620110,17,BS,C4,11,28,2,2018,,78.4,2018-02-28,76239456
-9223372036733905489,-9223372036848639576,25,BL,C4,11,22,2,2018,1.0,71.3,2018-02-22,73565761
-9223372036733906193,-9223372036850208009,16,BG,C4,11,27,2,2018,,84.7,2018-02-27,75345712
-9223372036733994040,-9223372036850186109,24,VI,C4,11,15,2,2018,1.0,81.3,2018-02-15,11384935
-9223372036734020734,-9223372036850186255,24,VI,C4,11,15,2,2018,1.0,43.9,2018-02-15,11384902
-9223372036734060511,-9223372036850291020,17,BS,C4,11,28,2,2018,,61.8,2018-02-28,76239554
-9223372036734063615,-9223372036850185933,24,VI,C4,11,15,2,2018,1.0,52.6,2018-02-15,11385188
-9223372036734081619,-9223372036848572699,24,VI,C4,11,15,2,2018,1.0,36.9,2018-02-15,11384815
-9223372036734084118,-9223372036850186373,24,VI,C4,11,15,2,2018,1.0,74.3,2018-02-15,11384909
-9223372036734084781,-9223372036850207999,16,BG,C4,11,27,2,2018,,76.7,2018-02-27,75345687
-9223372036734156398,-9223372036850186579,24,VI,C4,11,15,2,2018,1.0,63.6,2018-02-15,11385058
-9223372036734179610,-9223372036849090363,13,CO,C4,11,22,2,2018,,76.5,2018-02-22,70200992
