idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcdaIndiceComplessivoDupliceAttitudine,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,IdaIndiceDiDupliceAttitudine
-9223372033074809920,-9223372036835156418,,,C4,11,24,10,2022,240.66,91.3,GENETICO,semestrale,2022,
-9223372033074809926,-9223372036835156419,,,C4,11,24,10,2022,259.17,89.7,GENETICO,semestrale,2022,
-9223372033074809938,-9223372036835156421,,,C4,11,24,10,2022,-17.27,97.7,GENETICO,semestrale,2022,
-9223372033074809950,-9223372036835156422,,,C4,11,24,10,2022,339.8,89.0,GENETICO,semestrale,2022,
-9223372033074809962,-9223372036835156423,,,C4,11,24,10,2022,455.82,97.0,GENETICO,semestrale,2022,
-9223372033074809968,-9223372036835156424,,,C4,11,24,10,2022,382.82,98.1,GENETICO,semestrale,2022,
-9223372033074809983,-9223372036835156425,,,C4,11,24,10,2022,-12.94,93.4,GENETICO,semestrale,2022,
-9223372033074809995,-9223372036835156427,,,C4,11,24,10,2022,137.37,96.8,GENETICO,semestrale,2022,
-9223372033074810001,-9223372036835156429,,,C4,11,24,10,2022,516.64,97.3,GENETICO,semestrale,2022,
-9223372033074810013,-9223372036835156430,,,C4,11,24,10,2022,79.97,91.2,GENETICO,semestrale,2022,
-9223372033074810025,-9223372036835156431,,,C4,11,24,10,2022,19.21,97.2,GENETICO,semestrale,2022,
-9223372033074810031,-9223372036835156434,,,C4,11,24,10,2022,283.33,91.6,GENETICO,semestrale,2022,
-9223372033074810043,-9223372036835156435,,,C4,11,24,10,2022,25.8,97.1,GENETICO,semestrale,2022,
-9223372033074810055,-9223372036835156440,,,C4,11,24,10,2022,10.29,88.4,GENETICO,semestrale,2022,
-9223372033074810061,-9223372036835156441,,,C4,11,24,10,2022,177.08,89.1,GENETICO,semestrale,2022,
-9223372033074810073,-9223372036835156445,,,C4,11,24,10,2022,206.31,95.0,GENETICO,semestrale,2022,
-9223372033074810085,-9223372036835156446,,,C4,11,24,10,2022,480.35,98.7,GENETICO,semestrale,2022,
-9223372033074810091,-9223372036835156450,,,C4,11,24,10,2022,378.25,97.9,GENETICO,semestrale,2022,
-9223372033074810103,-9223372036835156451,,,C4,11,24,10,2022,43.11,87.6,GENETICO,semestrale,2022,
-9223372033074810118,-9223372036835156453,,,C4,11,24,10,2022,-23.37,96.7,GENETICO,semestrale,2022,
-9223372033074810124,-9223372036835156455,,,C4,11,24,10,2022,177.5,96.8,GENETICO,semestrale,2022,
-9223372033074810136,-9223372036835156458,,,C4,11,24,10,2022,57.28,92.6,GENETICO,semestrale,2022,
-9223372033074810142,-9223372036835156459,,,C4,11,24,10,2022,87.49,86.3,GENETICO,semestrale,2022,
-9223372033074810154,-9223372036835156461,,,C4,11,24,10,2022,546.74,87.7,GENETICO,semestrale,2022,
