idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,Ibr,DataAnalisiIbr,NumeroCampioneIbr
-9223372036213117344,-9223372036850092192,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845693.0
-9223372036213117882,-9223372036849048113,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845118.0
-9223372036213119792,-9223372036849084252,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76072729.0
-9223372036213120929,-9223372036849090450,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844906.0
-9223372036213127034,-9223372036850548395,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945390.0
-9223372036213127221,-9223372036849919083,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76096023.0
-9223372036213127233,-9223372036850191155,1,TO,C4,11,2,3,2018,Negativo,2018-03-02,75737333.0
-9223372036213128345,-9223372036849396403,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845606.0
-9223372036213129553,-9223372036850096099,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845736.0
-9223372036213130311,-9223372036850548550,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945459.0
-9223372036213130714,-9223372036849121430,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845472.0
-9223372036213130741,-9223372036850034775,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845277.0
-9223372036213131757,-9223372036850028546,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844955.0
-9223372036213133176,-9223372036848627098,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76141005.0
-9223372036213133386,-9223372036850034758,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844990.0
-9223372036213133890,-9223372036850034593,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844950.0
-9223372036213135273,-9223372036849919040,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095850.0
-9223372036213136968,-9223372036849082316,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844982.0
-9223372036213136983,-9223372036848656767,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095695.0
-9223372036213137372,-9223372036848624979,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945458.0
-9223372036213137737,-9223372036849082293,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845136.0
-9223372036213138127,-9223372036849062413,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844830.0
-9223372036213138514,-9223372036848655037,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140719.0
-9223372036213140541,-9223372036848620248,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,75745836.0
-9223372036213141441,-9223372036850228149,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104378.0
-9223372036213141571,-9223372036848633100,1,TO,C4,11,2,3,2018,Negativo,2018-03-02,76102964.0
-9223372036213142615,-9223372036850228497,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104683.0
-9223372036213145531,-9223372036850028521,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845133.0
-9223372036213147438,-9223372036850548466,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945601.0
-9223372036213148276,-9223372036849627215,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104244.0
-9223372036213150204,-9223372036850034876,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75939997.0
-9223372036213150703,-9223372036850092206,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845677.0
-9223372036213151923,-9223372036849919128,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140884.0
-9223372036213152923,-9223372036849082497,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845004.0
-9223372036213154158,-9223372036848654485,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140867.0
-9223372036213155003,-9223372036849053591,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140757.0
-9223372036213156896,-9223372036849088408,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940132.0
-9223372036213158624,-9223372036848657386,1,TO,C4,11,31,3,2018,Positivo,2018-03-31,76130073.0
-9223372036213160476,-9223372036849057040,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845274.0
-9223372036213160699,-9223372036850034829,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845403.0
-9223372036213162058,-9223372036849919002,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095771.0
-9223372036213162103,-9223372036850096118,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845660.0
-9223372036213162198,-9223372036850095852,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845908.0
-9223372036213162298,-9223372036849060156,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945466.0
-9223372036213162455,-9223372036849152794,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844951.0
-9223372036213163777,-9223372036849918916,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095698.0
-9223372036213164275,-9223372036850096128,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845654.0
-9223372036213164442,-9223372036850229072,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104255.0
-9223372036213164843,-9223372036849156003,1,TO,C4,11,31,3,2018,Positivo,2018-03-31,76095842.0
-9223372036213164964,-9223372036849136845,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140971.0
-9223372036213165147,-9223372036850034849,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940365.0
-9223372036213165265,-9223372036850228574,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104727.0
-9223372036213165311,-9223372036849048714,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095868.0
-9223372036213166749,-9223372036849048423,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845624.0
-9223372036213167004,-9223372036850034632,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844963.0
-9223372036213167440,-9223372036850095788,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845838.0
-9223372036213167479,-9223372036850298683,1,TO,C4,11,3,3,2018,Negativo,2018-03-03,75947020.0
-9223372036213168211,-9223372036850028804,1,TO,C4,11,24,3,2018,Negativo,2018-03-24,75842590.0
-9223372036213168716,-9223372036850095830,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845679.0
-9223372036213168762,-9223372036849052669,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76141026.0
-9223372036213169754,-9223372036849396237,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845767.0
-9223372036213170233,-9223372036850548474,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945752.0
-9223372036213170650,-9223372036848656035,1,TO,C4,11,22,3,2018,Negativo,2018-03-22,75945679.0
-9223372036213171513,-9223372036850095839,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845514.0
-9223372036213174017,-9223372036850095752,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845526.0
-9223372036213177057,-9223372036848625548,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140928.0
-9223372036213178411,-9223372036850095794,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845628.0
-9223372036213181143,-9223372036850095759,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845878.0
-9223372036213181444,-9223372036850034605,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940116.0
