idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza
-9223372036216389225,-9223372036847795101,54,PG,C4,11,29,11,2017,2017-11-29,POSITIVA
-9223372036216420328,-9223372036848631140,21,BZ,C4,11,19,11,2017,2017-11-19,POSITIVA
-9223372036216422187,-9223372036848655958,21,BZ,C4,11,19,11,2017,2017-11-19,POSITIVA
-9223372036216425632,-9223372036848658446,21,BZ,C4,11,12,11,2017,2017-11-12,POSITIVA
-9223372036216426041,-9223372036848647512,21,BZ,C4,11,29,11,2017,2017-11-29,POSITIVA
-9223372036216426095,-9223372036848631650,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216426106,-9223372036849143241,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216426530,-9223372036849125026,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216426552,-9223372036848649979,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA
-9223372036216426574,-9223372036848653180,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216426575,-9223372036848656596,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216427414,-9223372036848633087,21,BZ,C4,11,3,11,2017,2017-11-03,NEGATIVA
-9223372036216427438,-9223372036842213441,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216427446,-9223372036848657785,21,BZ,C4,11,4,11,2017,2017-11-04,RIVEDIBILE
-9223372036216427514,-9223372036848656026,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA
-9223372036216427855,-9223372036848631787,21,BZ,C4,11,23,11,2017,2017-11-23,POSITIVA
-9223372036216427863,-9223372036848627510,21,BZ,C4,11,1,11,2017,2017-11-01,POSITIVA
-9223372036216427977,-9223372036848642534,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216427978,-9223372036848647886,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216428326,-9223372036848653939,21,BZ,C4,11,12,11,2017,2017-11-12,NEGATIVA
-9223372036216428330,-9223372036848659723,21,BZ,C4,11,15,11,2017,2017-11-15,NEGATIVA
-9223372036216428351,-9223372036848633350,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216428372,-9223372036848660383,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA
-9223372036216428381,-9223372036848639315,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216428787,-9223372036848659371,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216428859,-9223372036848644075,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA
-9223372036216429229,-9223372036848659881,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216429231,-9223372036848662006,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216429277,-9223372036848633060,21,BZ,C4,11,23,11,2017,2017-11-23,POSITIVA
-9223372036216429292,-9223372036848661805,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA
-9223372036216429602,-9223372036848661125,21,BZ,C4,11,25,11,2017,2017-11-25,POSITIVA
-9223372036216429633,-9223372036848662163,21,BZ,C4,11,8,11,2017,2017-11-08,NEGATIVA
-9223372036216430037,-9223372036849139085,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA
-9223372036216430043,-9223372036848645725,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216430594,-9223372036848650979,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216430595,-9223372036848655035,21,BZ,C4,11,16,11,2017,2017-11-16,RIVEDIBILE
