idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataMacellazione,PesoCarcassa,PesoVivo,Categoria,Classificazione,PaeseDiProvenienza,ArrivatoMortoAlMacello,CodiceCausaleMorte,CarcassaDestinataAlConsumo,PaeseDiProvenienzaIso31663char
-9223372036030570153,-9223372036842062141,2,VC,C4,11,16,1,2017,2017-01-16,93.0,158.0,V,O2,IT,N,,N,
-9223372036030570766,-9223372036842062161,2,VC,C4,11,16,1,2017,2017-01-16,95.0,162.0,V,O2,IT,N,,N,
-9223372036030563303,-9223372036842062003,2,VC,C4,11,13,2,2017,2017-02-13,201.0,400.0,D,O3,IT,N,,N,
-9223372036055627491,-9223372036843469335,21,BZ,C4,11,15,2,2017,2017-02-15,,,,,IT,N,,N,
-9223372036055627901,-9223372036843469368,21,BZ,C4,11,15,2,2017,2017-02-15,100.8,,,,IT,N,,N,
-9223372036055627912,-9223372036843469369,21,BZ,C4,11,15,2,2017,2017-02-15,98.4,,,,IT,N,,N,
-9223372034286977869,-9223372036829073803,21,BZ,C4,11,21,6,2017,2017-06-21,80.0,,A,S1,IT,N,,N,ITA
-9223372036030511081,-9223372036842058892,2,VC,C4,11,7,6,2017,2017-06-07,179.0,360.0,D,O2,IT,N,,N,
-9223372036024768666,-9223372036841729419,21,BZ,C4,11,11,7,2017,2017-07-11,,,,,IT,N,,N,
-9223372036050750304,-9223372036843181163,21,BZ,C4,11,1,8,2017,2017-08-01,,,,,IT,N,,N,
-9223372036050750546,-9223372036843181176,21,BZ,C4,11,1,8,2017,2017-08-01,,,,,IT,N,,N,
-9223372036060210580,-9223372036843754342,21,BZ,C4,11,24,8,2017,2017-08-24,,,,,IT,N,,N,
-9223372035992887890,-9223372036839933523,21,BZ,C4,11,20,9,2017,2017-09-20,,,,,IT,N,,N,
-9223372036003821239,-9223372036840525334,21,BZ,C4,11,13,9,2017,2017-09-13,,,,,IT,N,,N,
-9223372036023641218,-9223372036841664768,21,BZ,C4,11,18,9,2017,2017-09-18,123.0,,,,IT,N,,N,
-9223372036031685438,-9223372036842122644,2,VC,C4,11,4,9,2017,2017-09-04,,,0,00,IT,N,,N,
-9223372036047639890,-9223372036843006283,21,BZ,C4,11,11,9,2017,2017-09-11,103.5,,,,IT,N,,N,
-9223372036067629543,-9223372036843960065,24,VI,C4,11,8,9,2017,2017-09-08,176.0,288.52,0,00,IT,N,,N,
-9223372036067629585,-9223372036843960068,24,VI,C4,11,8,9,2017,2017-09-08,157.1,257.54,0,00,IT,N,,N,
-9223372036067629625,-9223372036843960071,24,VI,C4,11,8,9,2017,2017-09-08,176.6,289.51,0,00,IT,N,,N,
-9223372035965569825,-9223372036838494068,30,UD,C4,11,18,10,2017,2017-10-18,,,D,O1,IT,N,,N,
-9223372036030508603,-9223372036842058716,2,VC,C4,11,9,10,2017,2017-10-09,189.0,380.0,D,O1,IT,N,,N,
-9223372036033293252,-9223372036842212772,21,BZ,C4,11,2,10,2017,2017-10-02,98.0,,,,IT,N,,N,
-9223372036039245388,-9223372036842516351,21,BZ,C4,11,18,10,2017,2017-10-18,93.0,,,,IT,N,,N,
-9223372036045143915,-9223372036842862371,21,BZ,C4,11,10,10,2017,2017-10-10,,,,,IT,N,,N,
-9223372036062786992,-9223372036843935623,26,TV,C4,11,31,10,2017,2017-10-31,,,V,00,IT,N,,N,
-9223372036067737400,-9223372036843966902,96,BI,C4,11,30,10,2017,2017-10-30,,,,,IT,N,,N,
-9223372036030505282,-9223372036842058463,2,VC,C4,11,22,11,2017,2017-11-22,154.0,307.0,D,O1,IT,N,,N,
-9223372036030507659,-9223372036847258691,2,VC,C4,11,6,11,2017,2017-11-06,121.0,220.0,E,O2,IT,N,,N,
-9223372036062160025,-9223372036846905739,25,BL,C4,11,28,11,2017,2017-11-28,,,0,00,IT,N,,N,
-9223372036062160109,-9223372036846906790,25,BL,C4,11,21,11,2017,2017-11-21,,,0,00,IT,N,,N,
-9223372036062160133,-9223372036843878282,25,BL,C4,11,21,11,2017,2017-11-21,,,0,00,IT,N,,N,
-9223372036062160541,-9223372036843878313,25,BL,C4,11,14,11,2017,2017-11-14,,,0,00,IT,N,,N,
-9223372036062785922,-9223372036843935505,26,TV,C4,11,15,11,2017,2017-11-15,,,Z,00,IT,N,,N,
-9223372036067744340,-9223372036843967375,21,BZ,C4,11,28,11,2017,2017-11-28,115.0,,,,IT,N,,N,
-9223372036067744385,-9223372036848649939,21,BZ,C4,11,28,11,2017,2017-11-28,,,,,IT,N,,N,
-9223372036067745252,-9223372036843967405,21,BZ,C4,11,27,11,2017,2017-11-27,,,,,IT,N,,N,
-9223372036067745666,-9223372036843967415,21,BZ,C4,11,27,11,2017,2017-11-27,,,,,IT,N,,N,
-9223372036067746430,-9223372036848638740,21,BZ,C4,11,27,11,2017,2017-11-27,,,,,IT,N,,N,
-9223372036008510490,-9223372036846949941,21,BZ,C4,11,18,12,2017,2017-12-18,,,,,IT,N,,N,
-9223372036056890395,-9223372036843551282,21,BZ,C4,11,5,12,2017,2017-12-05,,,,,IT,N,,N,
-9223372036058817149,-9223372036848659374,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036058826131,-9223372036848657516,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036061051233,-9223372036843807918,72,BA,C4,11,29,12,2017,2017-12-29,,,,,IT,N,,N,
-9223372036062158905,-9223372036843878200,25,BL,C4,11,19,12,2017,2017-12-19,,,V,00,IT,N,,N,
-9223372036062159531,-9223372036843878241,25,BL,C4,11,5,12,2017,2017-12-05,,,0,00,IT,N,,N,
-9223372036062323509,-9223372036843889001,21,BZ,C4,11,11,12,2017,2017-12-11,,,,,IT,N,,N,
-9223372036063108036,-9223372036843915181,13,CO,C4,11,13,12,2017,2017-12-13,,,0,00,IT,N,,N,
-9223372036067564854,-9223372036843955705,26,TV,C4,11,30,12,2017,2017-12-30,159.15,,V,00,IT,N,,N,
-9223372036067564906,-9223372036843955709,26,TV,C4,11,30,12,2017,2017-12-30,117.5,,V,00,IT,N,,N,
-9223372036067565244,-9223372036843955735,26,TV,C4,11,30,12,2017,2017-12-30,134.26,,V,00,IT,N,,N,
-9223372036067565309,-9223372036843955740,26,TV,C4,11,30,12,2017,2017-12-30,117.01,,V,00,IT,N,,N,
-9223372036067645980,-9223372036843961228,21,BZ,C4,11,28,12,2017,2017-12-28,99.0,,,,IT,N,,N,
-9223372036067646153,-9223372036848662536,21,BZ,C4,11,18,12,2017,2017-12-18,,,,,IT,N,,N,
-9223372036067646461,-9223372036843961260,21,BZ,C4,11,19,12,2017,2017-12-19,,,,,IT,N,,N,
-9223372036067646471,-9223372036846949115,21,BZ,C4,11,19,12,2017,2017-12-19,,,,,IT,N,,N,
-9223372036067646518,-9223372036846948553,21,BZ,C4,11,27,12,2017,2017-12-27,,,,,IT,N,,N,
-9223372036067646595,-9223372036848659728,21,BZ,C4,11,27,12,2017,2017-12-27,,,,,IT,N,,N,
-9223372036067646617,-9223372036846945913,21,BZ,C4,11,27,12,2017,2017-12-27,,,,,IT,N,,N,
-9223372036067734171,-9223372036843966664,21,BZ,C4,11,19,12,2017,2017-12-19,,,,,IT,N,,N,
-9223372036067735468,-9223372036846950542,21,BZ,C4,11,19,12,2017,2017-12-19,,,,,IT,N,,N,
-9223372036067736268,-9223372036843966812,21,BZ,C4,11,18,12,2017,2017-12-18,,,,,IT,N,,N,
-9223372036067756700,-9223372036846495006,21,BZ,C4,11,5,12,2017,2017-12-05,,,,,IT,N,,N,
-9223372036067757859,-9223372036843968155,21,BZ,C4,11,4,12,2017,2017-12-04,,,,,IT,N,,N,
-9223372036067758886,-9223372036843968184,21,BZ,C4,11,4,12,2017,2017-12-04,,,,,IT,N,,N,
-9223372036067759770,-9223372036848620468,21,BZ,C4,11,4,12,2017,2017-12-04,,,,,IT,N,,N,
-9223372036067761271,-9223372036846948862,21,BZ,C4,11,4,12,2017,2017-12-04,,,,,IT,N,,N,
-9223372036067761659,-9223372036848658870,21,BZ,C4,11,4,12,2017,2017-12-04,,,,,IT,N,,N,
-9223372036067767734,-9223372036848659884,21,BZ,C4,11,11,12,2017,2017-12-11,,,,,IT,N,,N,
-9223372036067767820,-9223372036846944176,21,BZ,C4,11,12,12,2017,2017-12-12,102.0,,,,IT,N,,N,
-9223372036067767832,-9223372036846945589,21,BZ,C4,11,12,12,2017,2017-12-12,95.0,,,,IT,N,,N,
-9223372036067767843,-9223372036848623745,21,BZ,C4,11,12,12,2017,2017-12-12,,,,,IT,N,,N,
-9223372036067767876,-9223372036843968509,21,BZ,C4,11,12,12,2017,2017-12-12,,,,,IT,N,,N,
-9223372036067767887,-9223372036847855995,21,BZ,C4,11,12,12,2017,2017-12-12,,,,,IT,N,,N,
-9223372036067767965,-9223372036843968515,21,BZ,C4,11,15,12,2017,2017-12-15,115.0,,,,IT,N,,N,
-9223372036067767993,-9223372036846944385,21,BZ,C4,11,14,12,2017,2017-12-14,49.6,,,,IT,N,,N,
-9223372036067768936,-9223372036846946186,21,BZ,C4,11,6,12,2017,2017-12-06,,,,,IT,N,,N,
-9223372036067768946,-9223372036846948697,21,BZ,C4,11,6,12,2017,2017-12-06,,,,,IT,N,,N,
-9223372036067768956,-9223372036843968573,21,BZ,C4,11,6,12,2017,2017-12-06,,,,,IT,N,,N,
-9223372036067768966,-9223372036848647768,21,BZ,C4,11,6,12,2017,2017-12-06,,,,,IT,N,,N,
-9223372036067769095,-9223372036843968582,21,BZ,C4,11,7,12,2017,2017-12-07,,,,,IT,N,,N,
-9223372036067770873,-9223372036847856075,21,BZ,C4,11,7,12,2017,2017-12-07,,,,,IT,N,,N,
-9223372036067771055,-9223372036843968724,23,VR,C4,11,29,12,2017,2017-12-29,,,D,U3,IT,N,,N,
-9223372036067771274,-9223372036846950874,21,BZ,C4,11,7,12,2017,2017-12-07,,,,,IT,N,,N,
-9223372036067964788,-9223372036846948896,21,BZ,C4,11,27,12,2017,2017-12-27,307.1,,0,00,IT,N,,N,
-9223372036067973140,-9223372036843974184,20,MN,C4,11,29,12,2017,2017-12-29,221.0,,0,00,IT,N,,N,
-9223372036067973153,-9223372036843974185,20,MN,C4,11,29,12,2017,2017-12-29,165.0,,0,00,IT,N,,N,
-9223372036067973283,-9223372036843974195,20,MN,C4,11,29,12,2017,2017-12-29,162.0,,0,00,IT,N,,N,
-9223372036067973413,-9223372036843974205,20,MN,C4,11,29,12,2017,2017-12-29,165.0,,0,00,IT,N,,N,
-9223372036067973452,-9223372036843974208,20,MN,C4,11,29,12,2017,2017-12-29,186.0,,0,00,IT,N,,N,
-9223372036067973491,-9223372036843974211,20,MN,C4,11,29,12,2017,2017-12-29,167.0,,0,00,IT,N,,N,
-9223372036067973543,-9223372036843974215,20,MN,C4,11,29,12,2017,2017-12-29,194.0,,0,00,IT,N,,N,
-9223372036067973556,-9223372036843974216,20,MN,C4,11,29,12,2017,2017-12-29,169.0,,0,00,IT,N,,N,
-9223372036067973569,-9223372036843974217,20,MN,C4,11,29,12,2017,2017-12-29,168.0,,0,00,IT,N,,N,
-9223372036067973595,-9223372036843974219,20,MN,C4,11,29,12,2017,2017-12-29,154.0,,0,00,IT,N,,N,
-9223372036067973647,-9223372036843974223,20,MN,C4,11,29,12,2017,2017-12-29,169.0,,0,00,IT,N,,N,
-9223372036067973673,-9223372036843974225,20,MN,C4,11,29,12,2017,2017-12-29,207.0,,0,00,IT,N,,N,
-9223372036067973699,-9223372036843974227,20,MN,C4,11,29,12,2017,2017-12-29,166.0,,0,00,IT,N,,N,
-9223372036067973712,-9223372036843974228,20,MN,C4,11,29,12,2017,2017-12-29,163.0,,0,00,IT,N,,N,
-9223372036067973738,-9223372036843974230,20,MN,C4,11,29,12,2017,2017-12-29,208.0,,0,00,IT,N,,N,
-9223372036067973751,-9223372036843974231,20,MN,C4,11,29,12,2017,2017-12-29,167.0,,0,00,IT,N,,N,
-9223372036067973764,-9223372036843974232,20,MN,C4,11,29,12,2017,2017-12-29,173.0,,0,00,IT,N,,N,
-9223372036067973803,-9223372036843974235,20,MN,C4,11,29,12,2017,2017-12-29,149.0,,0,00,IT,N,,N,
-9223372036067973816,-9223372036843974236,20,MN,C4,11,29,12,2017,2017-12-29,170.0,,0,00,IT,N,,N,
-9223372036067973829,-9223372036843974237,20,MN,C4,11,29,12,2017,2017-12-29,185.0,,0,00,IT,N,,N,
-9223372036067973855,-9223372036843974239,20,MN,C4,11,29,12,2017,2017-12-29,205.0,,0,00,IT,N,,N,
-9223372036067973894,-9223372036843974242,20,MN,C4,11,29,12,2017,2017-12-29,187.0,,0,00,IT,N,,N,
-9223372036067973907,-9223372036843974243,20,MN,C4,11,29,12,2017,2017-12-29,160.0,,0,00,IT,N,,N,
-9223372036067973920,-9223372036843974244,20,MN,C4,11,29,12,2017,2017-12-29,182.0,,0,00,IT,N,,N,
-9223372036067973946,-9223372036843974246,20,MN,C4,11,29,12,2017,2017-12-29,166.0,,0,00,IT,N,,N,
-9223372036067974128,-9223372036843974260,20,MN,C4,11,29,12,2017,2017-12-29,157.0,,0,00,IT,N,,N,
-9223372036067974180,-9223372036843974264,20,MN,C4,11,29,12,2017,2017-12-29,187.0,,0,00,IT,N,,N,
-9223372036068032850,-9223372036846944842,21,BZ,C4,11,20,12,2017,2017-12-20,138.0,,,,IT,N,,N,
-9223372036068033368,-9223372036843978162,21,BZ,C4,11,20,12,2017,2017-12-20,116.0,,,,IT,N,,N,
-9223372036068033379,-9223372036846950180,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036068033391,-9223372036846945916,21,BZ,C4,11,20,12,2017,2017-12-20,106.0,,,,IT,N,,N,
-9223372036068033419,-9223372036843978165,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036068033431,-9223372036846945920,21,BZ,C4,11,20,12,2017,2017-12-20,103.0,,,,IT,N,,N,
-9223372036068033544,-9223372036849151177,21,BZ,C4,11,21,12,2017,2017-12-21,,,,,IT,N,,N,
-9223372036068033576,-9223372036848655178,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036068034752,-9223372036846949691,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036068034762,-9223372036846950799,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036068034772,-9223372036848658548,21,BZ,C4,11,20,12,2017,2017-12-20,,,,,IT,N,,N,
-9223372036068041090,-9223372036843978734,21,BZ,C4,11,11,12,2017,2017-12-11,130.2,,,,IT,N,,N,
-9223372036068041101,-9223372036843978735,21,BZ,C4,11,11,12,2017,2017-12-11,,,,,IT,N,,N,
-9223372036068041123,-9223372036846948640,21,BZ,C4,11,11,12,2017,2017-12-11,,,,,IT,N,,N,
-9223372036068041168,-9223372036843978739,21,BZ,C4,11,13,12,2017,2017-12-13,96.72,,,,IT,N,,N,
-9223372036068041264,-9223372036843978747,21,BZ,C4,11,4,12,2017,2017-12-04,,,,,IT,N,,N,
-9223372036068041512,-9223372036843978768,21,BZ,C4,11,7,12,2017,2017-12-07,,,,,IT,N,,N,
