idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo
-9223372035893820985,-9223372036844300186,,,C4,11,1,2,2021,98.0,,Genetico,Quadrimestrale,2021,,,
-9223372035894417565,-9223372036849221556,,,C4,11,1,2,2021,105.0,,Genetico,Quadrimestrale,2021,,,
-9223372035897107817,-9223372036849440218,,,C4,11,1,2,2021,104.0,,Pedigree,Quadrimestrale,2021,,,
-9223372035851848097,-9223372036847939593,,,C4,11,6,5,2021,112.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851848109,-9223372036844245349,,,C4,11,6,5,2021,105.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851848121,-9223372036844187911,,,C4,11,6,5,2021,97.0,43.0,GENETICO,Semestrale,2021,,,
-9223372035851848133,-9223372036844187913,,,C4,11,6,5,2021,94.0,45.0,GENETICO,Semestrale,2021,,,
-9223372035851848145,-9223372036844187912,,,C4,11,6,5,2021,98.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851848157,-9223372036844294899,,,C4,11,6,5,2021,100.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848169,-9223372036844316167,,,C4,11,6,5,2021,108.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851848181,-9223372036844203859,,,C4,11,6,5,2021,101.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851848193,-9223372036844203860,,,C4,11,6,5,2021,101.0,42.0,GENETICO,Semestrale,2021,,,
-9223372035851848205,-9223372036844294851,,,C4,11,6,5,2021,99.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848217,-9223372036844315964,,,C4,11,6,5,2021,101.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851848229,-9223372036844339193,,,C4,11,6,5,2021,102.0,37.0,GENETICO,Semestrale,2021,,,
-9223372035851848241,-9223372036844339195,,,C4,11,6,5,2021,102.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851848253,-9223372036844294627,,,C4,11,6,5,2021,107.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851848265,-9223372036844307137,,,C4,11,6,5,2021,100.0,33.0,GENETICO,Semestrale,2021,,,
-9223372035851848277,-9223372036844315860,,,C4,11,6,5,2021,111.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851848289,-9223372036844316153,,,C4,11,6,5,2021,98.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851848301,-9223372036844231374,,,C4,11,6,5,2021,103.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848313,-9223372036844294547,,,C4,11,6,5,2021,100.0,44.0,GENETICO,Semestrale,2021,,,
-9223372035851848325,-9223372036844294548,,,C4,11,6,5,2021,103.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851848337,-9223372036844316259,,,C4,11,6,5,2021,112.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851848349,-9223372036844316256,,,C4,11,6,5,2021,101.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851848361,-9223372036844316257,,,C4,11,6,5,2021,105.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848373,-9223372036844338694,,,C4,11,6,5,2021,102.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848385,-9223372036844294272,,,C4,11,6,5,2021,97.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851848397,-9223372036844315986,,,C4,11,6,5,2021,100.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851848409,-9223372036844224271,,,C4,11,6,5,2021,108.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848421,-9223372036844224272,,,C4,11,6,5,2021,110.0,50.0,GENETICO,Semestrale,2021,,,
-9223372035851848433,-9223372036844361378,,,C4,11,6,5,2021,98.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848445,-9223372036844339451,,,C4,11,6,5,2021,97.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848457,-9223372036844339452,,,C4,11,6,5,2021,106.0,48.0,GENETICO,Semestrale,2021,,,
-9223372035851848469,-9223372036844244395,,,C4,11,6,5,2021,104.0,53.0,GENETICO,Semestrale,2021,,,
-9223372035851848481,-9223372036844361786,,,C4,11,6,5,2021,95.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851848493,-9223372036844339299,,,C4,11,6,5,2021,99.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848505,-9223372036844339300,,,C4,11,6,5,2021,97.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848517,-9223372036844339301,,,C4,11,6,5,2021,97.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848529,-9223372036844245289,,,C4,11,6,5,2021,105.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851848541,-9223372036844339296,,,C4,11,6,5,2021,100.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851848553,-9223372036844339318,,,C4,11,6,5,2021,97.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848565,-9223372036844339319,,,C4,11,6,5,2021,106.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848577,-9223372036844339327,,,C4,11,6,5,2021,101.0,49.0,GENETICO,Semestrale,2021,,,
-9223372035851848589,-9223372036844339311,,,C4,11,6,5,2021,104.0,54.0,GENETICO,Semestrale,2021,,,
