dataset_name,dataset_url
Urea,https://opendata.leo-italy.eu/portale/dataset-info/60dc47157acf64c61856a35f
Rennet Coagulation time (R),https://opendata.leo-italy.eu/portale/dataset-info/60e304ef90de583803bb9557
Time to curd firmness (K20),https://opendata.leo-italy.eu/portale/dataset-info/60e3053490de583803bb957f
Time to curd firmness (A30),https://opendata.leo-italy.eu/portale/dataset-info/60e305d590de583803bb95dc
Index of dairy attitude (IAC),https://opendata.leo-italy.eu/portale/dataset-info/60e3068690de583803bb963c
β-hydroxybutyrate (BHBA),https://opendata.leo-italy.eu/portale/dataset-info/60e3074190de583803bb96b1
Acetone,https://opendata.leo-italy.eu/portale/dataset-info/60e311f590de583803bb9c3e
Saturated Fatty acid (SFA),https://opendata.leo-italy.eu/portale/dataset-info/60e3123a90de583803bb9c65
Total unsaturated Fatty Acid (UFA),https://opendata.leo-italy.eu/portale/dataset-info/60e3126e90de583803bb9c83
Electrical conductivity,https://opendata.leo-italy.eu/portale/dataset-info/60e312ab90de583803bb9ca6
Newly synthesised fatty acids,https://opendata.leo-italy.eu/portale/dataset-info/60e312e690de583803bb9cc8
Mixed Fatty Acids,https://opendata.leo-italy.eu/portale/dataset-info/60e3131d90de583803bb9ce9
Preformed Fatty Acids,https://opendata.leo-italy.eu/portale/dataset-info/60e3135190de583803bb9d08
PH,https://opendata.leo-italy.eu/portale/dataset-info/60e313ce90de583803bb9d4b
Stearic Acid (C18:0),https://opendata.leo-italy.eu/portale/dataset-info/60e3140390de583803bb9d6a
Vaccenic acid (C18:1),https://opendata.leo-italy.eu/portale/dataset-info/60e3144090de583803bb9d8c
Freezing Point,https://opendata.leo-italy.eu/portale/dataset-info/60e3148790de583803bb9db2
Casein,https://opendata.leo-italy.eu/portale/dataset-info/60e314fa90de583803bb9df4
Lactose,https://opendata.leo-italy.eu/portale/dataset-info/60e3152b90de583803bb9e12
Dry Period,https://opendata.leo-italy.eu/portale/dataset-info/61ddb9538e6e3b04221f020f
Urea,https://opendata.leo-italy.eu/portale/dataset-info/61dd94988e6e3b04221ee090
β-hydroxybutyrate (BHBA),https://opendata.leo-italy.eu/portale/dataset-info/61def4258e6e3b04221f5b33
