idAnimale,num_positive_diagnoses
-9223372036848123897,2
-9223372036845797366,0
-9223372036847632358,2
-9223372036845535186,0
-9223372036848648140,2
-9223372036848648137,1
-9223372036848648133,1
-9223372036848648132,1
-9223372036848648129,1
-9223372036848648125,0
-9223372036848648124,2
-9223372036849139618,2
-9223372036845797282,0
-9223372036845797276,0
-9223372036849106817,2
-9223372036845797235,0
-9223372036848648048,3
-9223372036849106780,2
-9223372036848123732,3
-9223372036833836875,0
-9223372036848123704,2
-9223372036848123700,1
-9223372036848123695,0
-9223372036848123682,1
-9223372036848647959,3
-9223372036848647958,4
-9223372036848123670,1
-9223372036848123649,0
-9223372036844224249,0
-9223372036844224243,0
-9223372036846485235,0
-9223372036834983657,1
-9223372036848647904,2
-9223372036850548446,1
-9223372036848647902,3
-9223372036848647897,3
-9223372036848647890,3
-9223372036848647886,2
-9223372036848615117,1
-9223372036848647883,1
-9223372036849139400,1
-9223372036846091958,0
-9223372036849106606,2
-9223372036846091950,0
-9223372036845469354,0
-9223372036845469352,0
-9223372036844224154,0
-9223372036831149719,0
-9223372036844224147,0
-9223372036834983564,0
-9223372036845796992,0
-9223372036845796989,0
-9223372036846321275,0
-9223372036848647793,0
-9223372036848615019,0
-9223372036848123498,1
-9223372036848615017,3
-9223372036848615016,0
-9223372036848123495,3
-9223372036848615014,1
-9223372036848647781,0
-9223372036848647780,1
-9223372036848615013,1
-9223372036844224105,0
-9223372036848647777,1
-9223372036848615008,3
-9223372036848123486,1
-9223372036848123485,2
-9223372036848647772,2
-9223372036848123479,2
-9223372036848647766,3
-9223372036848614998,1
-9223372036848647767,0
-9223372036848647763,1
-9223372036848123475,3
-9223372036848647761,0
-9223372036848614993,1
-9223372036848614991,2
-9223372036848647758,2
-9223372036848647757,1
-9223372036848123468,1
-9223372036848614987,1
-9223372036848614986,2
-9223372036848123467,3
-9223372036848647752,1
-9223372036848123471,0
-9223372036849106502,2
-9223372036848647749,2
-9223372036848647750,1
-9223372036848647747,0
-9223372036848123465,0
-9223372036848123457,2
-9223372036848123456,1
-9223372036848123454,1
-9223372036848647741,2
-9223372036848123452,1
-9223372036848614970,3
-9223372036848647737,1
-9223372036848614969,2
-9223372036848123448,0
-9223372036848647733,2
-9223372036848647732,2
-9223372036848123441,2
-9223372036848647723,1
-9223372036848123435,2
-9223372036848647718,3
-9223372036848647717,3
-9223372036848123428,2
-9223372036834983459,0
-9223372036848647713,1
-9223372036830756385,0
-9223372036848647709,1
-9223372036846222873,0
-9223372036848647703,1
-9223372036848647702,0
-9223372036845436435,0
-9223372036848123409,0
-9223372036845075984,0
-9223372036834983418,0
-9223372036849106424,1
-9223372036848647667,2
-9223372036845993450,0
-9223372036848647656,1
-9223372036848647653,4
-9223372036845796834,0
-9223372036848647649,0
-9223372036847926748,1
-9223372036848647638,2
-9223372036848647609,1
-9223372036848647605,0
-9223372036848647593,4
-9223372036847926697,1
-9223372036847926691,1
-9223372036847926687,2
-9223372036846091667,0
-9223372036845796754,0
-9223372036844223889,0
-9223372036849139085,2
-9223372036844846475,0
-9223372036847926639,1
-9223372036847926638,1
-9223372036847926634,1
-9223372036848123241,0
-9223372036846222695,0
-9223372036845796702,0
-9223372036847926618,0
-9223372036848647512,1
-9223372036848647506,5
-9223372036848647496,1
-9223372036848647493,2
-9223372036844223812,0
-9223372036844223811,0
-9223372036846222658,0
-9223372036848647487,0
-9223372036843994414,0
-9223372036848123166,1
-9223372036848123163,2
-9223372036848123162,2
-9223372036848123159,0
-9223372036848123155,2
-9223372036848123154,2
-9223372036848123147,0
-9223372036848123144,0
-9223372036848123143,3
-9223372036848123142,1
-9223372036848123141,2
-9223372036848123138,2
-9223372036848123132,1
-9223372036848123131,2
-9223372036847959290,3
-9223372036848123127,2
-9223372036848123120,1
-9223372036848123119,1
-9223372036846091497,0
-9223372036846943464,0
-9223372036848123106,0
-9223372036848123101,6
-9223372036848614620,1
-9223372036848614617,1
-9223372036848647384,0
-9223372036848614612,3
-9223372036848614610,2
-9223372036848614607,0
-9223372036848614604,2
-9223372036848614603,0
-9223372036848647370,2
-9223372036848647369,3
-9223372036848614601,2
-9223372036848647367,2
-9223372036848614598,1
-9223372036848614597,3
-9223372036848614596,1
-9223372036848614590,1
-9223372036848614587,1
-9223372036848614586,0
-9223372036849106105,5
-9223372036848614582,0
-9223372036848614581,1
-9223372036848614580,1
-9223372036848614579,2
-9223372036847959218,2
-9223372036848123056,1
-9223372036848614574,1
-9223372036847959204,0
-9223372036848123042,1
-9223372036847959201,2
-9223372036847959202,2
-9223372036847959198,1
-9223372036847959196,1
-9223372036847959194,2
-9223372036847959193,1
-9223372036847959192,2
-9223372036847959191,1
-9223372036847959190,0
-9223372036847959185,1
-9223372036847959178,2
-9223372036847697031,0
-9223372036847697027,0
-9223372036847959158,0
-9223372036847959155,1
-9223372036846943275,0
-9223372036849105960,4
-9223372036847139871,1
-9223372036847139868,0
-9223372036848647191,1
-9223372036846091286,0
-9223372036848647188,1
-9223372036848647187,2
-9223372036848647185,1
-9223372036848647184,1
-9223372036848647183,2
-9223372036832918542,0
-9223372036848647181,1
-9223372036846943240,0
-9223372036848647171,1
