idAnimale,mean,std,count,num_non_positive_records
-9223372036845797371,,,0,0
-9223372036848123897,0.04000000000000001,0.03716116764786033,21,17
-9223372036845833597,0.04888888888888889,0.021829869671542778,9,3
-9223372036847632358,0.21777777777777776,0.14323855608954345,18,0
-9223372036848648160,0.034999999999999996,0.024999999999999998,2,1
-9223372036847992795,0.17588235294117646,0.12300448693534871,17,0
-9223372036845797331,0.066,0.0417612260356422,5,0
-9223372036845535186,0.0175,0.004330127018922193,4,10
-9223372036844224467,0.045000000000000005,0.025,2,0
-9223372036845833592,0.041666666666666664,0.033374973990834646,6,2
-9223372036848648140,0.034999999999999996,0.02217355782608345,6,4
-9223372036848648139,0.02,0.009258200997725514,7,6
-9223372036832670595,0.04666666666666667,0.044969125210773474,3,2
-9223372036848648137,0.15073170731707317,0.0800728401291809,41,0
-9223372036845469640,0.13125,0.07896795236043544,8,1
-9223372036848648133,0.07333333333333333,0.04189935029992179,3,22
-9223372036848648132,0.08357142857142856,0.03865731179352803,28,3
-9223372036848648131,0.0431578947368421,0.03599014946795528,19,1
-9223372036848648129,0.0475,0.028613807855648994,4,11
-9223372036849401793,0.1209090909090909,0.06570658545306418,11,1
-9223372036848648127,,,0,8
-9223372036849401792,0.07777777777777778,0.03424674446093876,9,0
-9223372036848648125,0.03967741935483872,0.01958996961379223,31,13
-9223372036848648124,0.05600000000000001,0.047791212581394085,20,15
-9223372036849401790,0.085,0.06994045086119095,6,3
-9223372036848648122,0.024000000000000004,0.02690724809414742,10,24
-9223372036848648121,0.023333333333333334,0.01813529401164726,15,17
-9223372036848648120,0.04,0.030000000000000002,2,0
-9223372036847894463,0.17666666666666667,0.09672412085697939,3,11
-9223372036846485438,0.034999999999999996,0.024999999999999998,2,0
-9223372036846485434,0.049999999999999996,0.035355339059327376,4,3
-9223372036846485435,,,0,7
-9223372036844231414,0.026250000000000002,0.015761900266148116,8,2
-9223372036849401771,0.07,0.02160246899469287,3,0
-9223372036849401770,0.12000000000000001,0.06214127824190987,13,2
-9223372036849401763,0.05909090909090908,0.047185233717676286,11,5
-9223372036849139618,0.06923076923076923,0.04983998062438481,13,18
-9223372036845797282,0.023333333333333334,0.013743685418725535,6,5
-9223372036845797280,0.04777777777777778,0.03206859931035958,18,7
-9223372036845797276,0.21999999999999997,0.2541653005427767,5,16
-9223372036845797275,0.013333333333333334,0.004714045207910317,3,18
-9223372036848615317,0.02666666666666667,0.012472191289246471,3,4
-9223372036848615316,0.03166666666666667,0.023392781412697003,6,19
-9223372036836199142,0.09333333333333334,0.02867441755680876,3,0
-9223372036845797258,0.041666666666666664,0.018633899812498248,6,4
-9223372036849106817,0.015,0.005,2,15
-9223372036846485371,0.074,0.07337574531137657,5,5
-9223372036836199141,,,0,0
-9223372036845797237,0.0525,0.027726341266023545,8,6
-9223372036845797235,0.04250000000000001,0.029474565306378986,12,5
-9223372036848648048,0.03370370370370371,0.018885257457751055,27,7
-9223372036848648038,0.10052631578947369,0.10889268904996266,19,12
-9223372036844224355,0.04,0.042426406871192854,3,1
-9223372036844224354,0.09333333333333334,0.11785113019775793,3,1
-9223372036834131806,,,0,11
-9223372036845436765,,,0,17
-9223372036849106780,0.10111111111111111,0.10115383712658706,9,27
-9223372036850548570,0.1675,0.06299801584177077,12,1
-9223372036848123732,0.05714285714285715,0.07225239209372453,7,25
-9223372036848123731,0.0511764705882353,0.03376081141713352,17,2
-9223372036847959886,,,0,8
-9223372036844224332,0.045000000000000005,0.025,2,1
-9223372036833836875,,,0,5
-9223372036845797190,0.11333333333333334,0.024944382578492946,3,1
-9223372036844224320,0.044285714285714296,0.044994330708638924,7,16
-9223372036850548542,0.2183333333333333,0.2999675908420034,6,1
-9223372036848123706,0.06857142857142857,0.05986379097073419,7,22
-9223372036848123704,0.05571428571428572,0.05205962045225314,28,21
-9223372036848123700,0.042727272727272725,0.04329411236287512,11,33
-9223372036842028848,,,0,0
-9223372036848123695,0.017272727272727276,0.009620913858416694,11,21
-9223372036848123683,,,0,3
-9223372036848123682,0.05285714285714286,0.03614031611621005,7,34
-9223372036848647969,0.04625,0.03314268395890713,8,26
-9223372036848123680,0.03,0.016329931618554522,3,6
-9223372036849139489,0.07000000000000002,0.04636809247747852,12,15
-9223372036848123678,,,0,8
-9223372036848123677,0.056764705882352946,0.02609040709840599,34,10
-9223372036850548505,0.10875000000000001,0.05206666399914632,8,1
-9223372036844224280,0.08166666666666667,0.07754926749421227,6,1
