idAnimale,mean,std,count,num_non_positive_records
-9223372036845797371,,,0,1
-9223372036848123897,,,0,39
-9223372036845833597,,,0,12
-9223372036847632358,,,0,19
-9223372036848648160,,,0,1
-9223372036847992795,,,0,22
-9223372036848614600,,,0,4
-9223372036845797331,,,0,5
-9223372036845535186,,,0,14
-9223372036844224467,,,0,2
-9223372036845833592,,,0,8
-9223372036848648140,,,0,10
-9223372036848648139,,,0,11
-9223372036832670595,,,0,5
-9223372036848648137,,,0,40
-9223372036845469640,,,0,12
-9223372036848648133,,,0,23
-9223372036848648132,,,0,30
-9223372036848648131,,,0,21
-9223372036848648129,,,0,14
-9223372036849401792,,,0,1
-9223372036848648127,,,0,8
-9223372036849401790,,,0,6
-9223372036848648125,,,0,44
-9223372036848648124,,,0,34
-9223372036849401793,,,0,10
-9223372036848648122,,,0,32
-9223372036848648121,,,0,31
-9223372036844231414,,,0,10
-9223372036849401770,,,0,8
-9223372036849401763,,,0,11
-9223372036849139618,,,0,29
-9223372036845797282,,,0,11
-9223372036845797280,,,0,25
-9223372036845797276,,,0,21
-9223372036845797275,,,0,21
-9223372036848615317,,,0,6
-9223372036848615316,,,0,23
-9223372036836199142,,,0,3
-9223372036845797258,,,0,10
-9223372036849106817,,,0,15
-9223372036836199141,,,0,1
-9223372036845797237,,,0,14
-9223372036845797235,,,0,17
-9223372036848648048,,,0,35
-9223372036848648038,,,0,30
-9223372036844224355,,,0,4
-9223372036844224354,,,0,4
-9223372036834131806,,,0,11
-9223372036845436765,,,0,17
-9223372036849106780,,,0,36
-9223372036850548570,,,0,9
-9223372036848123732,,,0,30
-9223372036848123731,,,0,17
-9223372036844224332,,,0,3
-9223372036833836875,,,0,6
-9223372036844224320,,,0,19
-9223372036850548542,,,0,2
-9223372036848123706,,,0,29
-9223372036848123704,,,0,48
-9223372036848123700,,,0,42
-9223372036848123695,,,0,31
-9223372036848123683,,,0,1
-9223372036848123682,,,0,39
-9223372036848647969,,,0,32
-9223372036848123680,,,0,8
-9223372036848123678,,,0,7
-9223372036848123677,,,0,44
-9223372036850548505,,,0,3
-9223372036844224280,,,0,7
-9223372036848647959,,,0,36
-9223372036848647958,,,0,8
-9223372036848123670,,,0,41
-9223372036849106708,,,0,21
-9223372036848647955,,,0,6
-9223372036849106707,,,0,17
-9223372036848123666,,,0,44
-9223372036848123665,,,0,45
-9223372036848123664,,,0,1
-9223372036848123662,,,0,10
-9223372036848123667,,,0,11
-9223372036848123663,,,0,7
-9223372036845892169,,,0,16
-9223372036850548495,,,0,13
-9223372036844224272,,,0,8
-9223372036848647943,,,0,4
-9223372036845892168,,,0,20
-9223372036848647941,,,0,30
-9223372036850548486,,,0,4
-9223372036831084293,,,0,1
-9223372036848123649,,,0,21
-9223372036848123648,,,0,37
-9223372036844224249,,,0,5
-9223372036845892165,,,0,15
-9223372036848123636,,,0,42
-9223372036844224243,,,0,5
-9223372036848123634,,,0,12
-9223372036844224241,,,0,6
-9223372036844355313,,,0,5
-9223372036845892161,,,0,12
-9223372036848647906,,,0,13
-9223372036848647905,,,0,30
-9223372036848647904,,,0,23
-9223372036848647902,,,0,7
-9223372036850548446,,,0,7
-9223372036845833544,,,0,15
-9223372036845892160,,,0,9
-9223372036848647897,,,0,20
-9223372036845797080,,,0,4
-9223372036848647891,,,0,12
-9223372036848647890,,,0,16
-9223372036848647889,,,0,18
-9223372036848647886,,,0,12
-9223372036848615117,,,0,6
-9223372036848647885,,,0,1
-9223372036848647883,,,0,17
-9223372036848647882,,,0,2
-9223372036849139400,,,0,1
-9223372036844524447,,,0,3
-9223372036844524446,,,0,11
-9223372036844977848,,,0,7
-9223372036846091958,,,0,13
-9223372036845833535,,,0,12
-9223372036849106606,,,0,29
-9223372036846091950,,,0,13
-9223372036849106604,,,0,19
-9223372036845469354,,,0,12
-9223372036845469352,,,0,11
-9223372036849106597,,,0,44
-9223372036844224154,,,0,7
-9223372036831149720,,,0,3
-9223372036831149719,,,0,7
-9223372036830756503,,,0,1
-9223372036844224147,,,0,5
-9223372036845108880,,,0,2
-9223372036834983564,,,0,4
-9223372036844748424,,,0,5
-9223372036845796997,,,0,16
-9223372036845796992,,,0,11
-9223372036845796989,,,0,13
-9223372036845931218,,,0,4
-9223372036846321275,,,0,18
-9223372036845833522,,,0,15
-9223372036848615020,,,0,5
-9223372036846489104,,,0,22
-9223372036848123498,,,0,20
-9223372036848615017,,,0,20
-9223372036848615016,,,0,23
-9223372036848123495,,,0,23
-9223372036848615014,,,0,44
-9223372036848615013,,,0,36
-9223372036848123492,,,0,36
-9223372036848647779,,,0,1
-9223372036848123491,,,0,44
-9223372036848647777,,,0,6
